case_id,reference_id,group,validated_issue_reference,quality_broad_reference,quality_primary_reference,semantic_recovered
case-f81566b1a6263aebc2fc,sf-4c0c6f3691cb21d43fc5,ai,1,True,True,0
case-f81566b1a6263aebc2fc,sf-cb2e9f7893b8ec70c3d7,ai,1,True,True,0
case-ff75976eee40d72f7511,sf-d3d6e563ba3e01cc9766,ai,1,True,True,1
case-144b11f4f95ea43bdd29,sf-d8fcb756ef98a2e626eb,human,1,True,True,0
case-144b11f4f95ea43bdd29,sf-b88440482a716f01940e,human,1,True,True,0
case-144b11f4f95ea43bdd29,sf-a1f407c79d4ebd255972,human,1,True,True,0
case-144b11f4f95ea43bdd29,sf-6e19b9f7eb86c2c72264,human,1,True,True,0
case-1882b202ff282a7c3526,sf-90307157d41b602c5768,human,1,True,True,0
case-1882b202ff282a7c3526,sf-a77b5099a874523b393e,human,1,True,True,0
case-1bd23fd02f55f8ceb10d,sf-b7c7ccaad7e70cbd1bb5,human,1,True,True,0
case-1bd23fd02f55f8ceb10d,sf-f213c0c7f7e42983170e,human,1,True,False,0
case-1cee12de60b9ec498450,sf-c3b547f75b876dd13bb0,human,1,True,True,1
case-1cee12de60b9ec498450,sf-b3da3dd41a305635db10,human,1,True,True,1
case-2306add458da3672e85f,sf-7c90d856fdd4ae1be025,human,1,True,False,0
case-376baaaedc0c65b1cc07,sf-b0fedc69e9185c94f17c,human,1,True,True,1
case-3fb516ef59e99ebefe90,sf-19c58094c5014824ced4,human,1,True,False,1
case-4095aca83f88f54e46ec,sf-6020d2e77925fa8a3e4b,human,1,True,True,0
case-4095aca83f88f54e46ec,sf-ca27176930fe910842ed,human,1,True,True,0
case-40fa8beab703be9d9368,sf-4820a4eb7a9084d10c41,human,1,True,True,0
case-40fa8beab703be9d9368,sf-7c5c09c17caa9e01aba2,human,1,True,True,0
case-40fa8beab703be9d9368,sf-387d82e5f92d48d5088a,human,1,True,True,0
case-4161a92d63b830e8d25b,sf-8e0bbc80ab04726bb4a9,human,1,True,True,0
case-4161a92d63b830e8d25b,sf-afa4245d46a5c13ad5ea,human,1,True,False,1
case-4161a92d63b830e8d25b,sf-cad2473cc8a3c26738d6,human,1,True,False,0
case-4161a92d63b830e8d25b,sf-075790b3eed54c41032a,human,1,True,False,0
case-43645709b6ff2623e8d8,sf-471463243d8df2be389f,human,1,True,True,0
case-4cf1ca9870497fac9821,sf-e4c6992e4969b77357c8,human,1,True,True,0
case-4cf1ca9870497fac9821,sf-634667cf130d5adfb5c8,human,1,True,False,1
case-4e52a2d6c64a01088271,sf-0914c9349825e576e1f2,human,1,True,True,0
case-4e52a2d6c64a01088271,sf-a95909603e7698c823ef,human,1,True,True,0
case-5692e89beef2e6430372,sf-35dbb6281bd0ccb0378c,human,1,True,True,0
case-58063cca6b2b2e55d6c8,sf-f532ccac6a5f28e305cc,human,1,True,True,1
case-5c4295a4e29dfd518b81,sf-b7e7fa6c62e810b95037,human,1,True,True,0
case-5d259ad82985046d8794,sf-b9b203e35c45a50c76c8,human,1,True,True,0
case-5d259ad82985046d8794,sf-b9f257b196fb325642b0,human,1,True,False,1
case-6941800e5dad967c8891,sf-3706f6d71d896d91d4b4,human,1,True,True,0
case-6941800e5dad967c8891,sf-c52d6000b898f8b9a6c6,human,1,True,True,0
case-6941800e5dad967c8891,sf-0af8563aeefe4da0dd58,human,1,True,True,0
case-6941800e5dad967c8891,sf-e62ca46ec6f0c25458c8,human,1,True,True,0
case-7752a6d9d5c913b909f9,sf-bd6442315094600d281c,human,1,True,True,0
case-7752a6d9d5c913b909f9,sf-e01165365bd8631dab4a,human,1,True,False,0
case-7752a6d9d5c913b909f9,sf-ea2190d5e89abdfe0013,human,1,True,False,1
case-7752a6d9d5c913b909f9,sf-31691eb9d307bd01136f,human,1,True,False,1
case-7752a6d9d5c913b909f9,sf-ab9efb5c8d96da9af18f,human,1,True,False,1
case-7752a6d9d5c913b909f9,sf-807473e2ea683c060958,human,1,True,False,1
case-781243d89e391c3fb5dd,sf-44a4c4e9cca327261702,human,1,True,True,0
case-781243d89e391c3fb5dd,sf-a7dcf851d93ab379dc86,human,1,True,False,0
case-7e619218951594d5155d,sf-9d17233fc137b1a1c35a,human,1,True,False,0
case-7e619218951594d5155d,sf-4d185bf6fb706ae6f9dc,human,1,True,False,0
case-7e619218951594d5155d,sf-4243ee55afb45da0a78d,human,1,True,False,0
case-83c0f8f7a5df2722fc6c,sf-aba8c3bcdcfaac24ea8f,human,1,True,True,0
case-83c0f8f7a5df2722fc6c,sf-0bd810d22d4df04be269,human,1,True,True,0
case-8759efacbf1ad8eda644,sf-0e1b7bfc8df2b15b43de,human,1,True,True,0
case-8759efacbf1ad8eda644,sf-0804279b0733f4ed8906,human,1,True,True,0
case-8759efacbf1ad8eda644,sf-18403391cd1d77815e51,human,1,True,True,1
case-8759efacbf1ad8eda644,sf-364ba7b8f7bcd4ec5074,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-b0f9ec1f679244dfba5b,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-ddfaa0d5c981fb14731d,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-4247e6db2953942d4e06,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-a143d0d95718850d6ea4,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-c6bc44d55cfd14197b64,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-8cffd89d7bca7928849c,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-7f2f46f0c76392d1b5c3,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-700db2d8573af4374c5d,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-78421aafb42ce6fee552,human,1,True,False,0
case-8759efacbf1ad8eda644,sf-308d2ac069b9e853ac0c,human,1,True,False,0
case-925775ad39947c2066a7,sf-7dcd6d87ef4cd5464e10,human,1,True,True,1
case-9d5b1f099bc198089f82,sf-4d544a7a1a8974e7669d,human,1,True,True,0
case-9d5b1f099bc198089f82,sf-d4a96d8c6ce52ae7683d,human,1,True,True,0
case-9d5b1f099bc198089f82,sf-84f6788381622f3d7c51,human,1,True,True,1
case-9d5b1f099bc198089f82,sf-176373ca192041673d68,human,1,True,True,0
case-9d5b1f099bc198089f82,sf-fc27f14024bdf38c1aa9,human,1,True,True,0
case-9d5b1f099bc198089f82,sf-c4fb4000d7957dc753f1,human,1,True,True,0
case-9d5b1f099bc198089f82,sf-90ec87146f1e2e0fc802,human,1,True,True,0
case-a8f8a3338967bf8c953b,sf-970bf9e61a45dfd9b7be,human,1,True,True,1
case-abeeda63ad07c7938f14,sf-e51612da2d0b40bfbdf1,human,1,True,True,0
case-b46393c556b0e1ab8e03,sf-f4b87413f7315955ff06,human,1,True,True,0
case-b8af4d9b4865f25701f6,sf-47c712411f134f1a67d1,human,1,True,False,0
case-bb513ea234bdfc13c5a1,sf-ca53de1a5de36c1eb9cb,human,1,True,True,0
case-c4f7afe4573a5fc51cc1,sf-f5f198ab3a01c4710c88,human,1,True,True,0
case-c812fbc20a056cc30f2a,sf-83ae1c502205b96b11a1,human,1,True,True,0
case-ca17bd7389a0f6607c96,sf-be56c3bd194e33672d75,human,1,True,True,0
case-ca17bd7389a0f6607c96,sf-6810c80978ec17f58c70,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-c07a2a1933b06e7a8999,human,1,True,True,0
case-d4ea05c67dc5b4b78eca,sf-193b98eb590cb584fd17,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-c5f8853c06f19dd145b6,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-2726915a65653d1c83f1,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-d085044c71d30642b204,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-764bcbb8ceb62ea7c9a1,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-5b96eff662afd663dc50,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-de1345accabe5d89dc7c,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-e20a6ffdd92c301cb30e,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-912f3ae11b09cb8532ba,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-09dd349c73d41addb393,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-b1dcce14a4cbd37910ad,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-8ddf4c9fbad2a6b55933,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-079750cf933803000205,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-c7f930df45b3acf13293,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-6156b1e48e4b33f77e7d,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-be63795e543ddb27c31c,human,1,True,False,0
case-d4ea05c67dc5b4b78eca,sf-b8d8cb2d5fbc86d536ca,human,1,True,False,0
case-d6dde2f26a32c9bff76d,sf-302a82d78751374ca0f7,human,1,True,True,0
case-da8176df9d4c3da588f6,sf-37221de8416afb500343,human,1,True,True,0
case-da8176df9d4c3da588f6,sf-b267f2b87dc347207738,human,1,True,False,0
case-da8176df9d4c3da588f6,sf-e20047eeb42efe170acd,human,1,True,False,0
case-da8176df9d4c3da588f6,sf-e0dcffa863696f35ed1d,human,1,True,False,0
case-da8176df9d4c3da588f6,sf-cc7f93c388c787304d3b,human,1,True,False,0
case-da8176df9d4c3da588f6,sf-ece798738e0079c3b99e,human,1,True,False,0
case-da8176df9d4c3da588f6,sf-c6d6f4c44edee3477cb7,human,1,True,False,0
case-da8176df9d4c3da588f6,sf-d227cab195b8becc7e25,human,1,True,False,0
case-da8176df9d4c3da588f6,sf-82afd1b63992913052c2,human,1,True,False,0
case-da8176df9d4c3da588f6,sf-8b1567ff123c2a628957,human,1,True,False,0
case-e2873dbaad5aa9b00625,sf-54f22f2fc11b63c7e026,human,1,True,True,0
case-e644dabe399c62ffb568,sf-55684ed0f67e014c4cbc,human,1,True,False,1
case-eb681d918af8f53202fa,sf-7ec98a5523dbe86007a6,human,1,True,True,0
case-f8ec934ad36d9c3fff54,sf-9d33d57f21df4561ef54,human,1,True,True,1
case-fd1bb152abf59358660e,sf-199f9345fa0760904951,human,1,True,False,0
case-fec39babcb4d42292e9b,sf-d26e82d302741759ed03,human,1,True,True,0
case-ff1dc77e4f7787b90c70,sf-b3a98a201f434eb4384e,human,1,True,False,0
case-ff1dc77e4f7787b90c70,sf-5a6799be58721c940899,human,1,True,False,0
