root_cause_cluster_id,repo_name,pr_number,cluster_key_within_pr,alert_n,rule_n,rules_json,files_json,root_cause_category,mechanism_subcategory,disposition,change_operation,violated_relation,cause_statement,evidence_summary,confidence
rccluster-6b2884568fcb892ef9f6,AgentOps-AI/agentops,729,removed-current-export-residue,1,1,"[""py/undefined-export""]","[""agentops/session/__init__.py""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,deletion_with_residue,documentation_or_annotation_target,"The session package removed the current function but retained current in __all__, leaving the public export list pointed at a deleted definition.",agentops/session/__init__.py:62 and the deletion of def current().,high
rccluster-30de7912ad7af9c3aad0,Azure/azure-sdk-for-python,41852,lazy-import-test-unused-importlib,1,1,"[""py/unused-import""]","[""sdk/evaluation/azure-ai-evaluation/tests/unittests/test_lazy_imports.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new lazy-import tests imported importlib but implemented dynamic loading through the built-in __import__ function.,test_lazy_imports.py:6 and the complete new test file.,high
rccluster-b56b192b439bdbbc8474,BeehiveInnovations/zen-mcp-server,95,base-history-local-json-import,1,1,"[""py/repeated-import""]","[""tools/base.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,modification_or_replacement,module_dependency,The added history-cleaning method imported json locally although tools/base.py already provided the same module-level import.,tools/base.py:710 versus the existing import json at line 16.,high
rccluster-3b2cc931c08c3a5fead8,BeehiveInnovations/zen-mcp-server,95,base-tool-local-logging-imports,5,1,"[""py/repeated-import""]","[""tools/shared/base_tool.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,module_dependency,Several exception branches in the new BaseTool module re-imported logging even though the module already imported logging at top level.,"tools/shared/base_tool.py:247,263,331,339,382 versus the module-level import at line 12.",high
rccluster-3b2c1c1890498dab2bf7,BeehiveInnovations/zen-mcp-server,95,duplicate-base-tool-methods,2,1,"[""py/multiple-definition""]","[""tools/shared/base_tool.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,definition_use,"The new BaseTool class defined _should_require_model_selection and _get_available_models twice, so each earlier method body was replaced before it could be used.","tools/shared/base_tool.py:193,221 and the later same-name definitions in the same class.",high
rccluster-9160c283be83ae5d7233,BeehiveInnovations/zen-mcp-server,95,unused-expert-analysis-branch-binding,1,1,"[""py/unused-local-variable""]","[""simulator_tests/test_refactor_validation.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,modification_or_replacement,definition_use,The files_required_to_continue test branch constructed expert_analysis but derived analysis_content directly from the response and never consumed the constructed binding.,simulator_tests/test_refactor_validation.py:589-590; expert_analysis is assigned on line 589 while the next line reads response_final_data directly.,high
rccluster-56e2eecd350cb12f43e5,BeehiveInnovations/zen-mcp-server,95,workflow-override-signature,1,1,"[""py/inheritance/signature-mismatch""]","[""tools/workflow/base.py""]",interface_or_contract_mismatch,override_or_type_contract_mismatch,,new_code_addition,override_or_inheritance_contract,The new workflow base class overrode should_call_expert_analysis with fewer accepted positional arguments than the inherited mixin contract.,tools/workflow/base.py:387 compared with BaseWorkflowMixin.should_call_expert_analysis; the override accepts only consolidated_findings.,high
rccluster-12ede7e31a3d5818d112,BerriAI/litellm,12551,duplicated-litellm-import-forms,3,2,"[""py/import-and-import-from"", ""py/unused-import""]","[""tests/test_litellm/llms/moonshot/test_moonshot_chat_transformation.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,module_dependency,"The new test imported the litellm module and litellm.utils in addition to importing completion directly, while its body consumed only the direct completion binding.",test_moonshot_chat_transformation.py:17-18; the mixed-import and unused-import alerts describe the same import block and consumer set.,high
rccluster-b3b2354e73257be11c4a,BerriAI/litellm,12551,unused-pytest-import,1,1,"[""py/unused-import""]","[""tests/test_litellm/llms/moonshot/test_moonshot_chat_transformation.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The new Moonshot transformation test imported pytest but implemented no pytest marker, fixture, context, or assertion helper that referenced it.",tests/test_litellm/llms/moonshot/test_moonshot_chat_transformation.py:15 and the complete new test file.,high
rccluster-4c07f93f0b1193770e4f,CapSoftware/Cap,561,license-page-unintegrated-control-scaffolding,4,1,"[""js/unused-local-variable""]","[""apps/desktop/src/routes/(window-chrome)/settings/license.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The new license page creates type signal state and navigation and imports tauriShell, but implements plan selection through isCommercialAnnual and connects none of those three scaffolding elements to behavior.","apps/desktop/src/routes/(window-chrome)/settings/license.tsx:6,25,200 and the complete new page.",high
rccluster-c60263040b2ced58fc05,CapSoftware/Cap,567,license-unused-navigation-hook,1,1,"[""js/unused-local-variable""]","[""apps/desktop/src/routes/(window-chrome)/settings/license.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The new license route instantiated a navigation hook, but its implemented upgrade flow used commands.showWindow and never invoked navigate.",license.tsx:25 and the route's checkout/upgrade handlers.,high
rccluster-ea3a9f206c4bb70e111c,CapSoftware/Cap,567,license-unused-purchase-type-signal,2,1,"[""js/unused-local-variable""]","[""apps/desktop/src/routes/(window-chrome)/settings/license.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The new commercial-license component created a type signal, but checkout behavior derived the plan from isCommercialAnnual and never read or updated that signal.",license.tsx:200 and the surrounding CommercialLicensePurchase implementation.,high
rccluster-f6bf2ba1c3ba94450433,CapSoftware/Cap,567,license-unused-shell-import,1,1,"[""js/unused-local-variable""]","[""apps/desktop/src/routes/(window-chrome)/settings/license.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new license route imported the Tauri shell namespace without implementing a shell operation.,apps/desktop/src/routes/(window-chrome)/settings/license.tsx:6 and the complete new file.,high
rccluster-02b50ca330f83031e263,CapSoftware/Cap,567,multipart-upload-route-scaffold-imports,2,1,"[""js/unused-local-variable""]","[""apps/web/app/api/upload/[...route]/multipart.ts""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new multipart-upload route imported handle and corsMiddleware but its implemented route used neither binding.,apps/web/app/api/upload/[...route]/multipart.ts:17-18 and its head route composition.,high
rccluster-f5e8d6de3116a87a98ad,CapSoftware/Cap,567,redundant-video-owner-alias,1,1,"[""js/unused-local-variable""]","[""apps/web/app/api/video/ai/route.ts""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,definition_use,The new AI route copied videoOwnerQuery[0] into videoOwner inside a branch that returned without ever reading the alias.,apps/web/app/api/video/ai/route.ts:73 and the immediately following response path.,high
rccluster-aa847c5567edd326f20a,CapSoftware/Cap,567,removed-session-type-residue,1,1,"[""js/unused-local-variable""]","[""apps/web/app/api/utils.ts""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,modification_or_replacement,definition_use,The PR removed the Session type from the API utility signature but left its next-auth import behind.,apps/web/app/api/utils.ts:7 and the removed session?: Session annotation.,high
rccluster-11bb7e5fdd5b60af249e,CapSoftware/Cap,567,share-video-api-client-residue,1,1,"[""js/unused-local-variable""]","[""apps/web/app/s/[videoId]/_components/ShareVideo.tsx""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,modification_or_replacement,definition_use,The ShareVideo refactor removed the apiClient.video call but retained construction of the now-unconsumed API client.,ShareVideo.tsx:841 and the deletion of the only apiClient consumer in the same patch.,high
rccluster-b8ec17a3dbc98742e165,CapSoftware/Cap,567,sign-in-logic-extraction-residue,10,1,"[""js/unused-local-variable""]","[""apps/desktop/src/components/SignInButton.tsx""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,modification_or_replacement,definition_use,The PR extracted the component's OAuth and session behavior into createSignInMutation but retained imports used only by the removed inline implementation.,"apps/desktop/src/components/SignInButton.tsx import block and deletion of shell, invoke, listen, stores, callback, analytics, and window calls from the component.",high
rccluster-76c9b4cf4fd09784f9ae,CapSoftware/Cap,567,sign-in-unused-zod-import,1,1,"[""js/unused-local-variable""]","[""apps/desktop/src/components/SignInButton.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The modified sign-in component added the z binding without adding any schema or other zod consumer.,apps/desktop/src/components/SignInButton.tsx:7 and the head component body.,high
rccluster-c120041e5d2f74f7a42b,CapSoftware/Cap,567,signed-upload-route-scaffold-imports,4,1,"[""js/unused-local-variable""]","[""apps/web/app/api/upload/[...route]/signed.ts""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The new signed-upload route carried cookies, getCurrentUser, handle, and corsMiddleware bindings that were not connected to its withAuth-based Hono implementation.",apps/web/app/api/upload/[...route]/signed.ts import block and complete new route body.,high
rccluster-ff9b18c692a79bb000e3,CapSoftware/Cap,567,unused-ai-time-elapsed-computation,1,1,"[""js/unused-local-variable""]","[""apps/web/actions/videos/generate-ai-metadata.ts""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The new AI metadata action computed elapsed minutes without connecting the value to timeout control, logging, or any other consumer.",apps/web/actions/videos/generate-ai-metadata.ts:55 and the remainder of the new function.,high
rccluster-966d315e4762fa71c63e,CapSoftware/Cap,567,upgrade-auth-implementation-residue,10,1,"[""js/unused-local-variable""]","[""apps/desktop/src/routes/(window-chrome)/upgrade.tsx""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,modification_or_replacement,definition_use,The upgrade route removed or commented out its inline sign-in and completion behavior but retained the imports and signal setter that only that behavior consumed.,"upgrade.tsx imports and createSignal setter compared with the deleted/commented signInAction, OAuth listeners, analytics, lifecycle hooks, and completion update.",high
rccluster-6d9c82c185e7e8307366,CapSoftware/Cap,567,upload-route-unused-auth-import,1,1,"[""js/unused-local-variable""]","[""apps/web/app/api/upload/[...route]/route.ts""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new upload route imported withAuth but composed only corsMiddleware into that route.,apps/web/app/api/upload/[...route]/route.ts:4 and its Hono middleware chain.,high
rccluster-1ccd63c89f60c5e2df09,CapSoftware/Cap,571,password-share-ui-not-integrated,3,1,"[""js/unused-local-variable""]","[""apps/web/app/s/[videoId]/Share.tsx"", ""apps/web/app/s/[videoId]/_components/PasswordOverlay.tsx"", ""apps/web/app/s/[videoId]/_components/ShareHeader.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The share-page change added an unlock icon, imported PasswordOverlay into Share, and imported DialogTitle inside the new overlay, but the resulting JSX renders none of those three elements.","ShareHeader.tsx:5, Share.tsx:12, PasswordOverlay.tsx:3 and the corresponding component JSX.",high
rccluster-3c06393fe7df6d3f4c40,CapSoftware/Cap,574,caps-list-unused-server-env,1,1,"[""js/unused-local-variable""]","[""apps/web/app/dashboard/caps/Caps.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,modification_or_replacement,definition_use,The Caps list added serverEnv without using an environment value in its list implementation.,apps/web/app/dashboard/caps/Caps.tsx:15 and the head component.,high
rccluster-8e01d19092c7c04012b9,CapSoftware/Cap,574,unused-invalidation-command-result,1,1,"[""js/unused-local-variable""]","[""apps/web/actions/video/upload.ts""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,definition_use,The new upload action bound the CreateInvalidationCommand result even though it required only the command's side effect and never read the returned value.,apps/web/actions/video/upload.ts:69 and the following action path.,high
rccluster-2611577cf49fad7c8c35,CapSoftware/Cap,574,upload-button-unintegrated-gating-values,2,1,"[""js/unused-local-variable""]","[""apps/web/app/dashboard/caps/components/UploadCapButton.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,"The new upload button obtained subscription state and computed fileSizeMB but connected neither value to upload eligibility, limits, or progress behavior.","UploadCapButton.tsx:29,106 and the complete upload flow.",high
rccluster-523b237ea8aff79b10f4,CapSoftware/Cap,575,unused-editor-meta-query-destructure,1,1,"[""js/unused-local-variable""]","[""apps/desktop/src/routes/editor/Timeline/ClipTrack.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,modification_or_replacement,definition_use,The ClipTrack modification added metaQuery to the editor-context destructuring without adding a consumer in the component.,apps/desktop/src/routes/editor/Timeline/ClipTrack.tsx:158 and the head component body.,high
rccluster-d9d3d9813d1879aee04c,CapSoftware/Cap,605,general-settings-query-residue,1,1,"[""js/unused-local-variable""]","[""apps/desktop/src/routes/(window-chrome)/(main).tsx""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,deletion_with_residue,definition_use,The route removed all system-audio decisions based on generalSettings but retained the query that produced generalSettings.,apps/desktop/src/routes/(window-chrome)/(main).tsx:65 and the PR diff removing the generalSettings.data consumers.,high
rccluster-1716ea36f68b6d2a0b97,Codehagen/Badget,294,help-dialog-unused-separator,1,1,"[""js/unused-local-variable""]","[""src/components/help/help-search-dialog.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new help-search dialog imported Separator without rendering that component in its JSX.,src/components/help/help-search-dialog.tsx:14 and the complete new component.,high
rccluster-05469ccac37ed10f86cf,Codehagen/Badget,294,help-page-unused-date-helper,1,1,"[""js/unused-local-variable""]","[""src/app/(marketing)/help/[slug]/page.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The help-page change imported formatDistanceToNow alongside format but implemented its date presentation with format only.,src/app/(marketing)/help/[slug]/page.tsx:8 and the head page implementation.,high
rccluster-f3652a94abf8456801db,Codehagen/Badget,295,bank-data-unused-icon,1,1,"[""js/unused-local-variable""]","[""src/data/banks.ts""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new bank-data module imported Banknote while every configured entry used other icon bindings.,src/data/banks.ts:1 and the complete bank data table.,high
rccluster-ac4e6b376954fa44f6fb,Codehagen/Badget,295,plaid-modal-unused-icons,1,1,"[""js/unused-local-variable""]","[""src/components/financial/plaid-link-modal.tsx""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new Plaid link modal imported three icons without rendering any of them in its JSX.,plaid-link-modal.tsx:15 and the complete new component.,high
rccluster-d6f2bf95d17bb56404a5,Codehagen/Badget,295,unused-plaid-accounts-result,1,1,"[""js/unused-local-variable""]","[""src/actions/plaid-actions.ts""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The added Plaid action extracted accounts from the response but implemented processing only for transactions.,src/actions/plaid-actions.ts:217 and the subsequent transaction-only path.,high
rccluster-d21954531743c7a2c594,DeepLabCut/DeepLabCut,3045,hard-coded-background-branch,1,1,"[""py/unreachable-statement""]","[""deeplabcut/gui/tabs/modelzoo.py""]",control_state_or_dataflow_miscomposition,invalid_or_trivial_control_path,,modification_or_replacement,control_flow,"The video-adaptation path fixes can_run_in_background to False immediately before testing it, so the background partial/thread branch cannot execute.",deeplabcut/gui/tabs/modelzoo.py:291 and the preceding constant assignment.,high
rccluster-2ba1d1b35e6bd1e27725,Deepractice/PromptX,130,directory-service-import-residue,4,1,"[""js/unused-local-variable""]","[""src/lib/core/pouch/commands/RecallCommand.js"", ""src/lib/core/pouch/commands/RegisterCommand.js"", ""src/lib/core/pouch/commands/RememberCommand.js"", ""src/lib/utils/promptxConfig.js""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,deletion_with_residue,definition_use,The directory-service refactor removed getDirectoryService initialization from three command classes and the configuration helper but retained the corresponding require bindings in all four files.,"RecallCommand.js:6, RememberCommand.js:6, RegisterCommand.js:6, and promptxConfig.js:3; each diff deletes the consumer while preserving getDirectoryService.",high
rccluster-2ed71b80e26adc1db5ff,Helicone/helicone,3882,onboarding-user-binding-residue,1,1,"[""js/unused-local-variable""]","[""web/pages/onboarding/index.tsx""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,deletion_with_residue,definition_use,The onboarding refactor removed the ownerEmail use of user but retained the local user binding.,web/pages/onboarding/index.tsx:21 and the diff deleting ownerEmail={user?.email}.,high
rccluster-cb5150b92331ab4fa4fb,HumanSignal/label-studio-ml-backend,782,fake-preload-unmanaged-file-handle,1,1,"[""py/file-not-closed""]","[""label_studio_ml/examples/timeseries_segmenter/tests/test_segmenter.py""]",dependency_error_or_resource_mismanagement,incomplete_resource_lifecycle,,new_code_addition,exception_or_resource_lifecycle,"The new fake_preload helper reads open(value) inline without a context manager or explicit close, leaving file release dependent on object reclamation.",label_studio_ml/examples/timeseries_segmenter/tests/test_segmenter.py:133 and the complete fake_preload helper.,high
rccluster-27df4ef0d8c158d70f21,HumanSignal/label-studio-ml-backend,782,logged-exception-redundant-pass,1,1,"[""py/unnecessary-pass""]","[""label_studio_ml/examples/timeseries_segmenter/tests/test_segmenter.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,local_syntax_or_style_convention,"The test's except block already contains logger.info and then adds pass, although the existing logging statement is sufficient to form the handler body.",label_studio_ml/examples/timeseries_segmenter/tests/test_segmenter.py:598 and the preceding logger.info call.,high
rccluster-8235069c05ba7872d28e,HumanSignal/label-studio-ml-backend,782,neural-net-unused-helper-imports,2,1,"[""py/unused-import""]","[""label_studio_ml/examples/timeseries_segmenter/neural_nets.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new time-series neural-net module imported pad_sequence and MulticlassAccuracy but integrated neither helper into its model or metrics code.,label_studio_ml/examples/timeseries_segmenter/neural_nets.py:9-10 and the complete new module.,high
rccluster-bde5a73d37d8a1e0d137,HumanSignal/label-studio-ml-backend,782,segmenter-test-unused-magic-mock,1,1,"[""py/unused-import""]","[""label_studio_ml/examples/timeseries_segmenter/tests/test_segmenter.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new segmenter tests imported MagicMock but implemented their mocking with patch only.,label_studio_ml/examples/timeseries_segmenter/tests/test_segmenter.py:7 and the complete new test module.,high
rccluster-c1288353e0c1ec22a9d5,Kanaries/pygwalker,700,reflex-comm-unused-routing-imports,2,1,"[""py/unused-import""]","[""pygwalker/communications/reflex_comm.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new Reflex communication module imported HTTPException and Route but implemented failures with JSONResponse and registered routes through FastAPI decorators.,pygwalker/communications/reflex_comm.py:2-3 and the complete new module.,high
rccluster-8218a1c5325a158adf64,Kiln-AI/Kiln,358,chat-formatter-unused-enum-import,1,1,"[""py/unused-import""]","[""libs/core/kiln_ai/adapters/chat/chat_formatter.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new chat formatter imported Enum but implemented strategy handling through ChatStrategy without using the base enum type.,libs/core/kiln_ai/adapters/chat/chat_formatter.py:6 and the complete new formatter.,high
rccluster-3be08b86f241796b2944,Kiln-AI/Kiln,361,adapter-call-migration-signature,5,1,"[""py/call/wrong-named-argument""]","[""libs/core/kiln_ai/adapters/data_gen/test_data_gen_task.py"", ""libs/core/kiln_ai/adapters/model_adapters/test_structured_output.py""]",interface_or_contract_mismatch,caller_callee_signature_mismatch,,dependency_or_api_migration,caller_callee_contract,"The PR systematically replaced RunConfigProperties-based adapter_for_task calls with model_name, provider, and prompt_id keywords that the head-revision function did not accept.",Five modified call sites in test_structured_output.py and test_data_gen_task.py compared with the adapter_for_task declaration.,high
rccluster-dd553ff8882baa2ef7b0,Kiln-AI/Kiln,361,exception-test-result-binding,1,1,"[""py/unused-local-variable""]","[""app/desktop/studio_server/test_provider_api.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,modification_or_replacement,definition_use,The modified exception test assigned the awaited connect_bedrock result inside pytest.raises even though a successful result was outside the asserted path and never consumed.,app/desktop/studio_server/test_provider_api.py:310 and its surrounding pytest.raises context.,high
rccluster-945231e94842a474a2df,Kiln-AI/Kiln,361,none-comparison-convention,4,1,"[""py/test-equals-none""]","[""libs/core/kiln_ai/adapters/fine_tune/test_dataset_formatter.py""]",redundant_or_locally_inconsistent_construction,local_syntax_style_or_annotation_inconsistency,,modification_or_replacement,local_syntax_or_style_convention,The added dataset-formatter assertions used equality comparisons to None instead of the identity form used by Python and elsewhere in the file.,"libs/core/kiln_ai/adapters/fine_tune/test_dataset_formatter.py:790-791,847-848.",high
rccluster-7d206bb9a6bdd7523710,Kiln-AI/Kiln,361,unused-jsonschema-import,1,1,"[""py/unused-import""]","[""libs/core/kiln_ai/adapters/model_adapters/base_adapter.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,modification_or_replacement,definition_use,The adapter modification added a direct jsonschema import while validation remained delegated to validate_schema_with_value_error.,libs/core/kiln_ai/adapters/model_adapters/base_adapter.py:6 and the head validation calls.,high
rccluster-e4e9949175b7cf6bd6eb,Kiln-AI/Kiln,365,extractor-fixture-import-residue,2,1,"[""py/unused-import""]","[""libs/core/kiln_ai/adapters/extractors/test_extractor_runner.py""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,deletion_with_residue,definition_use,The extractor-runner tests removed the PDF fixture that used shutil.copy and pathlib.Path but retained both imports.,libs/core/kiln_ai/adapters/extractors/test_extractor_runner.py:1-2 and the deleted test_pdf_file fixture.,high
rccluster-02cacaf895704a09dd3d,LeagueAkari/LeagueAkari,254,sgp-state-unused-api-import,1,1,"[""js/unused-local-variable""]","[""src/main/shards/sgp/state.ts""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The SGP state module added LeagueSgpApi to its imports but did not use the API type or value in state management.,src/main/shards/sgp/state.ts:1 and the head module.,high
rccluster-8f038481832416047eb4,MervinPraison/PraisonAI,1021,context-agent-unused-path-import,1,1,"[""py/unused-import""]","[""src/praisonai-agents/praisonaiagents/agent/context_agent.py""]",incomplete_change_coordination,unintegrated_element_in_new_code,,new_code_addition,definition_use,The new context-agent implementation imported pathlib.Path without using path objects in the module.,src/praisonai-agents/praisonaiagents/agent/context_agent.py:16 and the complete new module.,high
rccluster-b966e1309497548975b7,MervinPraison/PraisonAI,1021,context-example-result-bindings,2,1,"[""py/unused-local-variable""]","[""examples/python/agents/context-agent.py""]",redundant_or_locally_inconsistent_construction,duplicate_or_redundant_operation,,new_code_addition,definition_use,The new context-agent example assigns the results of generate_prp and create_validation_loop to prp and validation but does not inspect or present either value.,"examples/python/agents/context-agent.py:154,166 and the remainder of the example.",high
rccluster-c5ba690385777d2d0d6c,Netflix/metaflow,2467,metadata-response-before-binding,1,1,"[""py/uninitialized-local-variable""]","[""metaflow/plugins/metadata_providers/service.py""]",control_state_or_dataflow_miscomposition,state_initialization_or_liveness_gap,,modification_or_replacement,state_initialization_or_liveness,"The metadata service's exception handler raises only for status 404 and otherwise falls through to return resp, although resp is assigned only by the failed request.",metaflow/plugins/metadata_providers/service.py:370 and the preceding try/except assignment.,high
rccluster-2b57e76331c7cee992d8,Netflix/metaflow,2467,stub-generator-disabled-typing-blocks,2,1,"[""py/commented-out-code""]","[""metaflow/cmd/develop/stub_generator.py""]",incomplete_change_coordination,incomplete_cleanup_after_modification,,deletion_with_residue,definition_use,The stub-generator refactor disabled two typing/ForwardRef condition blocks by preserving the complete executable logic as comments.,"metaflow/cmd/develop/stub_generator.py:491,590 and the two commented conditional/import/assignment blocks.",high
