alert_id,root_cause_cluster_id,repo_name,pr_number,rule_id,file_path,start_line
qalert-040bff13cf3ea927ce8a0acb,rccluster-405b90bf7d928b38532c,onlook-dev/onlook,2088,js/unused-local-variable,apps/web/client/src/app/project/[id]/_components/editor-bar/panels/typography.tsx,37
qalert-040ef518208fd170e51becbe,rccluster-0b402d2fa08ea7dda794,novuhq/novu,8396,js/unused-local-variable,apps/api/src/app/workflows-v2/usecases/list-workflows/list-workflows.command.ts,3
qalert-042eec08998e7da402389986,rccluster-bfa7347e6a828af39028,airbytehq/airbyte,62455,py/unused-import,airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,8
qalert-04303b660db1311eeecc7f01,rccluster-75099625fb3b09427a7b,jlowin/fastmcp,870,py/unsafe-cyclic-import,src/fastmcp/server/proxy.py,26
qalert-043e7a1091af2ff489d0e2b7,rccluster-ee1b859966f5052ad27e,dust-tt/dust,10572,js/trivial-conditional,front/components/app/blocks/LLM.tsx,255
qalert-04825bb8e4216e77c91b00ae,rccluster-ce60046af478a081dc45,ryokun6/ryos,66,js/unused-local-variable,src/apps/terminal/components/TerminalAppComponent.tsx,3328
qalert-048dc66f935b532a53da2124,rccluster-9160c283be83ae5d7233,BeehiveInnovations/zen-mcp-server,95,py/unused-local-variable,simulator_tests/test_refactor_validation.py,589
qalert-04b4c55c517309f5061addf1,rccluster-945231e94842a474a2df,Kiln-AI/Kiln,361,py/test-equals-none,libs/core/kiln_ai/adapters/fine_tune/test_dataset_formatter.py,790
qalert-0547626bb3695bc0e22c352b,rccluster-e4e427eb5a2e12221550,apache/pulsar,24542,java/unused-parameter,managed-ledger/src/main/java/org/apache/bookkeeper/mledger/impl/OpReadEntry.java,70
qalert-054c5a4758cce2d84a414fb1,rccluster-4c07f93f0b1193770e4f,CapSoftware/Cap,561,js/unused-local-variable,apps/desktop/src/routes/(window-chrome)/settings/license.tsx,200
qalert-056729b3c8de9c8da1964f1e,rccluster-045ddb18207b0726c420,ibelick/zola,185,js/trivial-conditional,app/api/chat/route.ts,103
qalert-056a92c31632a1eb3ae63f4a,rccluster-a926dfc879fcbb7bfb96,haydenbleasel/kibo,165,js/unused-local-variable,apps/docs/examples/gantt-lanes.tsx,29
qalert-05eca8093b7e52f050c8bf27,rccluster-f5760f63afac089f39dd,OpenHFT/Chronicle-Wire,1058,java/unknown-javadoc-parameter,src/main/java/net/openhft/chronicle/wire/WireOut.java,118
qalert-0619ba2f533f3f946d35eb17,rccluster-f504dbcb0461eb638a80,oraios/serena,286,py/unused-import,src/solidlsp/language_servers/dart_language_server.py,8
qalert-064f7bb467509b8550cd09e7,rccluster-405b90bf7d928b38532c,onlook-dev/onlook,2088,js/unused-local-variable,apps/web/client/src/app/project/[id]/_components/editor-bar/panels/typography.tsx,29
qalert-065d53bd4832e82f6d16a105,rccluster-966d315e4762fa71c63e,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/routes/(window-chrome)/upgrade.tsx,9
qalert-067e51b713eeda256f249560,rccluster-019002e87e122109fb97,rsyslog/rsyslog,5754,cpp/implicit-function-declaration,plugins/mmaitag/mmaitag.c,223
qalert-068bea9496b01116068b93c8,rccluster-d2b091029ef8c28e41fc,PythonNest/PyNest,107,py/unused-import,examples/guard_examples.py,12
qalert-06cdfc1431062765cc3e9d04,rccluster-ac4e6b376954fa44f6fb,Codehagen/Badget,295,js/unused-local-variable,src/components/financial/plaid-link-modal.tsx,15
qalert-06d8e0952287dfed5b645670,rccluster-5c4189cc1e8afdf3182f,nrwl/nx,31621,js/useless-assignment-to-local,packages/cypress/src/migrations/update-20-8-0/set-inject-document-domain.ts,129
qalert-06f8ac856ff95c5a9358cbe6,rccluster-d21954531743c7a2c594,DeepLabCut/DeepLabCut,3045,py/unreachable-statement,deeplabcut/gui/tabs/modelzoo.py,291
qalert-0751ecbffe074598b1159311,rccluster-f792c5691a26c343dfc3,maybe-finance/maybe,2389,rb/useless-assignment-to-local,test/system/settings/api_keys_test.rb,168
qalert-079e81d551f99dff419ce605,rccluster-ec04a777be200ddc33c2,analogdotnow/Analog,129,js/unused-local-variable,apps/web/src/components/calendar-view.tsx,4
qalert-07ae25e78f637a837f93dca2,rccluster-b8ec17a3dbc98742e165,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/components/SignInButton.tsx,6
qalert-0908ec15c7bf700b17d535a1,rccluster-f6d096ed0c537bb0d139,crewAIInc/crewAI,2277,py/unused-import,tests/custom_llm_test.py,2
qalert-094bd817fef20e1317ffb86f,rccluster-20824d112f87058a9a9c,getsentry/sentry,93709,py/uninitialized-local-variable,src/sentry/incidents/metric_alert_detector.py,127
qalert-097875a368c0ed1bc85413ff,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/ClassCustomization.java,529
qalert-09a60eecc815741cb558c760,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/ClassCustomization.java,597
qalert-09ec3a2d360b51ac642f78b3,rccluster-c1288353e0c1ec22a9d5,Kanaries/pygwalker,700,py/unused-import,pygwalker/communications/reflex_comm.py,2
qalert-0af68b69a6a6d0e6c7ae1f37,rccluster-5d8562fe72743c82de0f,nrwl/nx,31621,js/unused-local-variable,nx-dev/ui-cloud/src/lib/enhanced-security.tsx,1
qalert-0affb89749a8c3b14f28dcd1,rccluster-966d315e4762fa71c63e,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/routes/(window-chrome)/upgrade.tsx,22
qalert-0b4e33013f92feb13e6086de,rccluster-42cb5854bde1f3f26dce,crewAIInc/crewAI,1818,py/unused-import,tests/utilities/test_planning_handler.py,2
qalert-0b5adc0bc2838e61ad112774,rccluster-c120041e5d2f74f7a42b,CapSoftware/Cap,567,js/unused-local-variable,apps/web/app/api/upload/[...route]/signed.ts,14
qalert-0bd9bc18bf20fe37c9340b83,rccluster-ff2fb4790173f70e538c,different-ai/note-companion,343,js/unused-local-variable,packages/plugin/views/assistant/inbox-logs.tsx,9
qalert-0be9494713d4918daeaabf38,rccluster-21e5a191b7593cc63fe6,pdfme/pdfme,1059,js/useless-assignment-to-local,packages/pdf-lib/src/core/streams/Ascii85Stream.ts,28
qalert-0bf13af7652e49c1824c9299,rccluster-e64fcd3221c315ca3200,unsend-dev/unsend,164,js/unused-local-variable,apps/web/src/server/public-api/auth.ts,5
qalert-0c0554b24a064417ae1f0674,rccluster-8218a1c5325a158adf64,Kiln-AI/Kiln,358,py/unused-import,libs/core/kiln_ai/adapters/chat/chat_formatter.py,6
qalert-0d28e2c0a99aae19ff62ec30,rccluster-ec1c7358922de7df6034,getsentry/sentry,95801,py/cyclic-import,src/sentry/snuba/uptime_checks.py,10
qalert-0d847592b436796a28efc3f3,rccluster-3df82d18ed76687b826c,vlm-run/vlmrun-hub,60,py/unused-import,vlmrun/hub/schemas/contrib/document/w2_form.py,2
qalert-0da93e2650d14447ea72a4c3,rccluster-ee1b859966f5052ad27e,dust-tt/dust,10572,js/trivial-conditional,front/components/app/blocks/DataSource.tsx,353
qalert-0e10517c6e949213cb683417,rccluster-b8ec17a3dbc98742e165,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/components/SignInButton.tsx,2
qalert-0eb42ac4bedc09f8f7945779,rccluster-93b5fbef7dfa34cf01b7,OpenPipe/ART,161,py/unused-import,dev/tau-bench/run_rl.py,5
qalert-0eefd404160c492c309f0809,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/PropertyCustomization.java,76
qalert-0f09715edf4a095419f74baf,rccluster-92e1e389203668c06b4c,calcom/cal.com,20580,js/unused-local-variable,apps/api/v2/src/modules/organizations/teams/routing-forms/organizations-teams-routing-forms.module.ts,8
qalert-0f6d122bbef66c2d7b851717,rccluster-45e2deebb00a6933fdf1,elizaOS/eliza,5565,js/unused-local-variable,packages/cli/tests/utils/bun-test-helpers.ts,61
qalert-0fefee1dc0d2028284fcd7d3,rccluster-0636c615dd36b0f63dda,axinc-ai/ailia-models,1704,py/unused-import,face_recognition/6d_repnet_360/6d_repnet_360.py,20
qalert-0ff4d4b4165a380dabce3591,rccluster-13aca7f93fc27a24c916,getsentry/sentry,93304,py/cyclic-import,src/sentry/integrations/github/integration.py,48
qalert-1046dae4e218e92e82166a64,rccluster-2ba1d1b35e6bd1e27725,Deepractice/PromptX,130,js/unused-local-variable,src/lib/core/pouch/commands/RecallCommand.js,6
qalert-1053aed4d89d0ed0bbbb29d2,rccluster-b8ec17a3dbc98742e165,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/components/SignInButton.tsx,9
qalert-10bcd17f2ceabea2b6c3396d,rccluster-5ba00b00b78f5de41820,module-federation/core,3883,js/unused-local-variable,tools/rslib-plugin/src/executors/build/executor.spec.ts,330
qalert-11387b145b7bb3bcb6277e3f,rccluster-9bf17e0c7a128d837a26,Skyvern-AI/skyvern,2435,py/unsafe-cyclic-import,skyvern/forge/sdk/executor/factory.py,1
qalert-116138c979e6f119ded5ddf8,rccluster-3be08b86f241796b2944,Kiln-AI/Kiln,361,py/call/wrong-named-argument,libs/core/kiln_ai/adapters/model_adapters/test_structured_output.py,150
qalert-1178cbf7c1956aeeebaaab34,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/ClassCustomization.java,440
qalert-11ec1ae1e213efec104712e6,rccluster-72ae4f68376fc48fdb2f,liam-hq/liam,1296,js/unused-local-variable,frontend/apps/app/features/projects/pages/KnowledgeSuggestionDetailPage/KnowledgeSuggestionDetailPage.tsx,9
qalert-1211416b7eaad466f9c5b899,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/ClassCustomization.java,176
qalert-121e715d9f985e2ecee1c5bf,rccluster-02defe1765c0eda6d0c5,dust-tt/dust,10572,js/trivial-conditional,front/components/spaces/SpaceWebsiteModal.tsx,598
qalert-123b187fa8bb499a42a7a681,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/ClassCustomization.java,185
qalert-12ee525c9b38277251375886,rccluster-f7b342b341016f2db787,OpenHFT/Chronicle-Wire,1061,java/unknown-javadoc-parameter,src/main/java/net/openhft/chronicle/wire/FieldInfo.java,210
qalert-1323f762a14b353b13fb7014,rccluster-38ac2d99682eb8131843,different-ai/note-companion,331,js/unused-local-variable,packages/landing/app/dao/layout.tsx,1
qalert-137e98dc6f75d0799e56bb56,rccluster-31bc5209442a09d37c4a,AgentOps-AI/agentops,650,py/unused-import,agentops/llms/providers/gemini.py,1
qalert-13dde5012ca6e56ad455f2a1,rccluster-52832b03b774b2dc5d55,PrefectHQ/marvin,1162,py/unused-global-variable,examples/slackbot/src/slackbot/__main__.py,20
qalert-13e4b6e8ae2b0306c3b12be3,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/ClassCustomization.java,116
qalert-13eff2b399ac0a9c822e2394,rccluster-f504dbcb0461eb638a80,oraios/serena,286,py/unused-import,src/solidlsp/language_servers/clojure_lsp.py,16
qalert-1411c9362d23e2613d5f4204,rccluster-903280c778469f2fe5c6,onlook-dev/onlook,1411,js/unused-local-variable,apps/studio/src/routes/editor/Canvas/Overlay/MeasurementOverlay.tsx,2
qalert-141c7edab56db0ffd093068b,rccluster-b8ec17a3dbc98742e165,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/components/SignInButton.tsx,15
qalert-14c8c2a34b8d89081c1627f2,rccluster-d2e7d48c08bffbd2490e,jxxghp/MoviePilot,4577,py/catch-base-exception,app/helper/memory.py,226
qalert-14ca6f9c999c5c50907f5f98,rccluster-d9d3d9813d1879aee04c,CapSoftware/Cap,605,js/unused-local-variable,apps/desktop/src/routes/(window-chrome)/(main).tsx,65
qalert-150ed37d0c6ecc3a33776e64,rccluster-6ca1265a2f0da3e00667,yamadashy/repomix,590,js/unused-local-variable,src/mcp/tools/mcpToolRuntime.ts,6
qalert-1586d2fa5f33451b3e59bd77,rccluster-6b2ba04a3914dec2dc9a,onlook-dev/onlook,1386,js/unused-local-variable,apps/studio/src/routes/editor/TopBar/ProjectSelect/SettingsModal/EditorTab.tsx,57
qalert-1664f67ffe8db63a5ae6dc86,rccluster-8a1ed0761c02df0bee14,AgentOps-AI/agentops,1179,py/repeated-import,docs/compile_llms_txt.py,179
qalert-17274e59eb751ebeba62e914,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/PropertyCustomization.java,123
qalert-17dacf8441c74a55530a2ed3,rccluster-d6475951d911c1fde62d,different-ai/note-companion,331,js/unused-local-variable,packages/web/app/api/process-file/route.ts,4
qalert-1823dada9ba24a73769ac63a,rccluster-4c6c051aba63bff1e939,different-ai/note-companion,331,js/unused-local-variable,packages/mobile/app/_layout.tsx,4
qalert-18541ff7f8b438cb40756d6c,rccluster-405b90bf7d928b38532c,onlook-dev/onlook,2088,js/unused-local-variable,apps/web/client/src/app/project/[id]/_components/editor-bar/panels/typography.tsx,36
qalert-18b0b429e999b63c3c0c2664,rccluster-5dadc583cef1f7ca0b2a,openai/openai-agents-python,729,py/unsafe-cyclic-import,src/agents/tracing/util.py,1
qalert-18d3b44b2de1c2465054695e,rccluster-e44bfdf45468060bba8c,onetimesecret/onetimesecret,1538,rb/useless-assignment-to-local,spec/unit/onetime/refinements/then_with_diff_spec.rb,122
qalert-19d307e508f33b8d0c6905a6,rccluster-3880200f61c329c6e615,spcl/dace,2077,py/unused-import,tests/library/library_node_expand_test.py,9
qalert-19faf0ebe426c0ce0789b38c,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/PropertyCustomization.java,155
qalert-1ade851a66dc850617a17f5e,rccluster-74f313e30ab63bae8f2a,airbytehq/airbyte,56432,py/unused-import,airbyte-integrations/connectors/source-box-data-extract/source_box_data_extract/source.py,10
qalert-1c896cba22892c6b65a7ff56,rccluster-d8c61bbc84845d19f448,onlook-dev/onlook,2088,js/unused-local-variable,apps/web/client/src/app/project/[id]/_components/editor-bar/panels/layout-position.tsx,30
qalert-1cf0525af9560b8a58b1762c,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/ClassCustomization.java,592
qalert-1d51bf2b3c2112f4406afd06,rccluster-9bf17e0c7a128d837a26,Skyvern-AI/skyvern,2435,py/cyclic-import,skyvern/services/task_v2_service.py,63
qalert-1e512f154e5e0756a917843c,rccluster-a9604cf7d8400df0792f,jxxghp/MoviePilot,4566,py/unused-import,app/helper/workflow.py,1
qalert-1e919abeb768a7a91463fc62,rccluster-5dadc583cef1f7ca0b2a,openai/openai-agents-python,729,py/cyclic-import,src/agents/tracing/setup.py,10
qalert-1ee894e1aaed799a0ff46eb2,rccluster-a9604cf7d8400df0792f,jxxghp/MoviePilot,4566,py/unused-import,app/helper/workflow.py,10
qalert-1f21b722abc6a6c60760c803,rccluster-5b48d029550e70037a4d,actions/toolkit,2100,js/unused-local-variable,packages/cache/__tests__/saveCache.test.ts,269
qalert-1f5f3f62353fc46b8e8fb360,rccluster-c228fbb78d4866ddcd59,different-ai/note-companion,343,js/unused-local-variable,packages/plugin/views/assistant/inbox-logs.tsx,23
qalert-1fae3953c40d5feb86479d27,rccluster-5ba00b00b78f5de41820,module-federation/core,3883,js/unused-local-variable,tools/rslib-plugin/src/executors/build/executor.spec.ts,76
qalert-1ff4bfd63f1f920fb1c95bd4,rccluster-17ef02abdfd899568fe6,pdfme/pdfme,761,js/unused-local-variable,packages/schemas/__tests__/utils.test.ts,3
qalert-201325d4387016426f765cf7,rccluster-e822cd95457f9e562fdb,airbytehq/airbyte,62455,py/unused-local-variable,airbyte-integrations/connectors/source-file/unit_tests/test_proxy_certificate_support.py,21
qalert-2137c842b0b2628315d974fb,rccluster-966d315e4762fa71c63e,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/routes/(window-chrome)/upgrade.tsx,5
qalert-2179ace225bea4d1068c883d,rccluster-9565ac8e88f6cc360587,elizaOS/eliza,2549,js/unused-local-variable,packages/plugin-devin/__tests__/devinProvider.test.ts,5
qalert-21c1ddd9c18128bc2dd2d490,rccluster-06bf514b4d93be7340e7,3rdIteration/btcrecover,599,py/unused-import,btcrecover/addressset.py,24
qalert-223150bb55b4e90ce8b6f4f8,rccluster-d4bcf049622d96ebcd07,keephq/keep,5015,py/unused-import,tests/test_smtp_provider.py,8
qalert-22e76769022bbee5196e3a47,rccluster-db09b0d21ddcc80632e4,ruvnet/claude-flow,519,js/unused-local-variable,src/cli/simple-commands/init/templates/github-safe.js,83
qalert-22f310719ac89d3816ee87df,rccluster-b8ec17a3dbc98742e165,CapSoftware/Cap,567,js/unused-local-variable,apps/desktop/src/components/SignInButton.tsx,14
qalert-230bd52928f61fbdd6fbf45a,rccluster-945231e94842a474a2df,Kiln-AI/Kiln,361,py/test-equals-none,libs/core/kiln_ai/adapters/fine_tune/test_dataset_formatter.py,847
qalert-2316ba89e5fe88046c4b67e5,rccluster-00b864e2449f3549de5e,prebid/Prebid.js,13160,js/trivial-conditional,modules/reconciliationRtdProvider.js,156
qalert-23292aa0be43353ee1f77523,rccluster-b966e1309497548975b7,MervinPraison/PraisonAI,1021,py/unused-local-variable,examples/python/agents/context-agent.py,154
qalert-2353f5cc80bdeb1e5179594d,rccluster-8d4e3632aaf38f356ec5,airbytehq/airbyte,52591,py/unused-import,airbyte-integrations/connectors/destination-milvus/integration_tests/milvus_integration_test.py,8
qalert-237b08fd235727ea822e48aa,rccluster-22fe86fce38159608ff3,willccbb/verifiers,124,py/unused-local-variable,tests/test_rubric_group.py,169
qalert-23b167d4dfd8d91e9a947efd,rccluster-48c5f9b21a8db14b02fc,keephq/keep,5074,py/inheritance/signature-mismatch,keep/providers/openshift_provider/openshift_provider.py,181
qalert-23e8d02e06cba9a0fa4988dc,rccluster-5e27f4f80ab918639bc9,prebid/Prebid.js,13320,js/automatic-semicolon-insertion,modules/rtbhouseBidAdapter.js,202
qalert-2404e308ba7d81133add935b,rccluster-f504dbcb0461eb638a80,oraios/serena,286,py/unused-import,src/solidlsp/language_servers/typescript_language_server.py,9
qalert-24472cf175c93c0b0330fcc8,rccluster-5e27f4f80ab918639bc9,prebid/Prebid.js,13320,js/automatic-semicolon-insertion,modules/rtbhouseBidAdapter.js,244
qalert-2447967555aea57e0427e211,rccluster-d8c61bbc84845d19f448,onlook-dev/onlook,2088,js/unused-local-variable,apps/web/client/src/app/project/[id]/_components/editor-bar/panels/layout-position.tsx,30
qalert-244c6dc4cad57485b67b68c1,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/implementation/Utils.java,186
qalert-25af226386746381e2d8c22f,rccluster-fe6123deb52d9e7febd3,calcom/cal.com,21652,js/unused-local-variable,apps/web/playwright/booking-pages.e2e.ts,251
qalert-25ecce42da2713b6ae22ba72,rccluster-16a157f891366354cb57,jnsahaj/tweakcn,98,js/unused-local-variable,app/settings/profile/page.tsx,5
qalert-26b58635f9dd9490f2cf79c6,rccluster-052e741c31c6fca1c85a,OneKeyHQ/app-monorepo,6756,js/unused-local-variable,packages/kit/src/components/RenameDialog/index.tsx,134
qalert-26b8edc23c805a4bb369a212,rccluster-977a361246a00fea0744,567-labs/instructor,1677,py/unused-local-variable,tests/llm/test_cohere/test_retries.py,61
qalert-26c39be4a09aee26b6c48457,rccluster-2ba1d1b35e6bd1e27725,Deepractice/PromptX,130,js/unused-local-variable,src/lib/utils/promptxConfig.js,3
qalert-26d920dc5b2038d28900c3e5,rccluster-7756669f0d3daf852d8c,liam-hq/liam,1296,js/unused-local-variable,frontend/apps/app/components/CommonLayout/CommonLayout.tsx,1
qalert-271d88fabeb758a5ae4475a9,rccluster-169a531566ae7c745e3a,airbytehq/airbyte,56432,py/unused-import,airbyte-integrations/connectors/source-box-data-extract/source_box_data_extract/box_api.py,9
qalert-27610620fa4751451dcdfd54,rccluster-43b08ad79066349e9691,onlook-dev/onlook,1386,js/unused-local-variable,apps/studio/src/routes/editor/TopBar/ProjectSelect/SettingsModal/ProjectTab.tsx,33
qalert-2799fe4eee4639f07f5a07c6,rccluster-302a1b104d201c23718c,microsoft/RD-Agent,975,py/inheritance/signature-mismatch,rdagent/scenarios/data_science/proposal/exp_gen/proposal.py,872
qalert-27ac75d64761f408e694ac29,rccluster-bfec5bab7a7907801292,microsoft/vscode,250672,js/unused-local-variable,src/vs/editor/test/common/codecs/tokens/baseToken.test.ts,17
qalert-27ae0ab7646f03ead537c1fa,rccluster-7c909e7913af405be005,elizaOS/eliza,2549,js/unused-local-variable,packages/plugin-devin/src/providers/devinProvider.ts,8
qalert-284bf063f6d70e5a08259259,rccluster-2b57e76331c7cee992d8,Netflix/metaflow,2467,py/commented-out-code,metaflow/cmd/develop/stub_generator.py,491
qalert-285ca85bf4bea0db4c674930,rccluster-7d54ea3b2b76810e349c,antiwork/gumroad,615,rb/uninitialized-local-variable,app/sidekiq/create_india_sales_report_job.rb,97
qalert-286781ee0ca579dc95cde046,rccluster-74f313e30ab63bae8f2a,airbytehq/airbyte,56432,py/unused-import,airbyte-integrations/connectors/source-box-data-extract/source_box_data_extract/source.py,7
qalert-286a0f7d24c307680a815896,rccluster-30de7912ad7af9c3aad0,Azure/azure-sdk-for-python,41852,py/unused-import,sdk/evaluation/azure-ai-evaluation/tests/unittests/test_lazy_imports.py,6
qalert-28a69384db5d6f8cc1b4307b,rccluster-c43c1ff9bef0c7ba17d7,jnsahaj/tweakcn,98,js/unused-local-variable,app/settings/profile/components/profile-form.tsx,61
qalert-28e090c3f0c0475ca9ae1e0b,rccluster-f1725d7609977a54a113,dagster-io/dagster,30864,py/unused-import,examples/docs_snippets/docs_snippets/guides/operate/concurrency-pool-api.py,1
qalert-29de327203a291113191eef6,rccluster-3fa4737fa3e5cf6ea447,mendableai/firecrawl,1714,js/unused-local-variable,apps/api/src/controllers/v1/search.ts,91
qalert-29f86f68c8b811a2dc089728,rccluster-84b8ccd42469eacd4aa0,microsoft/typespec,7426,java/deprecated-call,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/PropertyCustomization.java,81
qalert-29fa783cd1127f1741f29bfa,rccluster-9bf17e0c7a128d837a26,Skyvern-AI/skyvern,2435,py/cyclic-import,skyvern/services/workflow_service.py,5
qalert-2a28be833e51cd48cf0d8435,rccluster-13aca7f93fc27a24c916,getsentry/sentry,93304,py/cyclic-import,src/sentry/integrations/source_code_management/tasks.py,16
qalert-2afd708de908616260a5cef6,rccluster-fd9fafb8ef16fd50ecc0,PythonNest/PyNest,107,py/inheritance/signature-mismatch,tests/test_core/test_decorators/test_guard.py,14
qalert-2bb3b2b318db83d8ba741101,rccluster-bc681f9e4d97b6336757,langflow-ai/langflow,8870,py/call/wrong-named-argument,src/backend/tests/unit/test_mcp_server.py,144
qalert-2bbde7bfa1b03408111cd44d,rccluster-42aafc291aa7f1c6c5db,microsoft/vscode,250646,js/trivial-conditional,src/vs/platform/terminal/node/terminalProcess.ts,396
qalert-2c02fe14e2f8e757764f0114,rccluster-3b2cc931c08c3a5fead8,BeehiveInnovations/zen-mcp-server,95,py/repeated-import,tools/shared/base_tool.py,263
qalert-2c16b41eacf2bed00f3024d7,rccluster-c120041e5d2f74f7a42b,CapSoftware/Cap,567,js/unused-local-variable,apps/web/app/api/upload/[...route]/signed.ts,22
