check,scenario,term,estimate,robust_se
start_Go_minus10,start_Go_minus10,C(repo_language)[T.Python],0.5393824243774592,0.5951503165987371
start_Go_minus10,start_Go_minus10,C(repo_language)[T.Ruby],-0.0737012343015693,0.8836897858973753
start_Go_minus10,start_Go_minus10,C(repo_language)[T.TypeScript],0.2951883291188036,0.5948990510779366
start_Go_minus10,start_Go_minus10,ai,-0.2665314677205567,0.2746180564545606
start_Go_minus10,start_Go_minus10,"ai:C(task_type, Treatment(reference='fix'))[T.feat]",0.19047465628882812,0.26089302846444834
start_Go_minus10,start_Go_minus10,"ai:C(task_type, Treatment(reference='fix'))[T.refactor]",0.26469875450311225,0.37834943720302466
start_Go_minus10,start_Go_minus10,log1p_changed_kloc,1.056596658129176,0.14167167582419854
start_Go_minus20,start_Go_minus20,Intercept,-3.009097232528835,0.568247216229701
start_Go_minus20,start_Go_minus20,"C(task_type, Treatment(reference='fix'))[T.feat]",0.47063158671180216,0.12344801675659915
start_Go_minus20,start_Go_minus20,"C(task_type, Treatment(reference='fix'))[T.refactor]",0.4576244280710027,0.2251987628904851
start_Go_minus20,start_Go_minus20,C(repo_language)[T.C++],-1.939998023387151,1.2054406329280998
start_Go_minus20,start_Go_minus20,C(repo_language)[T.Go],-32.933648551683724,0.6662865030335589
start_Go_minus20,start_Go_minus20,C(repo_language)[T.Java],0.4560877276359358,0.7035818848943782
start_Go_minus20,start_Go_minus20,C(repo_language)[T.JavaScript],0.13506975646178024,1.0194077810535411
start_Go_minus20,start_Go_minus20,C(repo_language)[T.Python],0.539382424377323,0.595150316595901
start_Go_minus20,start_Go_minus20,C(repo_language)[T.Ruby],-0.0737012343065124,0.883689785895931
start_Go_minus20,start_Go_minus20,C(repo_language)[T.TypeScript],0.2951883291198301,0.5948990510751118
start_Go_minus20,start_Go_minus20,ai,-0.2665314677212821,0.274618056455139
start_Go_minus20,start_Go_minus20,"ai:C(task_type, Treatment(reference='fix'))[T.feat]",0.1904746562896126,0.26089302846525675
start_Go_minus20,start_Go_minus20,"ai:C(task_type, Treatment(reference='fix'))[T.refactor]",0.26469875450349106,0.37834943720387076
start_Go_minus20,start_Go_minus20,log1p_changed_kloc,1.0565966581301167,0.14167167582578694
