scenario,repo_name,pr_number,group,ai,task_type,repo_language,log1p_changed_kloc,overlap_weight,introduced_quality_any,introduced_quality_alerts,introduced_security_any,introduced_security_alerts
baseline,tegnike/aituber-kit,384,ai,1,fix,TypeScript,0.008959741371471904,1.0,0,0,0,0
baseline,getsentry/sentry,93319,ai,1,fix,Python,0.19474407679251177,1.0,0,0,0,0
baseline,prebid/Prebid.js,13602,ai,1,fix,JavaScript,0.001998002662673056,1.0,0,0,0,0
baseline,sysadminsmedia/homebox,861,ai,1,fix,Go,0.007968169649176874,1.0,0,0,0,0
baseline,antiwork/gumroad,304,ai,1,fix,Ruby,0.005982071677547464,1.0,0,0,0,0
baseline,nrwl/nx-console,2586,ai,1,fix,TypeScript,0.009950330853168083,1.0,0,0,0,0
baseline,SimonHalvdansson/Harmonic-HN,215,ai,1,fix,Java,0.004987541511039074,1.0,0,0,0,0
baseline,erpc/erpc,244,ai,1,fix,Go,0.12927233570413918,1.0,0,0,0,0
baseline,tokens-studio/figma-plugin,3395,ai,1,fix,TypeScript,0.010939940038334364,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2883,ai,1,fix,JavaScript,0.004987541511039074,1.0,0,0,0,0
baseline,primer/view_components,3540,ai,1,fix,Ruby,0.04114194333117518,1.0,0,0,0,0
baseline,PromtEngineer/localGPT,853,ai,1,fix,Python,0.0639133257436528,1.0,0,0,0,0
baseline,aldinokemal/go-whatsapp-web-multidevice,358,ai,1,fix,Go,0.0344014267173324,1.0,0,0,0,0
baseline,OpenHFT/Java-Thread-Affinity,157,ai,1,fix,Java,0.017839918128331,1.0,0,0,0,0
baseline,antiwork/gumroad,283,ai,1,fix,Ruby,0.001998002662673056,1.0,0,0,0,0
baseline,microsoft/ApplicationInsights-JS,2535,ai,1,fix,TypeScript,0.006975613736425242,1.0,0,0,0,0
baseline,browser-use/browser-use,2161,ai,1,fix,Python,0.002995508979798479,1.0,0,0,0,0
baseline,robinkarlberg/transfer.zip-web,37,ai,1,fix,JavaScript,0.020782539182528505,1.0,0,0,0,0
baseline,antiwork/gumroad,337,ai,1,fix,Ruby,0.001998002662673056,1.0,0,0,0,0
baseline,imbhargav5/rooks,1832,ai,1,fix,TypeScript,0.07973496801885356,1.0,0,0,0,0
baseline,prebid/Prebid.js,13283,ai,1,fix,JavaScript,0.013902905168991422,1.0,0,0,0,0
baseline,microsoft/magentic-ui,62,ai,1,fix,Python,0.001998002662673056,1.0,0,0,0,0
baseline,antiwork/gumroad,342,ai,1,fix,Ruby,0.001998002662673056,1.0,0,0,0,0
baseline,aldinokemal/go-whatsapp-web-multidevice,314,ai,1,fix,Go,0.055434706888100586,1.0,0,0,0,0
baseline,SimonHalvdansson/Harmonic-HN,219,ai,1,fix,Java,0.027615167032973367,1.0,0,0,0,0
baseline,cornerstonejs/cornerstone3D,1998,ai,1,fix,TypeScript,0.011928570865273802,1.0,0,0,0,0
baseline,mlflow/mlflow,15863,ai,1,fix,Python,0.0009995003330835331,1.0,0,0,0,0
baseline,langfuse/langfuse,7703,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,OpenHFT/Java-Thread-Affinity,159,ai,1,fix,Java,0.0246926125903715,1.0,0,0,0,0
baseline,antiwork/gumroad,366,ai,1,fix,Ruby,0.001998002662673056,1.0,0,0,0,0
baseline,getsentry/sentry,94261,ai,1,fix,Python,0.004987541511039074,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2882,ai,1,fix,JavaScript,0.044973365642731154,1.0,0,0,0,0
baseline,sysadminsmedia/homebox,875,ai,1,fix,Go,0.001998002662673056,1.0,0,0,0,0
baseline,antiwork/gumroad,357,ai,1,fix,Ruby,0.007968169649176874,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8185,ai,1,fix,TypeScript,0.03343477608623739,1.0,0,0,0,0
baseline,prebid/Prebid.js,13336,ai,1,fix,JavaScript,0.003992021269537453,1.0,0,0,0,0
baseline,docling-project/docling,1926,ai,1,fix,Python,0.009950330853168083,1.0,0,0,0,0
baseline,erpc/erpc,243,ai,1,fix,Go,0.1988508587451652,1.0,0,0,0,0
baseline,novuhq/novu,8746,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,OpenHFT/Java-Thread-Affinity,161,ai,1,fix,Java,0.005982071677547464,1.0,0,0,0,0
baseline,antiwork/gumroad,171,ai,1,fix,Ruby,0.028587456851912555,1.0,0,0,0,0
baseline,microsoft/autogen,6747,ai,1,fix,Python,0.11867152971749864,1.0,0,0,0,0
baseline,tldraw/tldraw,6352,ai,1,fix,TypeScript,0.02566774674857779,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2930,ai,1,fix,JavaScript,0.0168571170664229,1.0,0,0,0,0
baseline,antiwork/gumroad,665,ai,1,fix,Ruby,0.001998002662673056,1.0,0,0,0,0
baseline,getsentry/sentry,94258,ai,1,fix,Python,0.019802627296179712,1.0,0,0,0,0
baseline,prebid/Prebid.js,13354,ai,1,fix,JavaScript,0.006975613736425242,1.0,0,0,0,0
baseline,antiwork/gumroad,246,ai,1,fix,Ruby,0.003992021269537453,1.0,0,0,0,0
baseline,ryokun6/ryos,195,ai,1,fix,TypeScript,0.04974209189481407,1.0,1,1,0,0
baseline,parse-community/parse-dashboard,2880,ai,1,fix,JavaScript,0.010939940038334364,1.0,0,0,0,0
baseline,crewAIInc/crewAI,2396,ai,1,fix,Python,0.006975613736425242,1.0,0,0,0,0
baseline,sysadminsmedia/homebox,862,ai,1,fix,Go,0.002995508979798479,1.0,0,0,0,0
baseline,nrwl/nx-console,2579,ai,1,fix,TypeScript,0.030529205034822874,1.0,0,0,0,0
baseline,prebid/Prebid.js,13157,ai,1,fix,JavaScript,0.006975613736425242,1.0,0,0,0,0
baseline,antiwork/gumroad,419,ai,1,fix,Ruby,0.003992021269537453,1.0,0,0,0,0
baseline,gtg922r/obsidian-numerals,102,ai,1,fix,TypeScript,0.12575120530556033,1.0,0,0,0,0
baseline,gensx-inc/gensx,766,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,ryokun6/ryos,34,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,celestiaorg/celestia-core,2095,ai,1,fix,Go,0.04688358589885042,1.0,0,0,0,0
baseline,prebid/Prebid.js,13516,ai,1,fix,JavaScript,0.07696104113612832,1.0,0,0,0,0
baseline,featureform/enrichmcp,97,ai,1,fix,Python,0.001998002662673056,1.0,0,0,0,0
baseline,elixir-lsp/vscode-elixir-ls,485,ai,1,fix,TypeScript,0.003992021269537453,1.0,0,0,0,0
baseline,getsentry/sentry,95356,ai,1,fix,Python,0.002995508979798479,1.0,0,0,0,0
baseline,a16z/halmos,544,ai,1,fix,Python,0.14410034397375687,1.0,0,0,0,0
baseline,langbot-app/LangBot,1376,ai,1,fix,Python,0.009950330853168083,1.0,0,0,0,0
baseline,nrwl/nx-console,2597,ai,1,fix,TypeScript,0.05638033343610764,1.0,0,0,0,0
baseline,sysadminsmedia/homebox,892,ai,1,fix,Go,0.004987541511039074,1.0,0,0,0,0
baseline,imbhargav5/rooks,1820,ai,1,fix,TypeScript,0.005982071677547464,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2897,ai,1,fix,JavaScript,0.011928570865273802,1.0,0,0,0,0
baseline,different-ai/note-companion,307,ai,1,fix,TypeScript,2.776207167762492,1.0,0,0,0,0
baseline,langfuse/langfuse,7763,ai,1,fix,TypeScript,0.002995508979798479,1.0,0,0,0,0
baseline,badtuxx/girus-cli,96,ai,1,fix,Go,0.04783732941416013,1.0,0,0,0,0
baseline,microsoft/magentic-ui,59,ai,1,fix,Python,0.02664193094642118,1.0,0,0,0,0
baseline,tegnike/aituber-kit,383,ai,1,fix,TypeScript,0.003992021269537453,1.0,0,0,0,0
baseline,browser-use/browser-use,2260,ai,1,fix,Python,0.004987541511039074,1.0,0,0,0,0
baseline,antiwork/gumroad,558,ai,1,fix,Ruby,0.005982071677547464,1.0,0,0,0,0
baseline,microsoft/ApplicationInsights-JS,2547,ai,1,fix,TypeScript,0.007968169649176874,1.0,0,0,0,0
baseline,openai/openai-agents-js,17,ai,1,fix,TypeScript,0.10795714150509228,1.0,0,0,0,0
baseline,getsentry/sentry,93933,ai,1,fix,Python,0.001998002662673056,1.0,0,0,0,0
baseline,gbrayhan/microservices-go,41,ai,1,fix,Go,0.012916225266546328,1.0,0,0,0,0
baseline,tokens-studio/figma-plugin,3469,ai,1,fix,TypeScript,0.07417939817425151,1.0,0,0,0,0
baseline,cornerstonejs/cornerstone3D,2016,ai,1,fix,TypeScript,0.019802627296179712,1.0,0,0,0,0
baseline,browser-use/browser-use,2437,ai,1,fix,Python,0.0168571170664229,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2899,ai,1,fix,JavaScript,0.004987541511039074,1.0,0,0,0,0
baseline,haydenbleasel/ultracite,173,ai,1,fix,TypeScript,2.0938374219635683,1.0,0,0,0,0
baseline,marimo-team/marimo,3978,ai,1,fix,Python,0.039220713153281295,1.0,0,0,0,0
baseline,elizaOS/eliza,5529,ai,1,fix,TypeScript,0.22793206804600694,1.0,0,0,0,0
baseline,bruin-data/bruin,733,ai,1,fix,Go,0.050693114315518116,1.0,0,0,0,0
baseline,microsoft/vscode-mssql,19737,ai,1,fix,TypeScript,0.13365638481267358,1.0,0,0,0,0
baseline,getsentry/sentry,95114,ai,1,fix,Python,0.011928570865273802,1.0,0,0,0,0
baseline,prebid/Prebid.js,13287,ai,1,fix,JavaScript,0.02566774674857779,1.0,0,0,0,0
baseline,microsoft/vscode-pull-request-github,7061,ai,1,fix,TypeScript,0.0009995003330835331,1.0,0,0,0,0
baseline,airbytehq/airbyte,54738,ai,1,fix,Python,0.6173454671436633,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8218,ai,1,fix,TypeScript,0.020782539182528505,1.0,0,0,0,0
baseline,unsend-dev/unsend,189,ai,1,fix,TypeScript,0.020782539182528505,1.0,0,0,0,0
baseline,PromtEngineer/localGPT,847,ai,1,fix,Python,0.08709470685093376,1.0,0,0,0,0
baseline,novuhq/novu,8749,ai,1,fix,TypeScript,0.003992021269537453,1.0,0,0,0,0
baseline,PaloAltoNetworks/docusaurus-openapi-docs,1193,ai,1,fix,TypeScript,0.055434706888100586,1.0,0,0,0,0
baseline,mlflow/mlflow,16878,ai,1,fix,Python,0.04974209189481407,1.0,0,0,0,0
baseline,tldraw/tldraw,6475,ai,1,fix,TypeScript,0.014888612493750654,1.0,0,0,0,0
baseline,docling-project/docling,1975,ai,1,fix,Python,0.007968169649176874,1.0,0,0,0,0
baseline,lingodotdev/lingo.dev,704,ai,1,fix,TypeScript,0.06485097231961631,1.0,0,0,0,0
baseline,ryokun6/ryos,242,ai,1,fix,TypeScript,0.010939940038334364,1.0,0,0,0,0
baseline,prebid/Prebid.js,13134,ai,1,fix,JavaScript,0.06297479916138844,1.0,0,0,0,0
baseline,crewAIInc/crewAI,2588,ai,1,fix,Python,0.011928570865273802,1.0,0,0,0,0
baseline,langfuse/langfuse,7640,ai,1,fix,TypeScript,0.009950330853168083,1.0,0,0,0,0
baseline,pterm/pterm,725,ai,1,fix,Go,0.006975613736425242,1.0,0,0,0,0
baseline,microsoft/autogen,6752,ai,1,fix,Python,0.13365638481267358,1.0,0,0,0,0
baseline,nrwl/nx-console,2616,ai,1,fix,TypeScript,0.126632650933366,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2902,ai,1,fix,JavaScript,0.0246926125903715,1.0,0,0,0,0
baseline,pdfme/pdfme,804,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,imbhargav5/rooks,1799,ai,1,fix,TypeScript,0.7575294394892135,1.0,0,0,0,0
baseline,leonteale/pentestpackage,19,ai,1,fix,Python,0.02176149178151269,1.0,0,0,0,0
baseline,elizaOS/eliza,5660,ai,1,fix,TypeScript,0.007968169649176874,1.0,0,0,0,0
baseline,dropseed/plain,30,ai,1,fix,Python,0.001998002662673056,1.0,0,0,0,0
baseline,liam-hq/liam,1957,ai,1,fix,TypeScript,0.006975613736425242,1.0,0,0,0,0
baseline,remotion-dev/remotion,5406,ai,1,fix,TypeScript,0.05638033343610764,1.0,0,0,0,0
baseline,getsentry/sentry,93325,ai,1,fix,Python,0.020782539182528505,1.0,0,0,0,0
baseline,trycompai/comp,1055,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,celestiaorg/celestia-core,1995,ai,1,fix,Go,0.007968169649176874,1.0,0,0,0,0
baseline,OHIF/Viewers,4656,ai,1,fix,TypeScript,0.04210117601863539,1.0,0,0,0,0
baseline,getsentry/sentry,93946,ai,1,fix,Python,0.014888612493750654,1.0,0,0,0,0
baseline,prebid/Prebid.js,13387,ai,1,fix,JavaScript,0.4599532933922341,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8175,ai,1,fix,TypeScript,0.036331929247390274,1.0,0,0,0,0
baseline,stanford-crfm/levanter,1057,ai,1,fix,Python,0.001998002662673056,1.0,0,0,0,0
baseline,sysadminsmedia/homebox,895,ai,1,fix,Go,0.1414995622736995,1.0,0,0,0,0
baseline,jina-ai/node-DeepResearch,50,ai,1,fix,TypeScript,0.10616019582839063,1.0,0,0,0,0
baseline,novuhq/novu,8546,ai,1,fix,TypeScript,0.002995508979798479,1.0,0,0,0,0
baseline,ikamensh/flynt,212,ai,1,fix,Python,0.02273948696948943,1.0,0,0,0,0
baseline,reown-com/appkit,4407,ai,1,fix,TypeScript,0.05638033343610764,1.0,0,0,0,0
baseline,a16z/halmos,539,ai,1,fix,Python,0.14842000511827327,1.0,0,0,0,0
baseline,ryokun6/ryos,150,ai,1,fix,TypeScript,0.002995508979798479,1.0,0,0,0,0
baseline,prebid/Prebid.js,13601,ai,1,fix,JavaScript,0.012916225266546328,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8174,ai,1,fix,TypeScript,0.02176149178151269,1.0,0,0,0,0
baseline,3rdIteration/btcrecover,614,ai,1,fix,Python,0.017839918128331,1.0,0,0,0,0
baseline,antiwork/shortest,322,ai,1,fix,TypeScript,0.008959741371471904,1.0,0,0,0,0
baseline,microsoft/magentic-ui,70,ai,1,fix,Python,0.009950330853168083,1.0,0,0,0,0
baseline,langfuse/langfuse,7946,ai,1,fix,TypeScript,0.08709470685093376,1.0,0,0,0,0
baseline,mistralai/mistral-common,101,ai,1,fix,Python,0.003992021269537453,1.0,0,0,0,0
baseline,onlook-dev/onlook,977,ai,1,fix,TypeScript,0.0168571170664229,1.0,0,0,0,0
baseline,celestiaorg/celestia-core,2140,ai,1,fix,Go,0.0889262091944015,1.0,0,0,0,0
baseline,elizaOS/eliza,5533,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2895,ai,1,fix,JavaScript,0.04305948946044697,1.0,0,0,0,0
baseline,mlflow/mlflow,15909,ai,1,fix,Python,0.011928570865273802,1.0,0,0,0,0
baseline,novuhq/novu,8563,ai,1,fix,TypeScript,0.005982071677547464,1.0,1,1,0,0
baseline,analogdotnow/Analog,104,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,marimo-team/marimo,3768,ai,1,fix,Python,0.028587456851912555,1.0,0,0,0,0
baseline,celestiaorg/celestia-core,1987,ai,1,fix,Go,0.002995508979798479,1.0,0,0,0,0
baseline,ryokun6/ryos,156,ai,1,fix,TypeScript,0.003992021269537453,1.0,0,0,0,0
baseline,janbjorge/pgqueuer,399,ai,1,fix,Python,0.023716526617316044,1.0,0,0,0,0
baseline,microsoft/vscode,251154,ai,1,fix,TypeScript,0.0009995003330835331,1.0,0,0,0,0
baseline,langfuse/langfuse,7731,ai,1,fix,TypeScript,0.24294617861038947,1.0,0,0,0,0
baseline,prebid/Prebid.js,13357,ai,1,fix,JavaScript,0.0168571170664229,1.0,0,0,0,0
baseline,langbot-app/LangBot,1421,ai,1,fix,Python,0.0009995003330835331,1.0,0,0,0,0
baseline,microsoft/ApplicationInsights-JS,2597,ai,1,fix,TypeScript,0.030529205034822874,1.0,0,0,0,0
baseline,elizaOS/eliza,5537,ai,1,fix,TypeScript,0.15186234930924608,1.0,0,0,0,0
baseline,gofiber/fiber,3494,ai,1,fix,Go,0.054488185284069734,1.0,0,0,0,0
baseline,airbytehq/airbyte,55709,ai,1,fix,Python,0.006975613736425242,1.0,0,0,0,0
baseline,haydenbleasel/ultracite,176,ai,1,fix,TypeScript,0.05638033343610764,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8167,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,writer/writer-framework,885,ai,1,fix,Python,0.006975613736425242,1.0,0,0,0,0
baseline,tokens-studio/figma-plugin,3362,ai,1,fix,TypeScript,0.006975613736425242,1.0,0,0,0,0
baseline,novuhq/novu,8763,ai,1,fix,TypeScript,0.008959741371471904,1.0,0,0,0,0
baseline,PromtEngineer/localGPT,848,ai,1,fix,Python,0.15443635330441893,1.0,0,0,0,0
baseline,microsoft/vscode-mssql,19642,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,ryokun6/ryos,189,ai,1,fix,TypeScript,0.0246926125903715,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2916,ai,1,fix,JavaScript,0.017839918128331,1.0,0,0,0,0
baseline,docling-project/docling,1925,ai,1,fix,Python,0.003992021269537453,1.0,0,0,0,0
baseline,crewAIInc/crewAI,2476,ai,1,fix,Python,0.38594244161930047,1.0,1,1,0,0
baseline,elizaOS/eliza,5572,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,gbrayhan/microservices-go,44,ai,1,fix,Go,0.01587334915629015,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8187,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,roboflow/inference,1296,ai,1,fix,Python,0.017839918128331,1.0,0,0,0,0
baseline,microsoft/autogen,6797,ai,1,fix,Python,0.06859279146561172,1.0,0,0,0,0
baseline,miurla/morphic,588,ai,1,fix,TypeScript,0.0009995003330835331,1.0,0,0,0,0
baseline,novuhq/novu,8705,ai,1,fix,TypeScript,0.027615167032973367,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2891,ai,1,fix,JavaScript,0.05921185963184608,1.0,0,0,0,0
baseline,celestiaorg/celestia-core,2077,ai,1,fix,Go,0.14842000511827327,1.0,0,0,0,0
baseline,marimo-team/marimo,4035,ai,1,fix,Python,0.0009995003330835331,1.0,0,0,0,0
baseline,ryokun6/ryos,203,ai,1,fix,TypeScript,0.003992021269537453,1.0,0,0,0,0
baseline,angular-eslint/angular-eslint,2447,ai,1,fix,TypeScript,0.20620083058389777,1.0,0,0,0,0
baseline,elizaOS/eliza,5535,ai,1,fix,TypeScript,0.396760667478018,1.0,0,0,0,0
baseline,airbytehq/airbyte,58130,ai,1,fix,Python,0.01587334915629015,1.0,0,0,0,0
baseline,microsoft/vscode-pull-request-github,7234,ai,1,fix,TypeScript,0.005982071677547464,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8184,ai,1,fix,TypeScript,0.0916671885258238,1.0,0,0,0,0
baseline,prebid/Prebid.js,13333,ai,1,fix,JavaScript,0.023716526617316044,1.0,0,0,0,0
baseline,mlflow/mlflow,16191,ai,1,fix,Python,0.008959741371471904,1.0,0,0,0,0
baseline,novuhq/novu,8818,ai,1,fix,TypeScript,0.005982071677547464,1.0,0,0,0,0
baseline,gofiber/fiber,3617,ai,1,fix,Go,0.10074990310014305,1.0,0,0,0,0
baseline,calcom/cal.com,20670,ai,1,fix,TypeScript,0.011928570865273802,1.0,0,0,0,0
baseline,docling-project/docling,1928,ai,1,fix,Python,0.04783732941416013,1.0,1,1,0,0
baseline,ryokun6/ryos,215,ai,1,fix,TypeScript,0.003992021269537453,1.0,0,0,0,0
baseline,prebid/Prebid.js,13491,ai,1,fix,JavaScript,0.08157998699242287,1.0,0,0,0,0
baseline,crewAIInc/crewAI,3150,ai,1,fix,Python,0.11511280710050457,1.0,0,0,0,0
baseline,remotion-dev/remotion,5377,ai,1,fix,TypeScript,0.012916225266546328,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8215,ai,1,fix,TypeScript,0.16551443847757338,1.0,0,0,0,0
baseline,commaai/opendbc,2364,ai,1,fix,Python,0.001998002662673056,1.0,0,0,0,0
baseline,elizaOS/eliza,5395,ai,1,fix,TypeScript,0.011928570865273802,1.0,0,0,0,0
baseline,promptfoo/promptfoo,3187,ai,1,fix,TypeScript,0.04305948946044697,1.0,0,0,0,0
baseline,ryokun6/ryos,209,ai,1,fix,TypeScript,0.003992021269537453,1.0,0,0,0,0
baseline,PriorLabs/TabPFN,347,ai,1,fix,Python,0.007968169649176874,1.0,0,0,0,0
baseline,mendableai/firecrawl,1880,ai,1,fix,TypeScript,0.001998002662673056,1.0,0,0,0,0
baseline,mlflow/mlflow,16053,ai,1,fix,Python,0.05259245011917058,1.0,0,0,0,0
baseline,novuhq/novu,8612,ai,1,fix,TypeScript,0.1527210870176639,1.0,0,0,0,0
baseline,bruin-data/bruin,741,ai,1,fix,Go,0.001998002662673056,1.0,0,0,0,0
baseline,mlflow/mlflow,16369,ai,1,fix,Python,0.06765864847381481,1.0,0,0,0,0
baseline,elizaOS/eliza,5661,ai,1,fix,TypeScript,0.006975613736425242,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2909,ai,1,fix,JavaScript,0.0344014267173324,1.0,0,0,0,0
baseline,invoke-ai/InvokeAI,8183,ai,1,fix,TypeScript,0.023716526617316044,1.0,0,0,0,0
baseline,gofiber/fiber,3495,ai,1,fix,Go,0.13714983814723364,1.0,0,0,0,0
baseline,different-ai/note-companion,371,ai,1,fix,TypeScript,0.017839918128331,1.0,0,0,0,0
baseline,mlflow/mlflow,16265,ai,1,fix,Python,0.002995508979798479,1.0,0,0,0,0
baseline,novuhq/novu,8538,ai,1,fix,TypeScript,0.19309662996191307,1.0,0,0,0,0
baseline,parse-community/parse-dashboard,2890,ai,1,fix,JavaScript,0.17898265552844,1.0,0,0,0,0
baseline,mlflow/mlflow,16221,ai,1,fix,Python,0.011928570865273802,1.0,0,0,0,0
baseline,ryokun6/ryos,166,ai,1,fix,TypeScript,0.02664193094642118,1.0,0,0,1,1
baseline,badtuxx/girus-cli,97,ai,1,fix,Go,0.001998002662673056,1.0,0,0,0,0
baseline,tegnike/aituber-kit,411,ai,1,fix,TypeScript,0.10074990310014305,1.0,0,0,0,0
baseline,mlflow/mlflow,16014,ai,1,fix,Python,0.017839918128331,1.0,0,0,0,0
baseline,novuhq/novu,8613,ai,1,fix,TypeScript,0.12133228516752496,1.0,0,0,0,0
baseline,novuhq/novu,8404,ai,1,fix,TypeScript,0.030529205034822874,1.0,0,0,0,0
baseline,ryokun6/ryos,16,ai,1,fix,TypeScript,0.002995508979798479,1.0,0,0,0,0
baseline,different-ai/note-companion,350,ai,1,fix,TypeScript,0.004987541511039074,1.0,0,0,0,0
baseline,mendableai/firecrawl,1747,ai,1,fix,TypeScript,0.04210117601863539,1.0,0,0,0,0
baseline,reown-com/appkit,4678,ai,1,fix,TypeScript,0.06203539091945264,1.0,0,0,0,0
baseline,elizaOS/eliza,4663,ai,1,fix,TypeScript,0.6662897263900626,1.0,0,0,0,0
baseline,antiwork/shortest,323,ai,1,fix,TypeScript,0.010939940038334364,1.0,0,0,0,0
baseline,promptfoo/promptfoo,4388,ai,1,fix,TypeScript,0.0009995003330835331,1.0,0,0,0,0
baseline,jina-ai/node-DeepResearch,9,ai,1,fix,TypeScript,0.011928570865273802,1.0,0,0,0,0
baseline,onlook-dev/onlook,2127,ai,1,fix,TypeScript,0.032467190137501496,1.0,0,0,0,0
