repo_name,ai_pr_n,human_pr_n,shared
miurla/morphic,5,3,True
mlflow/mlflow,55,40,True
modelcontextprotocol/inspector,2,2,True
modelcontextprotocol/modelcontextprotocol,2,0,False
modelcontextprotocol/registry,1,0,False
module-federation/core,5,0,False
mondaycom/vibe,0,1,False
morphik-org/morphik-core,0,1,False
mrwadams/stride-gpt,1,1,True
mtrojnar/osslsigncode,9,6,True
multiboxlabs/flow-browser,1,0,False
musescore/musescore,1,0,False
mvisonneau/gitlab-ci-pipelines-exporter,3,2,True
nangohq/nango,0,22,False
navidrome/navidrome,1,1,True
nemtsov/json-mask,2,0,False
netbirdio/netbird,0,1,False
netflix/metaflow,1,1,True
netket/netket,3,3,True
newfuture/ddns,13,0,False
nextcloud/desktop,5,0,False
noneback/go-taskflow,1,0,False
nousresearch/atropos,1,1,True
novuhq/novu,59,34,True
nrwl/nx,3,3,True
nrwl/nx-console,5,3,True
objectionary/eo,3,2,True
observedobserver/streamlit-shadcn-ui,1,1,True
odigos-io/odigos,2,1,True
oekazuma/svelte-meta-tags,1,0,False
ohif/viewers,4,3,True
okteto/okteto,0,1,False
onekeyhq/app-monorepo,4,46,True
onetimesecret/onetimesecret,2,0,False
onflow/flow-go,3,0,False
onlook-dev/onlook,55,98,True
onnx/onnx,2,1,True
onyx-dot-app/onyx,4,9,True
opal/opal,1,0,False
open-webui/open-webui,1,1,True
openai/openai-agents-js,12,6,True
openai/openai-agents-python,11,4,True
openai/openai-realtime-agents,0,1,False
opencv/opencv,2,2,True
openfga/openfga,2,0,False
opengisch/qfield,0,1,False
openhft/chronicle-core,2,5,True
openhft/chronicle-wire,11,11,True
openhft/java-runtime-compiler,0,2,False
openhft/java-thread-affinity,7,3,True
opennhp/opennhp,2,0,False
openops-cloud/openops,3,11,True
openpipe/art,9,5,True
operator-framework/operator-sdk,0,1,False
opral/monorepo,1,0,False
optiscaler/optiscaler,0,2,False
oraios/serena,3,1,True
oras-project/oras,1,0,False
oss-apps/split-pro,1,0,False
owasp/mastg,1,0,False
owasp/wrongsecrets,2,0,False
owid/owid-grapher,1,0,False
owncast/owncast,3,2,True
paloaltonetworks/docusaurus-openapi-docs,10,1,True
panchovix/stable-diffusion-webui-reforge,0,1,False
parse-community/parse-dashboard,30,0,False
parse-community/parse-sdk-js,1,0,False
pastebar/pastebarapp,1,1,True
patched-codes/patchwork,1,0,False
pdfme/pdfme,27,11,True
pdm-project/pdm,1,0,False
pickle-com/glass,1,0,False
pimzino/claude-code-spec-workflow,2,0,False
pingdotgg/uploadthing,1,1,True
pionxzh/chatgpt-exporter,1,0,False
pixijs/pixijs,2,3,True
plantuml/plantuml,1,0,False
pomerium/pomerium,2,0,False
posthog/posthog,2,0,False
prebid/prebid.js,57,62,True
prefecthq/marvin,1,1,True
prefecthq/prefect,1,2,True
primer/react,5,9,True
primer/view_components,7,1,True
priorlabs/tabpfn,9,4,True
prismlauncher/prismlauncher,0,1,False
projectdiscovery/cvemap,1,0,False
projectdiscovery/tlsx,1,0,False
promptfoo/promptfoo,29,27,True
promtengineer/localgpt,4,0,False
prosekit/prosekit,2,1,True
prunaai/pruna,2,2,True
pterm/pterm,4,3,True
puemos/hls-downloader,2,0,False
pulumi/pulumi,1,1,True
pwa-builder/pwabuilder,2,0,False
pydata/pandas-datareader,0,1,False
python-cachier/cachier,3,0,False
python/devguide,1,0,False
pythonnest/pynest,1,0,False
qax-os/excelize,1,0,False
qmk/qmk_firmware,1,0,False
quiltdata/quilt,1,0,False
radius-project/radius,1,0,False
ragen-ai/ragen,3,1,True
ray-project/kuberay,0,1,False
ray-project/ray,0,1,False
razimantv/mazegenerator,1,1,True
rcaloras/bashhub-client,0,1,False
rcourtman/pulse,1,0,False
reactivecircus/android-emulator-runner,1,0,False
recallnet/js-recall,0,1,False
reflex-dev/reflex,4,2,True
remotion-dev/remotion,29,39,True
reown-com/appkit,17,12,True
resonatehq/resonate,1,0,False
ricktu288/ray-optics,2,0,False
rinadelph/agent-mcp,1,0,False
robinkarlberg/transfer.zip-web,7,0,False
roblox-ts/roblox-ts,1,0,False
roboflow/inference,10,9,True
rocketchat/rocket.chat.reactnative,0,1,False
roocodeinc/roo-code,1,5,True
root-gg/plik,2,0,False
rqlite/rqlite,8,5,True
rssnext/folo,1,1,True
rsyslog/rsyslog,17,15,True
ruvnet/claude-flow,3,0,False
ryokun6/ryos,125,0,False
ryoppippi/ccusage,1,0,False
safedep/vet,2,0,False
sakaiproject/sakai,2,2,True
sam-goodwin/alchemy,10,16,True
samayo/country-json,4,0,False
samchon/nestia,1,0,False
satmihir/fair,3,1,True
saturday06/vrm-addon-for-blender,2,0,False
savoirfairelinux/opendht,1,0,False
scale3-labs/langtrace,0,1,False
schemahero/schemahero,2,1,True
schemastore/schemastore,1,1,True
sdorra/content-collections,1,0,False
seasonedcc/composable-functions,0,1,False
seasonedcc/remix-forms,11,22,True
sebastianwessel/quickjs,3,1,True
secretlint/secretlint,2,0,False
seladb/pcapplusplus,1,0,False
shabegom/buttons,1,0,False
shader-slang/slang,17,0,False
shelf-nu/shelf.nu,1,0,False
shivammathur/setup-php,3,0,False
shoelace-style/shoelace,0,1,False
shopify/roast,3,5,True
significant-gravitas/autogpt,16,13,True
silvery107/rl-mpc-locomotion,1,0,False
simonhalvdansson/harmonic-hn,8,5,True
simonw/llm,1,1,True
sirver/ultisnips,2,3,True
skypilot-org/skypilot,2,2,True
skyvern-ai/skyvern,8,14,True
smtg-ai/claude-squad,0,1,False
softfever/orcaslicer,0,1,False
sooperset/mcp-atlassian,1,0,False
sourcebot-dev/sourcebot,0,1,False
spcl/dace,3,8,True
spring-projects/spring-kafka,0,1,False
stack-auth/stack-auth,12,21,True
stair-lab/kg-gen,0,1,False
stanford-crfm/levanter,38,2,True
stanfordnlp/dspy,8,5,True
stirling-tools/stirling-pdf,3,2,True
strapi/documentation,1,0,False
strawberry-graphql/strawberry,1,1,True
streamich/json-joy,1,0,False
streamich/memfs,2,0,False
strnad/crewai-studio,2,0,False
subzeroid/instagrapi,0,1,False
supabase/supabase,0,1,False
superagent-ai/vibekit,4,0,False
superfly/flyctl,1,0,False
superlinear-ai/raglite,1,0,False
syedazharmbnr1/claude-chatgpt-mcp,1,1,True
syntasso/kratix,3,5,True
sysadminsmedia/homebox,6,0,False
tact-lang/tact,1,2,True
taiga-family/taiga-ui,1,0,False
tanstack/db,3,0,False
tavily-ai/tavily-mcp,0,1,False
tegnike/aituber-kit,11,15,True
temporalio/sdk-go,1,1,True
temporalio/temporal,4,5,True
tencent/ncnn,1,0,False
test-zeus-ai/testzeus-hercules,0,1,False
textlint/textlint,1,0,False
thealgorithms/python,0,1,False
thefrontside/effection,0,1,False
theturtle32/websocket-node,2,1,True
thirdweb-dev/js,22,9,True
thomasahle/sunfish,1,0,False
thomasxm/boaz_beta,1,0,False
thrasher-corp/gocryptotrader,3,0,False
tinygrad/tinygrad,2,6,True
tinyplex/tinybase,2,1,True
tldraw/tldraw,8,7,True
tobikodata/sqlmesh,4,3,True
toeverything/affine,0,2,False
tokens-studio/figma-plugin,10,20,True
tolwi/hassio-ecoflow-cloud,1,0,False
topfunky/gruff,1,0,False
torchio-project/torchio,2,0,False
traccar/traccar,2,2,True
traccar/traccar-web,2,1,True
tracecathq/tracecat,2,0,False
tradingview/lightweight-charts,0,1,False
transloadit/uppy,3,0,False
triggerdotdev/trigger.dev,0,3,False
trycompai/comp,18,15,True
trylinky/linky,2,0,False
tszhong0411/nelsonlai.me,1,0,False
twentyhq/twenty,3,4,True
uberi/speech_recognition,2,2,True
ucbepic/docetl,4,0,False
ukrbublik/react-awesome-query-builder,1,0,False
unclecode/crawl4ai,6,0,False
unibeck/solstatus,3,3,True
unsend-dev/unsend,4,5,True
useautumn/autumn,2,0,False
usememos/memos,1,0,False
uxlfoundation/onedal,1,1,True
valkey-io/valkey-glide,17,0,False
vdaas/vald,3,6,True
veloera/veloera,6,4,True
vercel/next.js,0,1,False
vercel/vercel,1,1,True
vgmtrans/vgmtrans,1,1,True
vitejs/vite,1,0,False
vitejs/vite-plugin-react,1,0,False
vllm-project/vllm,1,1,True
vlm-run/vlmrun-hub,11,7,True
voideditor/void,0,1,False
volcengine/verl,0,1,False
voxelum/x-minecraft-launcher,2,0,False
vrsen/agency-swarm,1,0,False
wailsapp/wails,0,1,False
wait4x/wait4x,1,1,True
wandb/wandb,0,1,False
wandb/weave,4,1,True
wechaty/wechaty,1,0,False
wei/socialify,1,2,True
wgzhao/addax,1,0,False
whitphx/stlite,2,2,True
whitphx/streamlit-webrtc,0,1,False
willccbb/verifiers,4,0,False
winedarksea/autots,1,0,False
wix/react-native-ui-lib,3,11,True
wizarrrr/wizarr,4,3,True
wolfssl/wolfmqtt,1,0,False
wolfssl/wolfssl,2,14,True
wonderwhy-er/desktopcommandermcp,0,1,False
writer/writer-framework,3,6,True
wuba/react-native-echarts,1,0,False
x64dbg/x64dbg,1,0,False
xinrea/bili-shadowreplay,1,0,False
xtermjs/xterm.js,1,2,True
yamadashy/repomix,18,20,True
yeasy/blockchain_guide,1,0,False
yegor256/cactoos,0,1,False
yoshiko-pg/difit,3,0,False
yutto-dev/yutto,1,0,False
yysun/apprun,2,0,False
yytypescript/book,3,2,True
z3prover/z3,4,2,True
zaidmukaddam/scira,1,0,False
zauberzeug/nicegui,1,1,True
zenml-io/zenml,4,9,True
zeroc-ice/ice,2,3,True
zoidsh/meru,1,0,False
zuiidea/antd-admin,1,0,False
zwave-js/zwave-js,1,0,False
