invocation_order,invocation_id,case_id,group,case_control,repo_name,pr_number,task_type,output_relpath
16,rq3-016-case-cb2aa3ca3fcfec607cfe,case-cb2aa3ca3fcfec607cfe,ai,control,mendableai/firecrawl,1840,feat,invocations/rq3-016-case-cb2aa3ca3fcfec607cfe
17,rq3-017-case-ceeab167e6eb9cc30b63,case-ceeab167e6eb9cc30b63,human,positive,crewAIInc/crewAI,2851,feat,invocations/rq3-017-case-ceeab167e6eb9cc30b63
18,rq3-018-case-876b04abf7d9fca64331,case-876b04abf7d9fca64331,ai,control,airbytehq/airbyte,60252,feat,invocations/rq3-018-case-876b04abf7d9fca64331
19,rq3-019-case-7cf6b8b222a8054d4a1c,case-7cf6b8b222a8054d4a1c,ai,positive,wandb/weave,4552,feat,invocations/rq3-019-case-7cf6b8b222a8054d4a1c
20,rq3-020-case-4bdf822f70334d0f1dc2,case-4bdf822f70334d0f1dc2,ai,control,mlflow/mlflow,16551,feat,invocations/rq3-020-case-4bdf822f70334d0f1dc2
21,rq3-021-case-70e2ad7555f8d7f01060,case-70e2ad7555f8d7f01060,human,control,prebid/Prebid.js,12972,feat,invocations/rq3-021-case-70e2ad7555f8d7f01060
22,rq3-022-case-0f974a189406b0e9fdff,case-0f974a189406b0e9fdff,human,control,OneKeyHQ/app-monorepo,7071,fix,invocations/rq3-022-case-0f974a189406b0e9fdff
23,rq3-023-case-656157e34a42feec3ad8,case-656157e34a42feec3ad8,ai,control,OpenHFT/Chronicle-Wire,1062,refactor,invocations/rq3-023-case-656157e34a42feec3ad8
24,rq3-024-case-0eb420b020d66fb3faa1,case-0eb420b020d66fb3faa1,ai,positive,3rdIteration/btcrecover,613,fix,invocations/rq3-024-case-0eb420b020d66fb3faa1
25,rq3-025-case-7d141ea370270a99cd74,case-7d141ea370270a99cd74,ai,positive,ikamensh/flynt,226,feat,invocations/rq3-025-case-7d141ea370270a99cd74
26,rq3-026-case-1855415e884ee1ba48cc,case-1855415e884ee1ba48cc,human,control,OneKeyHQ/app-monorepo,6705,feat,invocations/rq3-026-case-1855415e884ee1ba48cc
27,rq3-027-case-e76cf55d18b0ab58656e,case-e76cf55d18b0ab58656e,human,control,airbytehq/airbyte,53686,feat,invocations/rq3-027-case-e76cf55d18b0ab58656e
28,rq3-028-case-3c8177202cf6cc19c412,case-3c8177202cf6cc19c412,human,positive,sakaiproject/sakai,13683,refactor,invocations/rq3-028-case-3c8177202cf6cc19c412
29,rq3-029-case-ff1dc77e4f7787b90c70,case-ff1dc77e4f7787b90c70,human,positive,spcl/dace,1975,fix,invocations/rq3-029-case-ff1dc77e4f7787b90c70
30,rq3-030-case-e17525ec35113f1fa642,case-e17525ec35113f1fa642,ai,positive,crewAIInc/crewAI,1818,fix,invocations/rq3-030-case-e17525ec35113f1fa642
31,rq3-031-case-5049d6408b926501ef3e,case-5049d6408b926501ef3e,human,control,spcl/dace,1896,fix,invocations/rq3-031-case-5049d6408b926501ef3e
32,rq3-032-case-9258fcf27373a933e7e2,case-9258fcf27373a933e7e2,human,positive,crewAIInc/crewAI,3057,feat,invocations/rq3-032-case-9258fcf27373a933e7e2
33,rq3-033-case-14a8d97497657e19a2a9,case-14a8d97497657e19a2a9,ai,positive,crewAIInc/crewAI,2277,feat,invocations/rq3-033-case-14a8d97497657e19a2a9
34,rq3-034-case-dd8a6cbe3c950793b3a1,case-dd8a6cbe3c950793b3a1,ai,positive,TobikoData/sqlmesh,4667,feat,invocations/rq3-034-case-dd8a6cbe3c950793b3a1
35,rq3-035-case-4578c4889514db7150cf,case-4578c4889514db7150cf,human,positive,tinygrad/tinygrad,8731,refactor,invocations/rq3-035-case-4578c4889514db7150cf
36,rq3-036-case-525728e1a062e44ee133,case-525728e1a062e44ee133,human,positive,uxlfoundation/oneDAL,3046,feat,invocations/rq3-036-case-525728e1a062e44ee133
37,rq3-037-case-3fb516ef59e99ebefe90,case-3fb516ef59e99ebefe90,human,positive,SimonHalvdansson/Harmonic-HN,210,feat,invocations/rq3-037-case-3fb516ef59e99ebefe90
38,rq3-038-case-2cdd9473970f9f723f9e,case-2cdd9473970f9f723f9e,human,positive,microsoft/react-native-windows,14648,feat,invocations/rq3-038-case-2cdd9473970f9f723f9e
39,rq3-039-case-bb513ea234bdfc13c5a1,case-bb513ea234bdfc13c5a1,human,positive,microsoft/etl2pcapng,79,feat,invocations/rq3-039-case-bb513ea234bdfc13c5a1
40,rq3-040-case-7f788149a3a2219a99e4,case-7f788149a3a2219a99e4,human,control,crewAIInc/crewAI,2969,feat,invocations/rq3-040-case-7f788149a3a2219a99e4
41,rq3-041-case-880de7042f7b15901f54,case-880de7042f7b15901f54,human,control,janbjorge/pgqueuer,286,refactor,invocations/rq3-041-case-880de7042f7b15901f54
42,rq3-042-case-abeeda63ad07c7938f14,case-abeeda63ad07c7938f14,human,positive,prebid/Prebid.js,12705,fix,invocations/rq3-042-case-abeeda63ad07c7938f14
43,rq3-043-case-f79f81c705927327894b,case-f79f81c705927327894b,human,positive,crewAIInc/crewAI,2059,refactor,invocations/rq3-043-case-f79f81c705927327894b
44,rq3-044-case-84c82eee85b78c55a60c,case-84c82eee85b78c55a60c,human,positive,marimo-team/marimo,3926,fix,invocations/rq3-044-case-84c82eee85b78c55a60c
45,rq3-045-case-6810e3569e902f4a518f,case-6810e3569e902f4a518f,human,positive,microsoft/typespec,7669,fix,invocations/rq3-045-case-6810e3569e902f4a518f
46,rq3-046-case-251cb80f6be4da1148b5,case-251cb80f6be4da1148b5,ai,positive,prebid/Prebid.js,13160,fix,invocations/rq3-046-case-251cb80f6be4da1148b5
47,rq3-047-case-1b1b75ac29761e80113e,case-1b1b75ac29761e80113e,ai,control,marimo-team/marimo,3843,refactor,invocations/rq3-047-case-1b1b75ac29761e80113e
48,rq3-048-case-d16aaf7c33621dbb5444,case-d16aaf7c33621dbb5444,ai,control,crewAIInc/crewAI,2904,feat,invocations/rq3-048-case-d16aaf7c33621dbb5444
49,rq3-049-case-e5ea5da2a535c77cde60,case-e5ea5da2a535c77cde60,human,positive,mlflow/mlflow,15807,fix,invocations/rq3-049-case-e5ea5da2a535c77cde60
50,rq3-050-case-ed9ae96c6bb9c789e7e4,case-ed9ae96c6bb9c789e7e4,ai,positive,liuliu/ccv,268,feat,invocations/rq3-050-case-ed9ae96c6bb9c789e7e4
51,rq3-051-case-315d6ae6a9b8cfaf69af,case-315d6ae6a9b8cfaf69af,ai,positive,jxxghp/MoviePilot,4577,feat,invocations/rq3-051-case-315d6ae6a9b8cfaf69af
52,rq3-052-case-4cf1ca9870497fac9821,case-4cf1ca9870497fac9821,human,positive,Kiln-AI/Kiln,205,refactor,invocations/rq3-052-case-4cf1ca9870497fac9821
53,rq3-053-case-e2873dbaad5aa9b00625,case-e2873dbaad5aa9b00625,human,positive,chhoumann/quickadd,823,fix,invocations/rq3-053-case-e2873dbaad5aa9b00625
54,rq3-054-case-c1f71d6f3f82b8cb893c,case-c1f71d6f3f82b8cb893c,ai,positive,TobikoData/sqlmesh,4712,feat,invocations/rq3-054-case-c1f71d6f3f82b8cb893c
55,rq3-055-case-456a99e5375f1a6b0158,case-456a99e5375f1a6b0158,human,control,getsentry/sentry,94465,fix,invocations/rq3-055-case-456a99e5375f1a6b0158
56,rq3-056-case-906c229655ff5b2d845d,case-906c229655ff5b2d845d,ai,control,567-labs/instructor,1735,feat,invocations/rq3-056-case-906c229655ff5b2d845d
57,rq3-057-case-4055614affc1d125415b,case-4055614affc1d125415b,human,control,stack-auth/stack-auth,409,feat,invocations/rq3-057-case-4055614affc1d125415b
58,rq3-058-case-58063cca6b2b2e55d6c8,case-58063cca6b2b2e55d6c8,human,positive,Kanaries/graphic-walker,437,fix,invocations/rq3-058-case-58063cca6b2b2e55d6c8
59,rq3-059-case-9e05553c2cc8257de803,case-9e05553c2cc8257de803,human,positive,mlflow/mlflow,16059,feat,invocations/rq3-059-case-9e05553c2cc8257de803
60,rq3-060-case-7fb6be0a9ff351d07097,case-7fb6be0a9ff351d07097,human,positive,keepassxreboot/keepassxc,11787,fix,invocations/rq3-060-case-7fb6be0a9ff351d07097
61,rq3-061-case-4305c02b5fa838228719,case-4305c02b5fa838228719,ai,positive,AgentOps-AI/agentops,729,fix,invocations/rq3-061-case-4305c02b5fa838228719
62,rq3-062-case-2306add458da3672e85f,case-2306add458da3672e85f,human,positive,prebid/Prebid.js,12909,fix,invocations/rq3-062-case-2306add458da3672e85f
63,rq3-063-case-74c18a92c1535b657998,case-74c18a92c1535b657998,ai,positive,crewAIInc/crewAI,2994,fix,invocations/rq3-063-case-74c18a92c1535b657998
64,rq3-064-case-2cb2790135584fbec7b6,case-2cb2790135584fbec7b6,ai,control,NewFuture/DDNS,512,refactor,invocations/rq3-064-case-2cb2790135584fbec7b6
65,rq3-065-case-39bad374a9ade4062ccd,case-39bad374a9ade4062ccd,human,control,langchain-ai/langgraph,3463,feat,invocations/rq3-065-case-39bad374a9ade4062ccd
66,rq3-066-case-255b98f2886754608eeb,case-255b98f2886754608eeb,human,positive,novuhq/novu,8262,feat,invocations/rq3-066-case-255b98f2886754608eeb
67,rq3-067-case-4e52a2d6c64a01088271,case-4e52a2d6c64a01088271,human,positive,prebid/Prebid.js,13372,feat,invocations/rq3-067-case-4e52a2d6c64a01088271
68,rq3-068-case-705a42a22ea1000106b3,case-705a42a22ea1000106b3,human,control,crewAIInc/crewAI,2155,fix,invocations/rq3-068-case-705a42a22ea1000106b3
69,rq3-069-case-9fc71d49b20c11c24094,case-9fc71d49b20c11c24094,ai,positive,wizarrrr/wizarr,612,feat,invocations/rq3-069-case-9fc71d49b20c11c24094
70,rq3-070-case-60f7ca8a89bbb8cb0918,case-60f7ca8a89bbb8cb0918,human,control,OpenHFT/Java-Thread-Affinity,180,feat,invocations/rq3-070-case-60f7ca8a89bbb8cb0918
71,rq3-071-case-aafc976b852cd121ef7e,case-aafc976b852cd121ef7e,ai,positive,keephq/keep,5074,feat,invocations/rq3-071-case-aafc976b852cd121ef7e
72,rq3-072-case-ce25e18c3e1b45613955,case-ce25e18c3e1b45613955,human,control,crewAIInc/crewAI,2916,feat,invocations/rq3-072-case-ce25e18c3e1b45613955
73,rq3-073-case-080160e7e517f3fd623e,case-080160e7e517f3fd623e,ai,positive,useautumn/autumn,95,feat,invocations/rq3-073-case-080160e7e517f3fd623e
74,rq3-074-case-44b8fa06262c22ac1334,case-44b8fa06262c22ac1334,human,control,AgentOps-AI/agentops,981,fix,invocations/rq3-074-case-44b8fa06262c22ac1334
75,rq3-075-case-60517847296ec932aa51,case-60517847296ec932aa51,human,control,AgentOps-AI/agentops,914,feat,invocations/rq3-075-case-60517847296ec932aa51
76,rq3-076-case-3579bc98fa0e953b64f7,case-3579bc98fa0e953b64f7,ai,control,Significant-Gravitas/AutoGPT,9968,fix,invocations/rq3-076-case-3579bc98fa0e953b64f7
77,rq3-077-case-bf504bf40300ad6e13d5,case-bf504bf40300ad6e13d5,ai,positive,airbytehq/airbyte,54164,refactor,invocations/rq3-077-case-bf504bf40300ad6e13d5
78,rq3-078-case-8154f4ee5fa099eb0976,case-8154f4ee5fa099eb0976,human,control,mlflow/mlflow,15902,feat,invocations/rq3-078-case-8154f4ee5fa099eb0976
79,rq3-079-case-8f13a23ad6dd97124ee6,case-8f13a23ad6dd97124ee6,ai,positive,reflex-dev/reflex,5555,refactor,invocations/rq3-079-case-8f13a23ad6dd97124ee6
80,rq3-080-case-297b8514fd048d20c40e,case-297b8514fd048d20c40e,ai,positive,antiwork/gumroad,615,feat,invocations/rq3-080-case-297b8514fd048d20c40e
81,rq3-081-case-c812fbc20a056cc30f2a,case-c812fbc20a056cc30f2a,human,positive,Azure/azure-sdk-for-python,40382,feat,invocations/rq3-081-case-c812fbc20a056cc30f2a
82,rq3-082-case-3b5889bf8c2dda15fe1f,case-3b5889bf8c2dda15fe1f,ai,positive,jina-ai/node-DeepResearch,1,feat,invocations/rq3-082-case-3b5889bf8c2dda15fe1f
83,rq3-083-case-bd12d899319fd7a1cd2e,case-bd12d899319fd7a1cd2e,ai,positive,logancyang/obsidian-copilot,1497,feat,invocations/rq3-083-case-bd12d899319fd7a1cd2e
84,rq3-084-case-d4ea05c67dc5b4b78eca,case-d4ea05c67dc5b4b78eca,human,positive,OneKeyHQ/app-monorepo,7207,feat,invocations/rq3-084-case-d4ea05c67dc5b4b78eca
85,rq3-085-case-7a8a934168b2b85d88cc,case-7a8a934168b2b85d88cc,human,positive,mtrojnar/osslsigncode,423,feat,invocations/rq3-085-case-7a8a934168b2b85d88cc
86,rq3-086-case-e303faa725537be11450,case-e303faa725537be11450,human,control,bespokelabsai/curator,459,feat,invocations/rq3-086-case-e303faa725537be11450
87,rq3-087-case-10fff4befc55cc64d234,case-10fff4befc55cc64d234,human,positive,Kiln-AI/Kiln,308,feat,invocations/rq3-087-case-10fff4befc55cc64d234
88,rq3-088-case-42cb40725b6715e6b56e,case-42cb40725b6715e6b56e,ai,positive,onlook-dev/onlook,2171,feat,invocations/rq3-088-case-42cb40725b6715e6b56e
89,rq3-089-case-4161a92d63b830e8d25b,case-4161a92d63b830e8d25b,human,positive,tegnike/aituber-kit,360,feat,invocations/rq3-089-case-4161a92d63b830e8d25b
90,rq3-090-case-a907ff7b7b82863f67ef,case-a907ff7b7b82863f67ef,ai,control,langbot-app/LangBot,1505,feat,invocations/rq3-090-case-a907ff7b7b82863f67ef
91,rq3-091-case-c1c67da67371cc6f4e74,case-c1c67da67371cc6f4e74,ai,positive,TobikoData/sqlmesh,4713,feat,invocations/rq3-091-case-c1c67da67371cc6f4e74
92,rq3-092-case-825e526ce8d150c686e2,case-825e526ce8d150c686e2,human,positive,dropseed/plain,28,refactor,invocations/rq3-092-case-825e526ce8d150c686e2
93,rq3-093-case-697674ac2a65b8707ff3,case-697674ac2a65b8707ff3,ai,positive,mendableai/firecrawl,1445,feat,invocations/rq3-093-case-697674ac2a65b8707ff3
94,rq3-094-case-244800b3cbf68e43bdd2,case-244800b3cbf68e43bdd2,ai,positive,Significant-Gravitas/AutoGPT,10063,feat,invocations/rq3-094-case-244800b3cbf68e43bdd2
95,rq3-095-case-144b11f4f95ea43bdd29,case-144b11f4f95ea43bdd29,human,positive,marimo-team/marimo,3628,fix,invocations/rq3-095-case-144b11f4f95ea43bdd29
96,rq3-096-case-e3f9933438baa76e6439,case-e3f9933438baa76e6439,human,control,Kanaries/graphic-walker,455,fix,invocations/rq3-096-case-e3f9933438baa76e6439
97,rq3-097-case-f6e573c08f4abfb387e2,case-f6e573c08f4abfb387e2,ai,positive,stanfordnlp/dspy,8478,feat,invocations/rq3-097-case-f6e573c08f4abfb387e2
98,rq3-098-case-07ba9e3f89cf9b52baf7,case-07ba9e3f89cf9b52baf7,ai,positive,microsoft/genaiscript,1636,feat,invocations/rq3-098-case-07ba9e3f89cf9b52baf7
99,rq3-099-case-9f8fcb774f327764ac98,case-9f8fcb774f327764ac98,ai,positive,Kiln-AI/Kiln,352,feat,invocations/rq3-099-case-9f8fcb774f327764ac98
100,rq3-100-case-6a297efc4f39098889c7,case-6a297efc4f39098889c7,human,positive,rsyslog/rsyslog,5699,refactor,invocations/rq3-100-case-6a297efc4f39098889c7
101,rq3-101-case-b3c04defeaeb2dfc8df4,case-b3c04defeaeb2dfc8df4,human,control,featureform/enrichmcp,27,feat,invocations/rq3-101-case-b3c04defeaeb2dfc8df4
102,rq3-102-case-5c4295a4e29dfd518b81,case-5c4295a4e29dfd518b81,human,positive,microsoft/HydraLab,698,feat,invocations/rq3-102-case-5c4295a4e29dfd518b81
103,rq3-103-case-8ed0c47b940923bc72d2,case-8ed0c47b940923bc72d2,ai,positive,crewAIInc/crewAI-tools,160,feat,invocations/rq3-103-case-8ed0c47b940923bc72d2
104,rq3-104-case-cc06a36391a666250d94,case-cc06a36391a666250d94,human,positive,microsoft/onnxruntime-genai,1264,feat,invocations/rq3-104-case-cc06a36391a666250d94
105,rq3-105-case-e6e36b8bcc69c4977c43,case-e6e36b8bcc69c4977c43,human,positive,CapSoftware/Cap,427,feat,invocations/rq3-105-case-e6e36b8bcc69c4977c43
106,rq3-106-case-4f8afc12e67d17483588,case-4f8afc12e67d17483588,human,positive,promptfoo/promptfoo,3507,fix,invocations/rq3-106-case-4f8afc12e67d17483588
107,rq3-107-case-7b36cddecd405895932b,case-7b36cddecd405895932b,ai,positive,a16z/halmos,533,feat,invocations/rq3-107-case-7b36cddecd405895932b
108,rq3-108-case-4d8ff19fb340c20d7a49,case-4d8ff19fb340c20d7a49,ai,positive,openai/openai-agents-python,923,feat,invocations/rq3-108-case-4d8ff19fb340c20d7a49
109,rq3-109-case-8951dec5ce285d98965c,case-8951dec5ce285d98965c,human,positive,mlflow/mlflow,14632,feat,invocations/rq3-109-case-8951dec5ce285d98965c
110,rq3-110-case-c4848de88db37b12c136,case-c4848de88db37b12c136,ai,positive,mlflow/mlflow,16112,fix,invocations/rq3-110-case-c4848de88db37b12c136
111,rq3-111-case-9d55cc1091c28ad2789b,case-9d55cc1091c28ad2789b,ai,positive,SimonHalvdansson/Harmonic-HN,217,feat,invocations/rq3-111-case-9d55cc1091c28ad2789b
112,rq3-112-case-fec39babcb4d42292e9b,case-fec39babcb4d42292e9b,human,positive,microsoft/azuredatastudio,26290,feat,invocations/rq3-112-case-fec39babcb4d42292e9b
113,rq3-113-case-2d29c8266ee4ae3326fa,case-2d29c8266ee4ae3326fa,ai,positive,keephq/keep,5015,feat,invocations/rq3-113-case-2d29c8266ee4ae3326fa
114,rq3-114-case-7e619218951594d5155d,case-7e619218951594d5155d,human,positive,crewAIInc/crewAI,2042,refactor,invocations/rq3-114-case-7e619218951594d5155d
115,rq3-115-case-da8176df9d4c3da588f6,case-da8176df9d4c3da588f6,human,positive,allenai/open-instruct,670,feat,invocations/rq3-115-case-da8176df9d4c3da588f6
116,rq3-116-case-d43932c2523bb6005b6b,case-d43932c2523bb6005b6b,human,positive,Kanaries/pygwalker,673,feat,invocations/rq3-116-case-d43932c2523bb6005b6b
117,rq3-117-case-c7587212ad97b8e4dbd6,case-c7587212ad97b8e4dbd6,ai,positive,microsoft/typespec,7927,fix,invocations/rq3-117-case-c7587212ad97b8e4dbd6
118,rq3-118-case-49ba87d78fec9fc37aa1,case-49ba87d78fec9fc37aa1,ai,positive,willccbb/verifiers,160,feat,invocations/rq3-118-case-49ba87d78fec9fc37aa1
119,rq3-119-case-72d9d34b8bd7f1c63abc,case-72d9d34b8bd7f1c63abc,human,positive,microsoft/onnxruntime,24962,feat,invocations/rq3-119-case-72d9d34b8bd7f1c63abc
120,rq3-120-case-bdc46ccfb585e0813fba,case-bdc46ccfb585e0813fba,ai,positive,mendableai/firecrawl,1447,feat,invocations/rq3-120-case-bdc46ccfb585e0813fba
121,rq3-121-case-5692e89beef2e6430372,case-5692e89beef2e6430372,human,positive,liam-hq/liam,1677,feat,invocations/rq3-121-case-5692e89beef2e6430372
122,rq3-122-case-232a78570fb9941423b0,case-232a78570fb9941423b0,ai,positive,ruvnet/claude-flow,519,fix,invocations/rq3-122-case-232a78570fb9941423b0
123,rq3-123-case-7edd902574e5d13c004d,case-7edd902574e5d13c004d,human,positive,AgentOps-AI/agentops,919,fix,invocations/rq3-123-case-7edd902574e5d13c004d
124,rq3-124-case-872ff7755c818b023b3e,case-872ff7755c818b023b3e,ai,positive,OpenPipe/ART,152,fix,invocations/rq3-124-case-872ff7755c818b023b3e
125,rq3-125-case-58d2a55832abcd11e69d,case-58d2a55832abcd11e69d,ai,positive,airbytehq/airbyte,52663,feat,invocations/rq3-125-case-58d2a55832abcd11e69d
126,rq3-126-case-9f4690cc7d4420be0c68,case-9f4690cc7d4420be0c68,ai,positive,mendableai/firecrawl,1676,feat,invocations/rq3-126-case-9f4690cc7d4420be0c68
127,rq3-127-case-af796cba9349058a9934,case-af796cba9349058a9934,ai,control,langbot-app/LangBot,1405,feat,invocations/rq3-127-case-af796cba9349058a9934
128,rq3-128-case-e7925d2971d434bc38de,case-e7925d2971d434bc38de,human,positive,langchain-ai/langgraph,4819,feat,invocations/rq3-128-case-e7925d2971d434bc38de
129,rq3-129-case-88ffb0e14443460c1357,case-88ffb0e14443460c1357,ai,positive,langbot-app/LangBot,1418,feat,invocations/rq3-129-case-88ffb0e14443460c1357
130,rq3-130-case-eb632a8157027d4e78d3,case-eb632a8157027d4e78d3,ai,positive,SimonHalvdansson/Harmonic-HN,220,feat,invocations/rq3-130-case-eb632a8157027d4e78d3
131,rq3-131-case-925775ad39947c2066a7,case-925775ad39947c2066a7,human,positive,blorm-network/ZerePy,62,feat,invocations/rq3-131-case-925775ad39947c2066a7
132,rq3-132-case-db0896f36ffe89aeed8a,case-db0896f36ffe89aeed8a,ai,control,SimonHalvdansson/Harmonic-HN,218,feat,invocations/rq3-132-case-db0896f36ffe89aeed8a
133,rq3-133-case-79b3ba24aed8629cb6fa,case-79b3ba24aed8629cb6fa,human,control,anyproto/anytype-ts,1334,feat,invocations/rq3-133-case-79b3ba24aed8629cb6fa
134,rq3-134-case-337b59edf712fccfe514,case-337b59edf712fccfe514,ai,control,mendableai/firecrawl,1547,fix,invocations/rq3-134-case-337b59edf712fccfe514
135,rq3-135-case-0b7eb64a0d18ecc8baa1,case-0b7eb64a0d18ecc8baa1,ai,positive,pdfme/pdfme,808,fix,invocations/rq3-135-case-0b7eb64a0d18ecc8baa1
136,rq3-136-case-e1149ac47af28879db97,case-e1149ac47af28879db97,ai,positive,parse-community/parse-dashboard,2915,feat,invocations/rq3-136-case-e1149ac47af28879db97
137,rq3-137-case-f73cb6778f797cd03992,case-f73cb6778f797cd03992,human,positive,OpenHFT/Chronicle-Wire,1088,feat,invocations/rq3-137-case-f73cb6778f797cd03992
138,rq3-138-case-3a453fb29262930df26d,case-3a453fb29262930df26d,human,positive,huggingface/huggingface_hub,3005,feat,invocations/rq3-138-case-3a453fb29262930df26d
139,rq3-139-case-6ad10cf412f11c064208,case-6ad10cf412f11c064208,human,positive,syedazharmbnr1/claude-chatgpt-mcp,3,feat,invocations/rq3-139-case-6ad10cf412f11c064208
140,rq3-140-case-7769db528e070342d826,case-7769db528e070342d826,ai,control,promptfoo/promptfoo,4054,feat,invocations/rq3-140-case-7769db528e070342d826
141,rq3-141-case-2d93edefa9bf78e1efb4,case-2d93edefa9bf78e1efb4,ai,positive,SimonHalvdansson/Harmonic-HN,216,feat,invocations/rq3-141-case-2d93edefa9bf78e1efb4
142,rq3-142-case-03011033f32e831010a4,case-03011033f32e831010a4,ai,positive,vgmtrans/vgmtrans,612,refactor,invocations/rq3-142-case-03011033f32e831010a4
143,rq3-143-case-5a5d102c7e9aef574fc5,case-5a5d102c7e9aef574fc5,human,positive,mlflow/mlflow,15481,refactor,invocations/rq3-143-case-5a5d102c7e9aef574fc5
144,rq3-144-case-40fa8beab703be9d9368,case-40fa8beab703be9d9368,human,positive,prebid/Prebid.js,12648,feat,invocations/rq3-144-case-40fa8beab703be9d9368
145,rq3-145-case-e05358259ffc4ca862c7,case-e05358259ffc4ca862c7,ai,positive,x64dbg/x64dbg,3641,refactor,invocations/rq3-145-case-e05358259ffc4ca862c7
146,rq3-146-case-f8ec934ad36d9c3fff54,case-f8ec934ad36d9c3fff54,human,positive,OneKeyHQ/app-monorepo,7601,fix,invocations/rq3-146-case-f8ec934ad36d9c3fff54
147,rq3-147-case-067e25b2ef2c5883ce5c,case-067e25b2ef2c5883ce5c,ai,positive,crewAIInc/crewAI,2866,feat,invocations/rq3-147-case-067e25b2ef2c5883ce5c
148,rq3-148-case-e89c9074a262db9762f8,case-e89c9074a262db9762f8,ai,positive,chrxh/alien,138,refactor,invocations/rq3-148-case-e89c9074a262db9762f8
149,rq3-149-case-706ee5ddca967e136a25,case-706ee5ddca967e136a25,ai,control,iterative/datachain,1191,feat,invocations/rq3-149-case-706ee5ddca967e136a25
150,rq3-150-case-989968fe00597e97988b,case-989968fe00597e97988b,human,control,mlflow/mlflow,15859,fix,invocations/rq3-150-case-989968fe00597e97988b
151,rq3-151-case-945185d91e4e23d356a8,case-945185d91e4e23d356a8,ai,positive,jina-ai/node-DeepResearch,2,refactor,invocations/rq3-151-case-945185d91e4e23d356a8
152,rq3-152-case-e95b663ee8e1e5965537,case-e95b663ee8e1e5965537,ai,control,mendableai/firecrawl,1756,feat,invocations/rq3-152-case-e95b663ee8e1e5965537
153,rq3-153-case-9ecda84deae5c45643ca,case-9ecda84deae5c45643ca,ai,positive,AgentOps-AI/agentops,1156,feat,invocations/rq3-153-case-9ecda84deae5c45643ca
154,rq3-154-case-7c3045f6e85b3f5f1b49,case-7c3045f6e85b3f5f1b49,ai,positive,mendableai/firecrawl,1557,fix,invocations/rq3-154-case-7c3045f6e85b3f5f1b49
155,rq3-155-case-d6dde2f26a32c9bff76d,case-d6dde2f26a32c9bff76d,human,positive,TobikoData/sqlmesh,4427,feat,invocations/rq3-155-case-d6dde2f26a32c9bff76d
