alert_id,duplicate_ordinal,case_id,group,repo_name,pr_number,pr_id,language,task_type,base_sha,head_sha,issue_domain,is_quality_alert,rule_id,rule_name,problem_severity,precision,quality_category,rule_tags,file_path,start_line,fingerprint,fingerprint_method,fingerprint_ambiguity_n,source_group,source_row_number,batch_id,attempt,execution_sha256,condition_present,valid_issue,introduced_by_pr,actionability,confidence,model_supported_introduced_issue,model_supported_actionable_issue
qalert-0047d499af7063d9edddf1c2,1,adjcase-2fe8193b84ae20d020f747b9,human,prebid/Prebid.js,12808,2357373629,JavaScript,feat,f50b606919d0340a43f2072234cfda9c66fa8132,124fa12761c241979f2df30042b9193342e7fa2d,quality,true,js/automatic-semicolon-insertion,Semicolon insertion,recommendation,very-high,maintainability,quality|maintainability|readability|language-features|statistical|non-attributable,test/spec/modules/symitriDapRtdProvider_spec.js,54,"{""primaryLocationLineHash"": ""f69162ef8ee1b379:1"", ""primaryLocationStartColumnFingerprint"": ""-2""}",fingerprint,1,human,3755,adjbatch-f74d9541f28505e4d10d05e8,1,6f56f2c203e7a7661c220289e57fba7ac6a4561560369dad3ae2c954036bebac,yes,contextual_exception,no,no_fix,high,0,0
qalert-004c30fc363045783756e0e5,1,adjcase-423d3f7b08f493d50638e1b5,ai,langflow-ai/langflow,8870,3200914224,Python,feat,34efc3befe645800f592174f1f04cb7858c731ae,c54ea832e26da239d32bfb45e294454105d30283,quality,true,py/call/wrong-named-argument,Wrong name for an argument in a call,error,very-high,correctness_reliability,quality|reliability|correctness|external/cwe/cwe-628,src/backend/tests/unit/test_mcp_server.py,166,"{""primaryLocationLineHash"": ""a6559082e2a6127d:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,1507,adjbatch-a6e0af08b8b8674997d8ca08,1,c0d37bb575ae65daf2e0a3e9961f9c36d63a4cc0943235d80d0b829280656ec3,yes,yes,yes,must_fix,high,1,1
qalert-0054b29e7f280709c3af097b,1,adjcase-3d41606864d969d6a1c2feaa,human,OneKeyHQ/app-monorepo,6480,2268115815,TypeScript,feat,9583e085b073c033207fd38233118d492a42cd73,f43173a44eda431fa4ada2f0b179ee194493d13e,quality,true,js/useless-expression,Expression has no effect,warning,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-480|external/cwe/cwe-561,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,"{""primaryLocationLineHash"": ""4a83a2821530ecd4:1"", ""primaryLocationStartColumnFingerprint"": ""53211""}",fingerprint,1,human,650,adjbatch-ef35feadba84f1dae79d5f27,1,43c281af9bc01a3d7afe16413c3b994386fd57b19a42582204150eebb74db0be,yes,contextual_exception,yes,no_fix,high,0,0
qalert-0058da3aa8961648627d7636,1,adjcase-b6230d84edcb0924ad79ff07,ai,mendableai/firecrawl,1851,3263622772,TypeScript,feat,a9fa2f0aa5f9ac9cd4d8cfec07c7789b6a3690e6,2b185b8500bda4637c67a380f90bc74be626184d,quality,true,js/automatic-semicolon-insertion,Semicolon insertion,recommendation,very-high,maintainability,quality|maintainability|readability|language-features|statistical|non-attributable,apps/api/src/controllers/v2/crawl-status.ts,270,"{""primaryLocationLineHash"": ""60b2107b67bda9d:1"", ""primaryLocationStartColumnFingerprint"": ""-6""}",fingerprint,2,ai,314,adjbatch-41ef03de128854910212be6f,1,ccaf192984dda2559b9df0247f29333dd07a3fc9799d1c28bcb58db62587e254,yes,yes,yes,should_fix,high,1,1
qalert-00628ad24956c89dde0eb24b,1,adjcase-af56df6616bdc50e2294015d,human,mendableai/firecrawl,1206,2345558913,TypeScript,feat,0eff99007aa1ea1c54234610092f41c8ec3b0b23,8caeab269129a7b40db9dda16c761d13fe71069d,quality,true,js/unused-local-variable,"Unused variable, import, function or class",recommendation,very-high,maintainability,quality|maintainability|useless-code,apps/api/src/lib/concurrency-limit.ts,1,"{""primaryLocationLineHash"": ""e5d227f70cb81b:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,2428,adjbatch-3668fff6391bab734576099e,1,04d0f534d9a244d4f32c902768624916e69a08e0d8f54702f728b145810cc36e,yes,yes,yes,should_fix,high,1,1
qalert-0066806cbc014b6f99375ad0,1,adjcase-3d41606864d969d6a1c2feaa,human,OneKeyHQ/app-monorepo,6480,2268115815,TypeScript,feat,9583e085b073c033207fd38233118d492a42cd73,f43173a44eda431fa4ada2f0b179ee194493d13e,quality,true,js/useless-expression,Expression has no effect,warning,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-480|external/cwe/cwe-561,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,"{""primaryLocationLineHash"": ""4a83a2821530ecd4:1"", ""primaryLocationStartColumnFingerprint"": ""51366""}",fingerprint,1,human,503,adjbatch-ef35feadba84f1dae79d5f27,1,43c281af9bc01a3d7afe16413c3b994386fd57b19a42582204150eebb74db0be,yes,contextual_exception,yes,no_fix,high,0,0
qalert-006829c30865ab6925ff7817,1,adjcase-46048a7838d981fc8decbe3d,human,appsmithorg/appsmith,38526,2265358590,TypeScript,feat,e825f5d8c478ca128e4e078b713041cebf77229e,e0e76d69b47a10c55614ce44668809982cf48749,quality,true,js/overwritten-property,Overwritten property,error,very-high,correctness_reliability,quality|reliability|correctness|external/cwe/cwe-563,app/client/cypress/locators/AdminsSettings.js,37,"{""primaryLocationLineHash"": ""72dd788c458006d5:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,3975,adjbatch-6ad9538c0f523a29cec26e26,1,1b43a84e391e91113e1bbeed7be9c3292e050c82c8333e8df489f7b61e597925,yes,yes,yes,should_fix,high,1,1
qalert-0081e358fe8b5ebf90f621f5,1,adjcase-3075583dfa5aa98c30c16d8c,ai,rsyslog/rsyslog,5793,3232592059,C,fix,5644c2e9e16ffaf5262e3ada3fb1b82a3dd5d61a,8df341f97e5b07a177c3fe9a102280c4b718b5ba,quality,true,cpp/mistyped-function-arguments,Call to a function with one or more incompatible arguments,warning,medium,correctness_reliability,correctness|maintainability,runtime/rsconf.c,1429,"{""primaryLocationLineHash"": ""1ccc9466d8fee869:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,1492,adjbatch-3cbee62764252cac1f2735ae,3,f3308dd605bc06b8603568369612504f12b0e80a2aba990ebfdf43fc9b566cae,no,no,no,no_fix,high,0,0
qalert-00b999470e923acca2bbb933,1,adjcase-fb875e26b3cbfd24f754c69c,ai,getsentry/sentry,95658,3236209903,Python,refactor,13faec2ce1d64c2de2cc12772e29eb401d6c00c8,615818dd649c937b756a05fb856ded324d4e5401,quality,true,py/unsafe-cyclic-import,Module-level cyclic import,error,high,correctness_reliability,reliability|correctness|types,src/sentry/grouping/strategies/configurations.py,2,"{""primaryLocationLineHash"": ""8897611a20be62fb:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,774,adjbatch-8c7b446b814142b09cac7271,1,33d18aedd877746b65cd1d664fc3d078c323e17ad262bced0c4f141bad57644a,yes,no,yes,no_fix,high,0,0
qalert-00c157da95171c1728e21aed,1,adjcase-48835467800ece8693f61568,human,rsyslog/rsyslog,5720,2598657941,C,fix,709581a0f2335123f9bdbfd731c79243fd9660d2,5af4f668b1610c526a383788e06e56b6add3bc52,quality,true,cpp/mistyped-function-arguments,Call to a function with one or more incompatible arguments,warning,medium,correctness_reliability,correctness|maintainability,runtime/rsconf.c,1425,"{""primaryLocationLineHash"": ""7e9f7efa816d8174:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,3004,adjbatch-c6306be057f8295bca7088a2,1,80c05c5f2d32d3146a742e6f1a0d5bc152bd6b5bb08257a05f96346f05f134a1,no,no,no,no_fix,high,0,0
qalert-00e4f38d5236dcd6e2914db4,1,adjcase-47f5107c4461d6a5bf5ce8d6,human,MikePopoloski/slang,1301,2440050307,C++,refactor,eff44cca85fce53d854816a231fb68b4fad32afc,0a424938fbad17223bf8bbd03ee30515cbba5919,quality,true,cpp/unused-static-variable,Unused static variable,recommendation,high,maintainability,efficiency|useless-code|external/cwe/cwe-563,include/slang/ast/expressions/LiteralExpressions.h,36,"{""primaryLocationLineHash"": ""51f047cb45a0d89:1"", ""primaryLocationStartColumnFingerprint"": ""19""}",fingerprint,1,human,4345,adjbatch-d947f6cffd5684ac75b7ab06,1,762aba8464626db0d82cadef0e4db0bb5dc43c3ca4d4a306a844cbc8fa2c9350,no,no,no,no_fix,high,0,0
qalert-00f72d514a04f2d3636ab434,1,adjcase-b1006ad61c17cbbc8a963dfc,human,microsoft/ApplicationInsights-JS,2493,2418025347,TypeScript,feat,864441d1b55e207bbd52200f3108ab9b46efcbf4,3097337f5df484870bf332339dad5859e11a030b,quality,true,js/unused-local-variable,"Unused variable, import, function or class",recommendation,very-high,maintainability,quality|maintainability|useless-code,extensions/applicationinsights-dependencies-js/Tests/Unit/src/ajax.tests.ts,513,"{""primaryLocationLineHash"": ""b2a57347f2a32b02:2"", ""primaryLocationStartColumnFingerprint"": ""4""}",fingerprint,1,human,1289,adjbatch-4b607e7d34f2d470604529cd,1,a321ba23372e4e4432d428538c4c180bf207f2a4b47a831ff8495cb37cf72955,yes,yes,uncertain,optional,high,0,0
qalert-00fd23384810803d61f1bf62,1,adjcase-b6d3a4114b08b5dd6f4ff82e,human,PriorLabs/TabPFN,184,2333329270,Python,feat,9f208b70768bda1fe08b136842f3989b35b25081,e2b402d33efbc90b50a552ae4a68ee593f938606,quality,true,py/cyclic-import,Cyclic import,recommendation,high,correctness_reliability,reliability|maintainability|modularity,src/tabpfn/model/multi_head_attention.py,12,"{""primaryLocationLineHash"": ""a102c9bef8e950cd:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,human,3377,adjbatch-6cf1c2ee1314ef0cd503dce2,2,a37a18d0fb677e2d38c2f3a0d9e6efba8aa9bc81eedf9371c3c4dc953ee9b469,yes,yes,yes,optional,high,1,0
qalert-010053524f1fe8e8312997b7,1,adjcase-d3b70f44199ee4c8c60e4b09,ai,dotCMS/core,32609,3216706697,Java,feat,232444a0d8c9e3e5924ea08a2a481ba26592e5c6,b0f6687b349b4943a5934cde0a8afed26340be80,quality,true,java/missing-override-annotation,Missing Override annotation,recommendation,high,maintainability,quality|maintainability|readability,dotCMS/src/main/java/com/liferay/portlet/PortletContextImpl.java,140,"{""primaryLocationLineHash"": ""5bca9f497ab20cef:1"", ""primaryLocationStartColumnFingerprint"": ""14""}",fingerprint,1,ai,2333,adjbatch-07879fc902c78b777394892c,2,071e02e4d4109453089fe872bbbd2b2b641d231d439f8ec3c8ea16fde0db8493,yes,yes,no,should_fix,high,0,0
qalert-01074a4574b402448ff9697c,1,adjcase-34450ef239e653889d47370f,ai,dagster-io/dagster,30864,3172579381,Python,fix,be210d7c1e824dd352093865978cbdd5671134ab,9e1e3c28e30b07a97e2b77117d370426552daf6f,quality,true,py/unused-local-variable,Unused local variable,recommendation,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-563,examples/docs_snippets/docs_snippets/guides/dagster/pythonic_config/pythonic_config.py,102,"{""primaryLocationLineHash"": ""6edefa99a6537834:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,230,adjbatch-923517819e9192b8b2219a08,2,d497e1b661bd2bd3ac3ce9b1cf927155fb035ee6ba766b875e85d5fc431d3316,yes,contextual_exception,yes,no_fix,high,0,0
qalert-010a03c5338a03931d59b5e0,1,adjcase-d6e10acb9c02d8e303528fcf,ai,rsyslog/rsyslog,5833,3244187219,C,fix,d19086dd7e9b77c2a77c0df0ab44f59d50d707dd,54d8e273d2f32c98d1ffdf14728fe0090d834c7e,quality,true,cpp/mistyped-function-arguments,Call to a function with one or more incompatible arguments,warning,medium,correctness_reliability,correctness|maintainability,runtime/rsconf.c,1284,"{""primaryLocationLineHash"": ""38bf3ba026de6d98:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,125,adjbatch-86dffd0bb08ffd0b2d748db5,2,afd00f3b0f3710d823cf8a489948858322ed0f3ffb86ceb46bdd1afd77d3947a,no,no,no,no_fix,high,0,0
qalert-010ac8c6b1fe5981c48de1e0,1,adjcase-926e40f4ded15853c8e315fd,human,onlook-dev/onlook,1902,2535685079,TypeScript,fix,521704caca11e643febc24b626e6018c0f11bfed,cdec612879b30ade5fece0950f3596b35377cad1,quality,true,js/use-of-returnless-function,Use of returnless function,warning,high,correctness_reliability,quality|reliability|correctness,apps/web/preload/dist/index.js,379,"{""primaryLocationLineHash"": ""84a0a730a0b0d2f2:1"", ""primaryLocationStartColumnFingerprint"": ""32""}",fingerprint,1,human,2801,adjbatch-d06786af44af938716f029be,1,f5376ea42f7da1d21a245a7eec4e0e6d1d4dec0ca70e528791c8aab48bf59609,yes,contextual_exception,yes,no_fix,high,0,0
qalert-010ad398ec81a12da56e8894,1,adjcase-e3643904e0e9993b0eba57e1,ai,microsoft/typespec,7426,3081186157,Java,feat,2d139cc915f8023ce7950032e8cc52339644964f,5ef409b54c2c50a97ba51fe852b0df73bf65c573,quality,true,java/useless-tostring-call,Useless toString on String,recommendation,high,maintainability,quality|maintainability|useless-code,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/customization/LibraryCustomization.java,49,"{""primaryLocationLineHash"": ""ae398211db0091b0:1"", ""primaryLocationStartColumnFingerprint"": ""14""}",fingerprint,1,ai,681,adjbatch-22f8478f0db8bb4087d18423,2,189affc3936974bb191cb7620521c809f14ce4e7e991caef7ebabf800e7ebf4e,yes,yes,yes,optional,high,1,0
qalert-010b3c33984d474169f1a815,1,adjcase-7edca0eff07d8b871d184f76,ai,Codehagen/Badget,295,3195938530,TypeScript,feat,db284f9535a9b69f1bbf560d4f434122ab8b0b45,c30bc0fd59a7ccc9af14f3eae1c66968aa8ff5d0,security,false,js/clear-text-storage-of-sensitive-data,Clear text storage of sensitive information,error,high,,security|external/cwe/cwe-312|external/cwe/cwe-315|external/cwe/cwe-359,src/components/financial/plaid-link-modal.tsx,136,"{""primaryLocationLineHash"": ""aaa0fd8a0d43db2e:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,1213,adjbatch-633cbdcaa59c0ae28c6d1248,1,9f91006ca093237117b15e61901fc1dcb9c0c9688025c894dae34076bc89ee6b,no,no,no,no_fix,high,0,0
qalert-010d05953c064fb398264ecc,1,adjcase-b1006ad61c17cbbc8a963dfc,human,microsoft/ApplicationInsights-JS,2493,2418025347,TypeScript,feat,864441d1b55e207bbd52200f3108ab9b46efcbf4,3097337f5df484870bf332339dad5859e11a030b,quality,true,js/useless-assignment-to-local,Useless assignment to local variable,warning,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-563,AISKU/Tests/Manual/ai1.test.js,1,"{""primaryLocationLineHash"": ""3d7a698b7170d167:1"", ""primaryLocationStartColumnFingerprint"": ""38814""}",fingerprint,1,human,1301,adjbatch-934aab25c78b1847d3e747b3,1,c9501fa21a678b362073a33b9202c2e74121042f597a6eeee4ba56f389098f22,yes,contextual_exception,yes,no_fix,high,0,0
qalert-0113ee73cd03687047c38b30,1,adjcase-b1006ad61c17cbbc8a963dfc,human,microsoft/ApplicationInsights-JS,2493,2418025347,TypeScript,feat,864441d1b55e207bbd52200f3108ab9b46efcbf4,3097337f5df484870bf332339dad5859e11a030b,quality,true,js/automatic-semicolon-insertion,Semicolon insertion,recommendation,very-high,maintainability,quality|maintainability|readability|language-features|statistical|non-attributable,docs/webSdk/applicationinsights-channel-js/assets/main.js,5,"{""primaryLocationLineHash"": ""9fe4d7121f653d46:1"", ""primaryLocationStartColumnFingerprint"": ""3267""}",fingerprint,18,human,1670,adjbatch-f8b4e06861b82782a77759d2,1,c4ef5ab79398fc3c74f6e4e8e85d8b2a44406f0170b01ec3a9245741fb5f04fd,yes,contextual_exception,yes,no_fix,high,0,0
qalert-0115ace927056dab6d3f06fb,1,adjcase-de708e97a14ce188891669f7,ai,crewAIInc/crewAI,2476,2949364196,Python,fix,0b58911153a545c495ed3667933d7ec01c097217,3deeba4cab96727c8ba2e2405a08c466f5b2b3fe,quality,true,py/unused-local-variable,Unused local variable,recommendation,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-563,tests/test_multimodal_validation.py,46,"{""primaryLocationLineHash"": ""f32c1ba13d16c0a8:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,24,adjbatch-cd4d11123d30c72410561791,1,db1c9dda3cc58535f19603970f60298c35151d68aa3419c76bac9c8f88565bac,yes,yes,yes,should_fix,high,1,1
qalert-011646fed8cf0314f7bb5732,1,adjcase-b3d564cb6aea795578fe4b51,human,prebid/Prebid.js,13093,2513475786,JavaScript,feat,3c0c769590c7eb60a86c950492300e7c36d68dbc,55cea5322179510742bce9e2a3783988d93a36f5,quality,true,js/automatic-semicolon-insertion,Semicolon insertion,recommendation,very-high,maintainability,quality|maintainability|readability|language-features|statistical|non-attributable,modules/pubmaticBidAdapter.js,437,"{""primaryLocationLineHash"": ""1dcf4157366cdd39:1"", ""primaryLocationStartColumnFingerprint"": ""-12""}",fingerprint,1,human,3079,adjbatch-f9cff3f9fcc6c242d2ae8abc,1,1b4a75c67be7e0d3aee6a7b2c2b94ccfa7f6a57e8aeb361de8a470eabb7a41b1,yes,yes,yes,should_fix,high,1,1
qalert-012de1c5e8a399281aa8efca,1,adjcase-1d5755854d0562b38563b8b4,ai,ryokun6/ryos,95,3087884982,TypeScript,fix,4b6067aa21b0ba9210e06bb41563feaf2daf3871,206bc944dee305dbac222c14ebb10d22776e39bb,quality,true,js/unused-local-variable,"Unused variable, import, function or class",recommendation,very-high,maintainability,quality|maintainability|useless-code,api/chat.ts,8,"{""primaryLocationLineHash"": ""15209631f3da58b6:1"", ""primaryLocationStartColumnFingerprint"": ""0""}",fingerprint,1,ai,1941,adjbatch-ad1bbe15ff5932793c560b3f,1,d03843ece25208bf82691e74f5ad919af3af51ebae4fb4bb8e3e0b62be5b8030,yes,yes,yes,should_fix,high,1,1
qalert-013505069585fd6dc668a732,1,adjcase-3d41606864d969d6a1c2feaa,human,OneKeyHQ/app-monorepo,6480,2268115815,TypeScript,feat,9583e085b073c033207fd38233118d492a42cd73,f43173a44eda431fa4ada2f0b179ee194493d13e,quality,true,js/useless-expression,Expression has no effect,warning,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-480|external/cwe/cwe-561,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,"{""primaryLocationLineHash"": ""4a83a2821530ecd4:1"", ""primaryLocationStartColumnFingerprint"": ""53695""}",fingerprint,1,human,690,adjbatch-ef35feadba84f1dae79d5f27,1,43c281af9bc01a3d7afe16413c3b994386fd57b19a42582204150eebb74db0be,yes,contextual_exception,yes,no_fix,high,0,0
qalert-0135d0e922497f68fef2b62c,1,adjcase-3d41606864d969d6a1c2feaa,human,OneKeyHQ/app-monorepo,6480,2268115815,TypeScript,feat,9583e085b073c033207fd38233118d492a42cd73,f43173a44eda431fa4ada2f0b179ee194493d13e,quality,true,js/useless-expression,Expression has no effect,warning,very-high,maintainability,quality|maintainability|useless-code|external/cwe/cwe-480|external/cwe/cwe-561,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,"{""primaryLocationLineHash"": ""4a83a2821530ecd4:1"", ""primaryLocationStartColumnFingerprint"": ""54813""}",fingerprint,1,human,781,adjbatch-ef35feadba84f1dae79d5f27,1,43c281af9bc01a3d7afe16413c3b994386fd57b19a42582204150eebb74db0be,yes,contextual_exception,yes,no_fix,high,0,0
