alert_id,source_set,source_reviewer_role,source_reviewer_disposition,group,issue_domain,repo_name,pr_number,rule_id,file_path,start_line,payload_sha256,second_disposition,second_confidence,second_notes,agreement,consensus_disposition,consensus_notes
qalert-45576b6cd68f92fd0994d30f,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,openai/openai-agents-python,737,py/unsafe-cyclic-import,src/agents/_run_impl.py,55,b0a51151f2d0c35e55c2c22423b305c04273df57d82b0f98250bbdef920ff158,not_pr_introduced,high,_run_impl 基线已导入 ComputerTool，与 tool 模块的循环导入并非本 PR 引入。,false,not_pr_introduced,_run_impl 基线已导入 ComputerTool，与 tool 模块的循环导入并非本 PR 引入。
qalert-469879d21ce577f37145e2f8,model_retained,reviewer_a_retained_census,confirmed_valid,human,security,onlook-dev/onlook,1062,js/stack-trace-exposure,apps/backend/supabase/functions/api/ai/index.ts,55,9dc8b9715df8aae3f5c76af1ea0015b81df69508e506b04a0b1ce7d126aa570a,condition_absent,high,ai/index.ts 的 500 响应只返回 error.message，未把 stack 发给客户端。,false,condition_absent,ai/index.ts 的 500 响应只返回 error.message，未把 stack 发给客户端。
qalert-47e04b9387e40935eada91ac,model_excluded,reviewer_b_excluded_census,confirmed_valid,human,quality,bentoml/BentoML,5251,py/unused-local-variable,src/bentoml/_internal/cloud/deployment.py,928,461c6a99c7c11a2a06b46ce7a11706895e16d4cc50282a201d5881e951c64f7a,not_pr_introduced,high,基线已有 build_config = BentoBuildConfig.from_bento_dir(bento_dir) 且后续未读；HEAD 同行仍在，只是旁边新增 svc=load，未使用并非本 PR 引入。,false,not_pr_introduced,基线已有 build_config = BentoBuildConfig.from_bento_dir(bento_dir) 且后续未读；HEAD 同行仍在，只是旁边新增 svc=load，未使用并非本 PR 引入。
qalert-4a4b94ccfa7a8fa6fbdc0cc1,model_retained,reviewer_a_retained_census,confirmed_valid,human,security,tegnike/aituber-kit,399,js/log-injection,src/pages/api/convertSlide.ts,318,51aedb41b5eaf26337eda10fb18c30b0caad859dca32b5124b7a9970cde91064,not_pr_introduced,high,convertSlide.ts 的 console.error(`Error processing slide ${i}`) 基线已有，本 PR 未改该日志行。,false,not_pr_introduced,convertSlide.ts 的 console.error(`Error processing slide ${i}`) 基线已有，本 PR 未改该日志行。
qalert-4dbe440eda352762d4c244cd,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,microsoft/ApplicationInsights-JS,2493,js/comparison-between-incompatible-types,shared/1ds-core-js/src/ValueSanitizer.ts,125,099192faaaa4ca46e49660c54d8fc2501d93c4bb7dbcfb4af852ca023f5b2bde,condition_absent,high,ValueSanitizer 用 null 哨兵表示不能处理该字段（注释与 result = null 缓存）；result 实际可为 ISanitizerMapValue|null|undefined，与 null 比较成立，并非不相容类型。,false,condition_absent,ValueSanitizer 用 null 哨兵表示不能处理该字段（注释与 result = null 缓存）；result 实际可为 ISanitizerMapValue|null|undefined，与 null 比较成立，并非不相容类型。
qalert-51bf74a5c0a954f57918a3cf,model_retained,reviewer_a_retained_census,confirmed_valid,ai,security,jina-ai/node-DeepResearch,6,js/log-injection,src/agent.ts,271,1b98fa5d615ba01b9e52399ececae06a0c9d9c6ee30f1937f1e6d84a037801c5,not_pr_introduced,high,"agent.ts console.log('Gaps:', gaps) 在 diff 中是未改行；本 PR 只把 getResponse 改成 export，该日志基线已有。",false,not_pr_introduced,"agent.ts console.log('Gaps:', gaps) 在 diff 中是未改行；本 PR 只把 getResponse 改成 export，该日志基线已有。"
qalert-54b2a11320c7581f8786b150,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,openai/openai-agents-python,737,py/unsafe-cyclic-import,src/agents/models/openai_responses.py,26,631cc3c555da4772bc87b80783b27858503e19bd6c3b24148be71f6bace66cc7,not_pr_introduced,high,openai_responses.py 基线已 from ..tool import WebSearchTool，与 agents.tool 的循环在重构前已存在。,false,not_pr_introduced,openai_responses.py 基线已 from ..tool import WebSearchTool，与 agents.tool 的循环在重构前已存在。
qalert-5aa8979da08ef5449cb4db18,model_retained,reviewer_a_retained_census,confirmed_valid,human,security,openai/openai-agents-js,50,js/stack-trace-exposure,examples/docs/tracing/cloudflareWorkers.ts,11,3d5eb334a678ca1168527e72285dd1300d41307bc2f07cc0a422a6aa7f0dada5,condition_absent,high,String(error) 只生成错误名和 message，不返回 Error.stack；该示例响应没有暴露堆栈，代码条件不存在。,false,condition_absent,String(error) 只生成错误名和 message，不返回 Error.stack；该示例响应没有暴露堆栈，代码条件不存在。
qalert-5e6090e3e9c40816711edd26,model_retained,reviewer_a_retained_census,confirmed_valid,ai,security,microsoft/vscode,250731,js/incomplete-sanitization,src/vs/platform/terminal/common/terminalEnvironment.ts,61,e0ed970288ff74c55b383e3c2fbda412b979372eef8d4d2a344704ee8bb4720f,not_valid_issue,high,"escapeNonWindowsPath 在 quote 替换前已 newPath.replace(/\\/g, '\\\\') 加倍反斜杠。CodeQL 标的是后续只替换引号的 replace；结合前置转义不构成未转义反斜杠进入 shell。",false,condition_absent,"escapeNonWindowsPath 在执行各分支的引号替换前，已先用 newPath.replace(/\\/g, '\\\\') 加倍所有反斜杠；告警所称反斜杠未转义的前提不成立。"
qalert-66d242823db0c8795e11600e,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,dailydotdev/apps,4632,js/unused-local-variable,packages/storybook/stories/components/onboarding/DiscountTimer.stories.tsx,1,79f384896edb8302146516fe7f3a611d550f00e2add82dc83b451b2e48c5e0f7,not_pr_introduced,high,import React was already unused in the baseline story; this PR only trimmed other story code.,false,not_pr_introduced,import React was already unused in the baseline story; this PR only trimmed other story code.
qalert-696206082fd83a684d266f0f,model_excluded,reviewer_b_excluded_census,confirmed_valid,human,quality,prebid/Prebid.js,13093,js/unused-local-variable,test/spec/modules/userId_spec.js,21,97d309e32231aec06eb3ba6c00a0d5a0618911d7b94ab1f179ccf374a4b8e676,not_pr_introduced,high,getPrebidInternal import already unused in baseline; PR only dropped deepAccess from the same import.,false,not_pr_introduced,getPrebidInternal import already unused in baseline; PR only dropped deepAccess from the same import.
qalert-6b3c916e69aac825fbd0cf3f,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,wolfSSL/wolfssl,8570,cpp/trivial-switch,wolfcrypt/src/wc_encrypt.c,473,a152f934c138b29910040f77eba581bdfa65c9441daa064b8edfd922fa21a0b4,not_pr_introduced,high,PBE_AES128_CBC 内层 switch(shaOid) 在基线已是 HMAC_SHA256_OID 加 default；本 PR 只去掉 NO_SHA256 包裹，单 case 加 default 的形态并非本 PR 引入。,false,not_pr_introduced,PBE_AES128_CBC 内层 switch(shaOid) 在基线已是 HMAC_SHA256_OID 加 default；本 PR 只去掉 NO_SHA256 包裹，单 case 加 default 的形态并非本 PR 引入。
qalert-6bac802311a649b09c09de84,model_retained,reviewer_a_retained_census,confirmed_valid,human,security,different-ai/note-companion,314,js/log-injection,packages/web/lib/models.ts,114,5145efefe856ca65266ed3106dde064ed8b00d19454c01653a48c7f34ce2b699,not_pr_introduced,high,getModel 里 console.log 模板串写入 name 在基线已存在，本 PR 只扩模型表。,false,not_pr_introduced,getModel 里 console.log 模板串写入 name 在基线已存在，本 PR 只扩模型表。
qalert-6f177712f2f485df38343cc0,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,openai/openai-agents-python,737,py/unsafe-cyclic-import,src/agents/models/openai_responses.py,26,566a06536f5cd63841eb08b0ab0422c921f3f24b1c46c7177eee9cda8338fcb0,not_pr_introduced,high,openai_responses.py 基线已导入 Tool，与 agents.tool 的循环导入不能归因本 PR。,false,not_pr_introduced,openai_responses.py 基线已导入 Tool，与 agents.tool 的循环导入不能归因本 PR。
qalert-7498c28cc852d2d102fb7dd4,model_retained,reviewer_a_retained_census,confirmed_valid,human,security,onlook-dev/onlook,2118,js/incomplete-multi-character-sanitization,apps/web/preload/script/api/elements/text.ts,98,3d63b5fce01a25f142c9c3542953eda1a6d2b50e6af8b71b5c6de79fcdb6ded5,not_valid_issue,high,extractTextContent 用正则把编辑器自身 innerHTML 转回纯文本，不是对不可信输入的 HTML 消毒。,false,not_valid_issue,extractTextContent 用正则把编辑器自身 innerHTML 转回纯文本，不是对不可信输入的 HTML 消毒。
qalert-7ab17586d81b56d817461772,model_retained,reviewer_a_retained_census,confirmed_valid,ai,security,Codehagen/Badget,295,js/request-forgery,src/actions/gocardless-actions.ts,511,6fda6273f244ac50f95bcbc47f782f4b627b313e36de9f99cac03af5dd8b22fa,not_valid_issue,high,fetch 主机固定 GOCARDLESS_API_BASE，requisitionId 只拼路径，不能指向任意主机。,false,condition_absent,请求始终以固定的 GOCARDLESS_API_BASE 为协议和主机，requisitionId 只位于其后的路径段，无法把请求重定向到攻击者控制的主机；CodeQL 所述 SSRF 条件不存在。
qalert-7f52cc0bf404e7a6a944ea88,model_retained,reviewer_a_retained_census,confirmed_valid,ai,security,trylinky/linky,18,js/log-injection,app.api/src/modules/reactions/service.ts,129,7ac6d9d6d8998b0c1f572ff6c35685303c7697c7c0e8d4563b12b799814ecc3b,not_valid_issue,high,mapName 是两个固定常量；可变的 sk 只拼接请求基础设施解析出的 IP 地址，HTTP 解析层不允许 CR/LF 控制字符进入该值，因此不能构造新的日志记录。,false,not_pr_introduced,本 PR 合并了日志语句，但基线成功日志已记录同一 sk（Successfully incremented ... for ${sk}）；即便把该值视为可注入，可控 sk 进入日志的条件也不是本 PR 首次引入。
qalert-8188602976924570704e1501,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,liam-hq/liam,1747,js/call-to-non-callable,frontend/apps/app/components/ChatInput/components/MentionSuggestor/MentionSuggestor.stories.tsx,132,b663c9fd29ed26a1ad3e0f0688020a7121834d6a9c68a026c3beab2e44842e38,condition_absent,high,KeyboardEvent 仅 type-only 从 react 导入，运行时 new KeyboardEvent 走浏览器全局构造函数，并非 undefined 调用。,false,condition_absent,KeyboardEvent 仅 type-only 从 react 导入，运行时 new KeyboardEvent 走浏览器全局构造函数，并非 undefined 调用。
qalert-8c9ccd3909274ed00f04dd0f,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,openai/openai-agents-python,737,py/unsafe-cyclic-import,src/agents/_run_impl.py,55,2083fb668dc3a196a085dd08358343f223c4ea3cd6d1ee827bb1fd994a8f0cb1,not_pr_introduced,high,_run_impl 基线已 from .tool import FunctionToolResult，与 agents.tool 的循环导入并非本 PR 引入。,false,not_pr_introduced,_run_impl 基线已 from .tool import FunctionToolResult，与 agents.tool 的循环导入并非本 PR 引入。
qalert-8ed19309c645fb52d91bc1d9,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,getsentry/sentry,95801,py/cyclic-import,src/sentry/snuba/uptime_results.py,12,540af8294463956864cde9576b7e5aea890a6ca1c15239e889cda545879a26e8,not_pr_introduced,high,uptime_results.py 导入 rpc_dataset_common。before 已是 from sentry.snuba import rpc_dataset_common 并调用 run_table_query，只是改成从子模块直接导入。,false,not_pr_introduced,uptime_results.py 导入 rpc_dataset_common。before 已是 from sentry.snuba import rpc_dataset_common 并调用 run_table_query，只是改成从子模块直接导入。
qalert-9278cdf524bbd9ea2708ef49,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,getsentry/sentry,95801,py/cyclic-import,src/sentry/snuba/uptime_results.py,5,7125f45c646b4f7ec2c76e9510c78a424778a399d44ddbe857700204425f14f4,not_pr_introduced,high,uptime_results.py 第 5 行 from sentry.search.eap.resolver import SearchResolver。before 同一行已有该导入，环不是本 PR 接上的。,false,not_pr_introduced,uptime_results.py 第 5 行 from sentry.search.eap.resolver import SearchResolver。before 同一行已有该导入，环不是本 PR 接上的。
qalert-9371eeb8bcf4e61f3801883f,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,dalathegreat/Battery-Emulator,1290,cpp/unused-static-variable,Software/src/devboard/mqtt/mqtt.cpp,389,801dd7a775c57e62923e0ccd18f19637262eaa0798ec73436ed0126e14da0545,condition_absent,high,新函数 publish_cell_balancing 中 static String state_topic 在 mqtt_publish(state_topic.c_str()) 被读取，并非从未使用。,false,condition_absent,新函数 publish_cell_balancing 中 static String state_topic 在 mqtt_publish(state_topic.c_str()) 被读取，并非从未使用。
qalert-960717584b8beeb24b1e66d9,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,ruvnet/claude-flow,519,js/property-access-on-non-object,src/tests/validation-consistency.test.ts,11,bc4f25c2fdbce18d4f92a1dbe0da381e845c0d1ab3f0871474106f357ede820b,not_pr_introduced,high,validation-consistency.test.ts 中 mcpServer.tools.agent_spawn 在基线与 HEAD 窗口相同，本 PR 未改该测试文件。,false,not_pr_introduced,validation-consistency.test.ts 中 mcpServer.tools.agent_spawn 在基线与 HEAD 窗口相同，本 PR 未改该测试文件。
qalert-a661a3fec58fce174f020025,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,rsyslog/rsyslog,5662,cpp/mistyped-function-arguments,tools/omusrmsg.c,220,ca810612f710056d9f2141a4ab042668d6ce6f57bea837322485eb1ada622bd8,condition_absent,high,p 声明为 char 数组，strlen(p) 类型匹配；CodeQL 标成 error 是宏/sizeof 解析失败，并非真不兼容。,false,condition_absent,p 声明为 char 数组，strlen(p) 类型匹配；CodeQL 标成 error 是宏/sizeof 解析失败，并非真不兼容。
qalert-b2a20f07442258efc7107d5b,model_excluded,reviewer_b_excluded_census,confirmed_valid,human,quality,microsoft/ApplicationInsights-JS,2493,js/trivial-conditional,common/Tests/Framework/src/AITestClass.ts,177,9d95de4d1cb5fc0f6b60b58ce13a0a9e65a2b5379efe5d270b74a25528de1f82,not_pr_introduced,high,useFakeFetch setter 在 if (!value) 后写 else if (value && ...)，该恒真模式 before 已存在。,false,not_pr_introduced,useFakeFetch setter 在 if (!value) 后写 else if (value && ...)，该恒真模式 before 已存在。
qalert-c8e6070a5f0a712d7fc8b4ee,model_excluded,reviewer_b_excluded_census,confirmed_valid,human,security,jina-ai/node-DeepResearch,61,js/incomplete-sanitization,src/app.ts,34,3ea7a98addaf3b3f6539fc7cdf377b21daf1b9b177b1da42258f4c15351a5e0d,not_pr_introduced,high,"buildMdFromAnswer 的 replace(/([[\]_*`])/g,'\\$1') 基线已有同样未转义反斜杠的 sanitization，本 PR 只是重构引用块结构。",false,not_pr_introduced,"buildMdFromAnswer 的 replace(/([[\]_*`])/g,'\\$1') 基线已有同样未转义反斜杠的 sanitization，本 PR 只是重构引用块结构。"
qalert-cb373c21847bb69068e80d63,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,getsentry/sentry,89622,py/unsafe-cyclic-import,src/sentry/api/base.py,68,38db16c47d19cdba299345110d0435ce8238085cd0b926087e112cbec3dc9e8d,not_pr_introduced,high,SuperuserPermission import from .permissions already existed in baseline api/base.py.,false,not_pr_introduced,SuperuserPermission import from .permissions already existed in baseline api/base.py.
qalert-d03592d60a6e7f8f03541c50,model_retained,reviewer_a_retained_census,confirmed_valid,human,quality,better-auth/better-auth,1202,js/unreachable-statement,packages/better-auth/src/social-providers/facebook.ts,87,049ec4ddcb15d7270e8eba2b3911736d77b80a293b2b90a5d40788f978e89800,not_pr_introduced,high,facebook verifyIdToken 末尾 return true 在基线已不可达：token.split('.').length 恒为真，try/catch 均 return。,false,not_pr_introduced,facebook verifyIdToken 末尾 return true 在基线已不可达：token.split('.').length 恒为真，try/catch 均 return。
qalert-d2d67812afc4767efaade63e,model_excluded,reviewer_b_excluded_census,confirmed_valid,ai,quality,dalathegreat/Battery-Emulator,1290,cpp/unused-static-variable,Software/src/devboard/mqtt/mqtt.cpp,390,d7c69c2bc256c5c9f10026a6e99547b29e62c1efb20faf0802cd5886950cbe6e,condition_absent,high,同一函数里 state_topic_2 在第二电池分支 mqtt_publish(state_topic_2.c_str()) 被读取，告警称从未读取不成立。,false,condition_absent,同一函数里 state_topic_2 在第二电池分支 mqtt_publish(state_topic_2.c_str()) 被读取，告警称从未读取不成立。
qalert-d3d78d8a3265f3cc2310db7a,model_retained,reviewer_a_retained_census,confirmed_valid,ai,quality,dust-tt/dust,10572,js/trivial-conditional,front/components/spaces/CreateOrEditSpaceModal.tsx,219,81b839d5c1587238a54d6c88c7f94ba13153592852446a052c7561c48c1e7337,not_pr_introduced,high,CreateOrEditSpaceModal 的 (!isRestricted || (isRestricted && members.length>0)) 在基线 SheetFooter 已有同样写法，本 PR 只是挪到 Modal hasChanged。,false,not_pr_introduced,CreateOrEditSpaceModal 的 (!isRestricted || (isRestricted && members.length>0)) 在基线 SheetFooter 已有同样写法，本 PR 只是挪到 Modal hasChanged。
qalert-d67ca745cd904845e5cb85ef,model_excluded,reviewer_b_excluded_census,confirmed_valid,human,quality,Skyvern-AI/skyvern,2231,py/unsafe-cyclic-import,skyvern/forge/agent.py,92,7c8f536879946ccf330b0236b3cf070ac69e0645257431402ea1a90f4cbf0f07,not_pr_introduced,high,agent.py 基线已 from parse_actions import parse_cua_actions，本 PR 只是在同一导入中追加 anthropic 名称。,false,not_pr_introduced,agent.py 基线已 from parse_actions import parse_cua_actions，本 PR 只是在同一导入中追加 anthropic 名称。
