alert_id,group,repo_name,pr_number,rule_id,file_path,start_line,issue_domain,source_set,source_reviewer_role,source_disposition,independent_rereview_disposition,consensus_disposition,status,disposition,human_condition_present,human_introduced_by_pr,human_valid_issue,resolution_basis,notes
qalert-013505069585fd6dc668a732,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,stripe-v3 压缩包第 1 行 useless-expression。vendor 生成物。
qalert-0135d0e922497f68fef2b62c,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,stripe-v3/index.js:1 又一处无效果表达式，同一份压缩后的 Stripe.js。
qalert-0139a4040f9c2b3c952c3ea6,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,stripe-v3/index.js:1 webpack 压缩包上的 useless-expression。第三方 Stripe.js 产物。
qalert-014fbdd0183a89272e4d0ee3,ai,bambulab/BambuStudio,7345,cpp/unused-static-variable,src/libslic3r/GCode/TimelapsePosPicker.hpp,13,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,TimelapsePosPicker.hpp 中 DefaultCameraPos 声明 head 与 Before 相同、该头文件 diff 为空。本 PR 主要改机型 json/i18n 与 cpp，未引入该静态量。
qalert-014fe6e2c7f9d7ae307d092c,ai,elie222/inbox-zero,494,js/unused-local-variable,apps/web/utils/referral/referral-tracking.ts,85,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,prisma.referral.update 结果赋给 updatedReferral，日志仍用 referral.id，变量未读。
qalert-0151b62e0f155ce35ad70171,ai,opencv/opencv,27441,cpp/local-variable-hides-global-variable,modules/flann/include/opencv2/flann/index_testing.h,126,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,opencv flann/index_testing.h:126 局部 precicion。diff 为空且 head 与 before 同文，本 PR 未改该头文件。
qalert-0163c52302ee4b2833ad01f6,human,prebid/Prebid.js,13093,js/automatic-semicolon-insertion,modules/medianetAnalyticsAdapter.js,607,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,modules/medianetAnalyticsAdapter.js 第 607 行由本 PR 引入的语句末尾缺少显式分号；该文件其他语句以显式分号为主，属于真实的一致性/可维护性问题。
qalert-016a454387e2b3373407b0eb,human,featureform/enrichmcp,47,py/unused-local-variable,tests/test_sqlalchemy_integration.py,224,quality,model_retained,reviewer_a_retained_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,"二次复核：Order 虽未被直接读取，但类定义会注册到同一 SQLAlchemy 声明式 Base，User 中的字符串前向引用 relationship(""Order"") 需要该注册才能解析，因此这不是可删除的无用局部变量。"
qalert-016e5281ddfdecab21904c85,human,onlook-dev/onlook,1902,js/useless-assignment-to-local,apps/web/preload/dist/index.js,155657,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,同一 preload dist 打包文件第 155657 行 g2 赋值未使用，属打包/转译残留。
qalert-0176f5f13d6ec0d74fa00b46,human,microsoft/etl2pcapng,79,cpp/implicit-function-declaration,src/main.c,525,quality,model_excluded,reviewer_b_excluded_census,condition_absent,not_in_positive_rereview_frame,,completed,condition_absent,no,not_assessed,not_assessed,source_census_negative,文件已 #include <windows.h>，GetLastError 有原型；CodeQL 报隐式声明不成立。同文件 before 已有大量相同错误处理。
qalert-017781b4a6ed691006646f74,ai,unclecode/crawl4ai,1152,py/unused-local-variable,crawl4ai/utils.py,147,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,PR 把 tokens = splitter(doc) 改成 doc.split()，仍保留 splitter = splitter or str.split，变量未再读。
qalert-017f1820548a2ca4cd71b7ed,human,MikePopoloski/slang,1348,cpp/short-global-name,tests/unittests/ast/ParameterTests.cpp,562,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,ParameterTests.cpp:562 全局名 it 过短。diff 为空且 head 与 before 相同，不是本 PR 引入。
qalert-01824e28df41c1961180d2d1,ai,MervinPraison/PraisonAI,1021,py/unused-local-variable,src/praisonai-agents/tests/test_context_agent.py,216,quality,model_retained,reviewer_a_retained_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,二次复核：变量 image_agent 未被后续读取，但 ImageAgent(...) 的实例化本身就是该向后兼容性测试要验证的行为；赋值仅用于表意，不构成实际缺陷。
qalert-018383a432936a81733678de,ai,lingodotdev/lingo.dev,708,js/unused-local-variable,packages/cli/src/cli/loaders/android.spec.ts,7,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,New android.spec.ts defines setupMocks and never calls it.
qalert-0183de4e533a4dd06c6df85c,human,AgentOps-AI/agentops,919,py/overly-complex-delete,agentops/legacy/__init__.py,35,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,Session.__del__ 里 end span。before 已有同一析构；本 PR 只加了 span is not None。
qalert-01a7371998e9374802eea4aa,human,novuhq/novu,8154,js/unused-local-variable,apps/api/src/app/bridge/usecases/get-bridge-status/get-bridge-status.usecase.ts,1,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,"get-bridge-status.usecase.ts 本 PR 把 import 改成 { Logger, Injectable }，execute 未打日志。"
qalert-01b343d90d31e258f61cf88c,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,同一 stripe-v3 单行 bundle 另一处无效果表达式，不是可维护源码。
qalert-01bad8e47cf7c02866a1bc82,ai,BeehiveInnovations/zen-mcp-server,95,py/repeated-import,tools/shared/base_tool.py,382,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,模块顶部已 import logging，异常分支再次 import logging；该局部导入确实冗余。
qalert-01c0a021d1ebe44502a51d5e,ai,ruvnet/claude-flow,519,js/unused-local-variable,src/mcp/claude-flow-tools.ts,7,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,claude-flow-tools.ts 本 PR 新增 getAgentTypeSchema 导入，增强 schema 只用 getAvailableAgentTypes。
qalert-01ca88a9fc09d12bbf51d02f,human,Kanaries/graphic-walker,463,js/unused-local-variable,packages/graphic-walker/src/vis/observable-plot-renderer.tsx,155,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,observable-plot-renderer 新文件从 props 解构 showActions，组件体未见使用。
qalert-01d3ac2241e36767df40f377,human,microsoft/typespec,7530,java/missing-override-annotation,packages/http-client-java/generator/http-client-generator-core/src/main/java/com/microsoft/typespec/http/client/generator/core/template/clientcore/ClientCoreClientMethodTemplate.java,753,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,本 PR 将父类 generatePagingSync 改成含 restAPIMethod 的 4 参数签名，进而与 ClientCore 子类既有方法形成 override；子类未标 @Override，属于跨文件的 PR 引入问题。
qalert-01d68cd1ce02c83d09e14802,ai,pdfme/pdfme,1059,js/automatic-semicolon-insertion,packages/pdf-lib/src/api/form/PDFForm.ts,599,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,packages/pdf-lib/src/api/form/PDFForm.ts 第 599 行由本 PR 引入的语句末尾缺少显式分号；该文件其他语句以显式分号为主，属于真实的一致性/可维护性问题。
qalert-01db53e7d6d7f78b1a802f7d,human,microsoft/ApplicationInsights-JS,2493,js/unneeded-defensive-code,docs/webSdk/applicationinsights-properties-js/assets/main.js,3,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,TypeDoc applicationinsights-properties-js/assets/main.js 守卫恒假，文档站点打包。
qalert-01e07cc05e43c79ad6f89446,ai,vgmtrans/vgmtrans,612,cpp/declaration-hides-variable,src/main/formats/RareSnes/RareSnesSeq.cpp,462,quality,model_retained,reviewer_a_retained_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,二次复核：该 desc 位于 EVENT_GOTO 独立 case 块内，仅承载该事件的格式化文本并立即传参；外层 desc 用于其他非独立分支，两个变量生命周期和用途清晰，不会造成行为覆盖。
qalert-01e3f16ef436956dd7e36c29,human,lingodotdev/lingo.dev,610,js/unused-local-variable,packages/cli/src/cli/loaders/prettier.ts,1,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,prettier.ts 本 PR 删掉用 fs.existsSync 的 getPackageManager，仍保留 import fs。
qalert-01e77cc6207e67308c26ff49,ai,wizarrrr/wizarr,579,py/unused-local-variable,app/services/media/jellyfin.py,73,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,已核对 update_user 方法定义及 PR diff：该方法在 Before/Head 完全相同，PR 仅修改后续 list_users 的文件夹映射逻辑。
qalert-01e8cb1fa6208f571950d38c,human,Azure/azure-sdk-for-python,41403,py/ineffectual-statement,sdk/mongocluster/azure-mgmt-mongocluster/azure/mgmt/mongocluster/models/_models.py,764,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,azure-mgmt-mongocluster _models.py MongoClusterUpdate 的 @overload __init__ 以 ... 结尾，生成模型 typing stub。
qalert-01ede2213b628cbd152f482d,human,microsoft/typespec,7115,java/uncaught-number-format-exception,packages/http-client-java/generator/http-client-generator-test/src/main/java/encode/numeric/property/models/Uint32AsStringProperty.java,85,quality,model_excluded,reviewer_b_excluded_census,not_pr_introduced,not_in_positive_rereview_frame,,completed,not_pr_introduced,yes,no,not_assessed,source_census_negative,Uint32AsStringProperty.fromJson 里 Integer.parseInt。该 @Generated 测试模型 before/head 相同且文件 diff 为空，不能归因本 PR。
qalert-01f0bc48fdd6bc59231bb10b,human,microsoft/ApplicationInsights-JS,2493,js/useless-assignment-to-local,shared/1ds-core-js/test/Unit/src/ESPromiseTests.ts,284,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,ESPromiseTests 新文件把 createAsyncPromise 赋给 promise，后续只断言 resolvedValue/rejectedValue，未读 promise。
qalert-01fc27657907d87c382d2813,human,onlook-dev/onlook,1489,js/unused-local-variable,apps/studio/src/routes/editor/EditPanel/DevTab/index.tsx,35,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,新文件 DevTab 声明 selectedTab 状态，只 setSelectedTab 从未读取。
qalert-020495cf2e222ea6c317e3b3,human,microsoft/ApplicationInsights-JS,2493,js/automatic-semicolon-insertion,channels/offline-channel-js/Tests/Unit/src/dbprovider.tests.ts,52,quality,model_retained,reviewer_a_retained_census,confirmed_valid,confirmed_valid,,completed,confirmed_valid,yes,yes,yes,source_and_independent_rereview_agreement,channels/offline-channel-js/Tests/Unit/src/dbprovider.tests.ts 第 52 行由本 PR 引入的语句末尾缺少显式分号；该文件其他语句以显式分号为主，属于真实的一致性/可维护性问题。
qalert-02126e5a7b20f8bb6bae99df,ai,microsoft/msquic,5213,cpp/incorrect-allocation-error-handling,src/perf/lib/PerfServer.cpp,108,security,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,已检查分配表达式和失败分支：这里明确使用标准 new (std::nothrow)，分配失败时确实会返回 nullptr，因此随后的空指针检查是必要的；“不能返回null”的告警不成立。
qalert-02145db1d0f77b748e2b57bc,human,OneKeyHQ/app-monorepo,6480,js/useless-expression,packages/shared/src/modules3rdParty/stripe-v3/index.js,1,quality,model_excluded,reviewer_b_excluded_census,not_valid_issue,not_in_positive_rereview_frame,,completed,not_valid_issue,yes,yes,no,source_census_negative,stripe-v3 压缩代码 useless-expression。vendor 生成物。
