repo_name,task_type,ai_pr_n,human_pr_n,has_both_groups
PrunaAI/pruna,refactor,1,1,True
PythonNest/PyNest,feat,1,0,False
RAGEN-AI/RAGEN,feat,2,0,False
RAGEN-AI/RAGEN,fix,1,1,True
RSSNext/Folo,feat,0,1,False
RSSNext/Folo,fix,1,0,False
ReactiveCircus/android-emulator-runner,fix,1,0,False
RocketChat/Rocket.Chat.ReactNative,feat,0,1,False
RooCodeInc/Roo-Code,feat,1,3,True
RooCodeInc/Roo-Code,fix,0,1,False
RooCodeInc/Roo-Code,refactor,0,1,False
Scale3-Labs/langtrace,fix,0,1,False
SchemaStore/schemastore,feat,0,1,False
SchemaStore/schemastore,fix,1,0,False
Shelf-nu/shelf.nu,feat,1,0,False
Shopify/roast,feat,3,2,True
Shopify/roast,fix,0,2,False
Shopify/roast,refactor,0,1,False
Significant-Gravitas/AutoGPT,feat,6,4,True
Significant-Gravitas/AutoGPT,fix,10,9,True
SimonHalvdansson/Harmonic-HN,feat,5,4,True
SimonHalvdansson/Harmonic-HN,fix,3,1,True
SirVer/ultisnips,fix,2,3,True
Skyvern-AI/skyvern,feat,5,6,True
Skyvern-AI/skyvern,fix,2,5,True
Skyvern-AI/skyvern,refactor,1,3,True
SoftFever/OrcaSlicer,fix,0,1,False
Stirling-Tools/Stirling-PDF,feat,1,0,False
Stirling-Tools/Stirling-PDF,fix,2,1,True
Stirling-Tools/Stirling-PDF,refactor,0,1,False
TanStack/db,feat,3,0,False
Tencent/ncnn,feat,1,0,False
TheAlgorithms/Python,feat,0,1,False
TobikoData/sqlmesh,feat,4,2,True
TobikoData/sqlmesh,fix,0,1,False
TorchIO-project/torchio,feat,1,0,False
TorchIO-project/torchio,fix,1,0,False
TracecatHQ/tracecat,feat,1,0,False
TracecatHQ/tracecat,fix,1,0,False
Uberi/speech_recognition,feat,2,0,False
Uberi/speech_recognition,fix,0,1,False
Uberi/speech_recognition,refactor,0,1,False
VRSEN/agency-swarm,feat,1,0,False
Veloera/Veloera,feat,3,0,False
Veloera/Veloera,fix,2,4,True
Veloera/Veloera,refactor,1,0,False
Voxelum/x-minecraft-launcher,feat,1,0,False
Voxelum/x-minecraft-launcher,fix,1,0,False
Xinrea/bili-shadowreplay,fix,1,0,False
Z3Prover/z3,fix,4,2,True
a16z/halmos,feat,1,3,True
a16z/halmos,fix,3,2,True
abi/screenshot-to-code,feat,1,0,False
abi/screenshot-to-code,refactor,2,0,False
acacode/swagger-typescript-api,fix,3,0,False
acacode/swagger-typescript-api,refactor,1,0,False
actions/toolkit,fix,1,0,False
activepieces/activepieces,feat,0,1,False
activepieces/activepieces,fix,1,0,False
adaline/gateway,feat,1,0,False
adaline/gateway,fix,0,1,False
afadil/wealthfolio,feat,1,2,True
afadil/wealthfolio,fix,3,1,True
ag2ai/ag2,fix,0,2,False
aipotheosis-labs/aci,feat,4,2,True
aipotheosis-labs/aci,fix,3,2,True
aipotheosis-labs/aci,refactor,1,0,False
airbytehq/airbyte,feat,17,4,True
airbytehq/airbyte,fix,15,8,True
airbytehq/airbyte,refactor,3,1,True
akto-api-security/akto,fix,0,3,False
aldinokemal/go-whatsapp-web-multidevice,feat,7,0,False
aldinokemal/go-whatsapp-web-multidevice,fix,6,0,False
alefragnani/vscode-bookmarks,fix,1,0,False
alexanderjeurissen/ranger_devicons,feat,2,0,False
alexanderjeurissen/ranger_devicons,fix,1,0,False
alexanderjeurissen/ranger_devicons,refactor,1,0,False
alexpfau/calendar-card-pro,feat,0,2,False
alexpfau/calendar-card-pro,fix,1,1,True
alirezamika/autoscraper,refactor,1,0,False
allenai/open-instruct,feat,1,1,True
allenai/reward-bench,feat,0,1,False
amantus-ai/vibetunnel,feat,3,2,True
amantus-ai/vibetunnel,fix,1,0,False
amantus-ai/vibetunnel,refactor,1,0,False
analogdotnow/Analog,feat,7,6,True
analogdotnow/Analog,fix,3,1,True
angular-eslint/angular-eslint,feat,3,0,False
angular-eslint/angular-eslint,fix,3,4,True
ant-design/ant-design,fix,1,0,False
antiwork/gumroad,feat,30,16,True
antiwork/gumroad,fix,16,13,True
antiwork/gumroad,refactor,5,6,True
antiwork/shortest,feat,2,11,True
antiwork/shortest,fix,4,7,True
antiwork/shortest,refactor,2,3,True
anyproto/anytype-ts,feat,0,3,False
anyproto/anytype-ts,fix,3,1,True
apache/ozone,refactor,0,1,False
apache/pinot,feat,2,1,True
apache/pinot,fix,1,0,False
apache/pulsar,fix,1,1,True
apolloconfig/apollo,fix,1,0,False
appsmithorg/appsmith,feat,5,17,True
appsmithorg/appsmith,fix,3,12,True
appsmithorg/appsmith,refactor,1,1,True
arc53/DocsGPT,fix,1,0,False
arikchakma/maily.to,fix,1,1,True
artsy/eigen,refactor,1,0,False
artsy/force,feat,0,1,False
artsy/force,refactor,1,0,False
assistant-ui/assistant-ui,feat,0,5,False
assistant-ui/assistant-ui,fix,4,1,True
assistant-ui/assistant-ui,refactor,0,1,False
axinc-ai/ailia-models,feat,1,0,False
azerothcore/azerothcore-wotlk,fix,2,1,True
badtuxx/girus-cli,feat,2,2,True
badtuxx/girus-cli,fix,4,1,True
ballerine-io/ballerine,feat,0,1,False
bambulab/BambuStudio,feat,1,0,False
basementstudio/xmcp,fix,1,0,False
basetenlabs/truss,feat,1,0,False
basicmachines-co/basic-memory,fix,1,0,False
bcherny/json-schema-to-typescript,feat,0,1,False
ben-sb/obfuscator-io-deobfuscator,feat,0,1,False
bennycode/trading-signals,feat,2,0,False
bentoml/BentoML,feat,3,1,True
bentoml/BentoML,fix,0,6,False
bespokelabsai/curator,feat,2,5,True
bespokelabsai/curator,fix,1,1,True
bespokelabsai/curator,refactor,1,2,True
better-auth/better-auth,feat,0,1,False
better-auth/better-auth,fix,2,0,False
bikeshaving/crank,feat,1,0,False
bikeshaving/crank,refactor,1,0,False
binarywang/WxJava,feat,1,0,False
binarywang/WxJava,fix,2,0,False
bitcoin/bitcoin,fix,0,1,False
blefnk/relivator-nextjs-template,feat,1,0,False
blorm-network/ZerePy,feat,0,2,False
box/box-ui-elements,feat,1,32,True
box/box-ui-elements,fix,0,30,False
box/box-ui-elements,refactor,3,1,True
browser-use/browser-use,feat,6,0,False
browser-use/browser-use,fix,4,0,False
browser-use/browser-use,refactor,3,0,False
browserbase/stagehand,feat,0,1,False
browserless/browserless,feat,1,0,False
browserless/browserless,fix,1,0,False
browserless/browserless,refactor,1,0,False
bruin-data/bruin,feat,17,8,True
bruin-data/bruin,fix,7,3,True
bruin-data/bruin,refactor,0,2,False
bruin-data/ingestr,feat,3,3,True
buildbuddy-io/buildbuddy,feat,0,1,False
busser/tfautomv,feat,2,1,True
bytebot-ai/bytebot,feat,7,4,True
bytebot-ai/bytebot,fix,0,1,False
bytebot-ai/bytebot,refactor,1,0,False
calcom/cal.com,feat,31,14,True
calcom/cal.com,fix,19,44,True
calcom/cal.com,refactor,10,2,True
callstack/react-native-testing-library,feat,1,0,False
cameroncooke/XcodeBuildMCP,feat,1,1,True
camunda/camunda,feat,5,0,False
camunda/camunda,fix,1,0,False
camunda/camunda,refactor,1,0,False
camunda/camunda-modeler,feat,1,0,False
camunda/camunda-modeler,fix,1,0,False
cartography-cncf/cartography,feat,4,2,True
cartography-cncf/cartography,fix,2,2,True
cartography-cncf/cartography,refactor,1,0,False
catatsuy/private-isu,feat,1,1,True
catatsuy/private-isu,fix,0,1,False
catatsuy/private-isu,refactor,1,0,False
celestiaorg/celestia-core,feat,11,3,True
celestiaorg/celestia-core,fix,16,4,True
celestiaorg/celestia-core,refactor,1,0,False
chhoumann/quickadd,fix,0,1,False
chrxh/alien,feat,4,0,False
chrxh/alien,refactor,5,0,False
ckan/ckan,fix,0,1,False
cline/cline,feat,0,1,False
cloudnative-pg/cloudnative-pg,fix,1,0,False
cloudposse/atmos,fix,2,1,True
cloudposse/atmos,refactor,1,0,False
cmer/socialization,feat,1,0,False
cockroachdb/cockroach,fix,1,0,False
coder/coder,feat,1,0,False
codexu/note-gen,feat,1,0,False
colinhacks/zod,feat,3,0,False
colinhacks/zod,fix,1,0,False
comet-ml/opik,feat,1,1,True
commaai/opendbc,feat,2,1,True
commaai/opendbc,fix,5,0,False
commaai/opendbc,refactor,1,2,True
commaai/openpilot,feat,3,0,False
commaai/panda,feat,0,3,False
cornerstonejs/cornerstone3D,fix,3,3,True
cornerstonejs/cornerstone3D,refactor,0,1,False
coturn/coturn,feat,1,0,False
coturn/coturn,fix,2,0,False
crewAIInc/crewAI,feat,11,57,True
crewAIInc/crewAI,fix,23,51,True
crewAIInc/crewAI,refactor,1,8,True
crewAIInc/crewAI-tools,feat,2,10,True
crewAIInc/crewAI-tools,fix,1,5,True
cvxpy/cvxpy,fix,1,1,True
czlonkowski/n8n-mcp,fix,1,0,False
dagster-io/dagster,feat,0,3,False
dagster-io/dagster,fix,4,0,False
dagster-io/dagster,refactor,0,1,False
dailydotdev/apps,fix,2,0,False
dalathegreat/Battery-Emulator,feat,1,0,False
damien-schneider/cuicui,feat,0,1,False
danny-avila/LibreChat,fix,0,1,False
dartsim/dart,fix,4,1,True
datahub-project/datahub,feat,1,0,False
datahub-project/datahub,fix,1,0,False
datopian/portaljs,feat,1,2,True
datopian/portaljs,fix,1,0,False
deepnoodle-ai/risor,feat,5,0,False
devitocodes/devito,feat,0,1,False
different-ai/note-companion,feat,17,7,True
different-ai/note-companion,fix,6,3,True
different-ai/note-companion,refactor,4,0,False
diggerhq/digger,fix,1,0,False
disler/just-prompt,fix,2,0,False
dlt-hub/dlt,fix,1,0,False
docling-project/docling,fix,4,0,False
dotCMS/core,feat,1,0,False
dotenvx/dotenvx,feat,0,2,False
dotnet/diagnostics,fix,2,0,False
dropseed/plain,feat,3,1,True
dropseed/plain,fix,4,0,False
dropseed/plain,refactor,3,2,True
dust-tt/dust,feat,1,5,True
dust-tt/dust,fix,0,2,False
dust-tt/dust,refactor,1,1,True
dynamoose/dynamoose,feat,1,0,False
easyops-cn/docusaurus-search-local,feat,1,0,False
easyops-cn/docusaurus-search-local,fix,1,0,False
effekseer/Effekseer,feat,1,3,True
effekseer/Effekseer,fix,2,1,True
effekseer/Effekseer,refactor,3,1,True
elastic/kibana,feat,1,0,False
elastic/kibana,fix,3,0,False
electricitymaps/electricitymaps-contrib,feat,1,0,False
electricitymaps/electricitymaps-contrib,fix,0,1,False
elie222/inbox-zero,feat,2,2,True
elie222/inbox-zero,fix,1,1,True
elie222/inbox-zero,refactor,0,1,False
elixir-lsp/vscode-elixir-ls,feat,1,1,True
elixir-lsp/vscode-elixir-ls,fix,16,1,True
elizaOS/eliza,feat,9,7,True
elizaOS/eliza,fix,15,12,True
elizaOS/eliza,refactor,1,1,True
erpc/erpc,feat,2,0,False
erpc/erpc,fix,3,0,False
erpc/erpc,refactor,1,0,False
estruyf/vscode-front-matter,feat,0,1,False
estruyf/vscode-front-matter,fix,1,0,False
expressobits/inventory-system,feat,1,0,False
f/mcptools,feat,1,1,True
f/mcptools,refactor,0,1,False
fabriziosalmi/certmate,feat,1,0,False
fabriziosalmi/certmate,fix,1,0,False
featureform/enrichmcp,feat,20,10,True
featureform/enrichmcp,fix,20,8,True
featureform/enrichmcp,refactor,1,0,False
fgmacedo/python-statemachine,fix,1,0,False
formancehq/ledger,feat,0,2,False
formancehq/ledger,fix,0,1,False
formbricks/formbricks,feat,1,0,False
formbricks/formbricks,fix,2,1,True
frenck/spook,fix,1,0,False
gbrayhan/microservices-go,fix,6,0,False
gensx-inc/gensx,feat,1,0,False
gensx-inc/gensx,fix,7,0,False
getsentry/sentry,feat,16,7,True
getsentry/sentry,fix,10,5,True
getsentry/sentry,refactor,5,3,True
getsentry/sentry-javascript,feat,4,3,True
getsentry/sentry-javascript,fix,1,1,True
getsentry/sentry-javascript,refactor,4,0,False
getsentry/sentry-python,feat,1,0,False
getsentry/sentry-python,fix,2,2,True
ggml-org/whisper.cpp,fix,0,1,False
github-copilot-resources/copilot-metrics-viewer,feat,3,0,False
github-copilot-resources/copilot-metrics-viewer,fix,2,0,False
github/awesome-copilot,fix,1,0,False
github/github-mcp-server,feat,0,1,False
github/rubocop-github,fix,1,0,False
gitroomhq/postiz-app,fix,1,0,False
go-vikunja/vikunja,feat,20,3,True
go-vikunja/vikunja,fix,30,5,True
go-vikunja/vikunja,refactor,1,0,False
goat-sdk/goat,feat,27,15,True
goat-sdk/goat,fix,2,11,True
goat-sdk/goat,refactor,0,4,False
gofiber/fiber,feat,4,2,True
gofiber/fiber,fix,7,3,True
gofiber/fiber,refactor,1,3,True
gofr-dev/gofr,fix,1,0,False
golang-design/clipboard,fix,2,1,True
goniszewski/grimoire,fix,0,1,False
google-gemini/gemini-cli,fix,1,0,False
gptme/gptme,feat,0,1,False
gradio-app/gradio,fix,1,0,False
grafana/loki,fix,0,1,False
gridaco/grida,feat,8,17,True
gridaco/grida,fix,3,1,True
groupultra/telegram-search,feat,2,0,False
gtg922r/obsidian-numerals,fix,3,0,False
hackmdio/codimd,feat,0,2,False
hamster1963/nezha-dash,feat,1,0,False
hasanharman/form-builder,feat,2,1,True
hasanharman/form-builder,fix,0,2,False
hashintel/hash,fix,1,0,False
hathach/tinyusb,fix,1,0,False
haydenbleasel/kibo,feat,3,0,False
haydenbleasel/kibo,fix,2,0,False
haydenbleasel/ultracite,feat,4,0,False
haydenbleasel/ultracite,fix,3,0,False
hcengineering/platform,fix,1,1,True
heyverse/hey,feat,0,1,False
heyverse/hey,fix,3,0,False
home-assistant/frontend,fix,1,0,False
hotovo/aider-desk,feat,3,2,True
hotovo/aider-desk,fix,1,0,False
huggingface/huggingface.js,feat,1,4,True
huggingface/huggingface_hub,feat,0,1,False
huggingface/huggingface_hub,fix,0,1,False
huggingface/smolagents,refactor,0,1,False
hyperbrowserai/HyperAgent,feat,0,1,False
hyperbrowserai/HyperAgent,fix,2,0,False
ibelick/zola,feat,1,2,True
ikamensh/flynt,feat,7,1,True
ikamensh/flynt,fix,11,0,False
ikamensh/flynt,refactor,1,0,False
ikarus23/MifareClassicTool,feat,0,1,False
imbhargav5/rooks,feat,8,0,False
imbhargav5/rooks,fix,7,0,False
invoke-ai/InvokeAI,feat,4,0,False
invoke-ai/InvokeAI,fix,11,0,False
irsyadadl/intentui,fix,2,2,True
irsyadadl/intentui,refactor,1,0,False
iterative/datachain,feat,2,0,False
janbjorge/pgqueuer,feat,4,2,True
janbjorge/pgqueuer,fix,4,2,True
janbjorge/pgqueuer,refactor,2,3,True
jedisct1/dsvpn,fix,2,0,False
jilleb/mib2-toolbox,fix,2,0,False
jina-ai/node-DeepResearch,feat,11,5,True
jina-ai/node-DeepResearch,fix,5,6,True
jina-ai/node-DeepResearch,refactor,4,2,True
jina-ai/reader,feat,0,1,False
jina-ai/reader,fix,2,2,True
jina-ai/reader,refactor,1,0,False
jlowin/fastmcp,feat,4,1,True
jlowin/fastmcp,fix,1,1,True
jlowin/fastmcp,refactor,1,1,True
jnsahaj/tweakcn,feat,1,0,False
jnsahaj/tweakcn,fix,1,1,True
johnlindquist/kit,feat,0,1,False
johnlindquist/kit,fix,1,0,False
johnwalley/allotment,fix,1,0,False
jomjol/AI-on-the-edge-device,fix,0,1,False
jonobr1/two.js,fix,1,0,False
joshyattridge/smart-money-concepts,fix,2,1,True
julep-ai/julep,feat,3,28,True
julep-ai/julep,fix,6,17,True
julep-ai/julep,refactor,3,1,True
jxxghp/MoviePilot,feat,2,0,False
jxxghp/MoviePilot,fix,2,0,False
kanisterio/kanister,feat,1,0,False
kanisterio/kanister,fix,2,0,False
kanisterio/kanister,refactor,1,0,False
karakeep-app/karakeep,feat,1,0,False
katspaugh/wavesurfer.js,feat,0,2,False
katspaugh/wavesurfer.js,fix,13,3,True
keepassxreboot/keepassxc,feat,1,0,False
keepassxreboot/keepassxc,fix,0,4,False
keephq/keep,feat,5,3,True
keephq/keep,fix,2,6,True
keephq/keep,refactor,0,1,False
kern/filepizza,feat,2,0,False
kern/filepizza,fix,1,0,False
kongzue/DialogX,fix,1,0,False
konvajs/konva,fix,1,0,False
konvajs/react-konva,fix,1,1,True
kortix-ai/suna,feat,5,0,False
kortix-ai/suna,fix,2,0,False
kortix-ai/suna,refactor,1,0,False
kubetail-org/kubetail,feat,0,2,False
kyegomez/swarms,fix,1,0,False
langbot-app/LangBot,feat,12,0,False
langbot-app/LangBot,fix,3,0,False
langchain-ai/langgraph,feat,1,2,True
langchain-ai/langgraph,fix,3,0,False
langchain-ai/langsmith-sdk,feat,2,2,True
langchain-ai/langsmith-sdk,fix,2,2,True
langchain-ai/open-agent-platform,fix,0,1,False
langflow-ai/langflow,feat,1,0,False
langfuse/langfuse,feat,10,4,True
langfuse/langfuse,fix,6,2,True
latitude-dev/latitude-llm,fix,0,1,False
leonardsellem/n8n-mcp-server,feat,1,3,True
leonardsellem/n8n-mcp-server,fix,4,4,True
leonteale/pentestpackage,fix,4,0,False
levigross/grequests,feat,1,1,True
levigross/grequests,refactor,1,0,False
liam-hq/liam,feat,112,77,True
liam-hq/liam,fix,43,56,True
liam-hq/liam,refactor,55,23,True
licensee/licensee,feat,1,0,False
lightdash/lightdash,feat,1,4,True
lightdash/lightdash,fix,1,5,True
lingodotdev/lingo.dev,feat,16,10,True
lingodotdev/lingo.dev,fix,27,9,True
linkerd/linkerd2,refactor,1,0,False
linux-do/cdk,feat,3,0,False
linux-do/cdk,fix,1,0,False
liuliu/ccv,feat,1,0,False
liveblocks/liveblocks,feat,0,1,False
liveblocks/liveblocks,fix,2,0,False
livestorejs/livestore,fix,2,0,False
llm-workflow-engine/llm-workflow-engine,fix,2,0,False
log4cplus/log4cplus,fix,7,0,False
log4cplus/log4cplus,refactor,1,0,False
logancyang/obsidian-copilot,feat,1,1,True
lostintangent/gistpad,feat,6,2,True
lostintangent/gistpad,fix,3,0,False
lumen-notes/lumen,feat,1,2,True
lumen-notes/lumen,fix,2,0,False
lynx-family/lynx-stack,feat,2,0,False
maplibre/maplibre-native,feat,0,1,False
maplibre/maputnik,feat,1,0,False
maplibre/maputnik,fix,1,0,False
maplibre/maputnik,refactor,3,0,False
marcio/react-skylight,fix,1,0,False
marcio/react-skylight,refactor,1,0,False
marimo-team/marimo,feat,4,6,True
marimo-team/marimo,fix,15,24,True
marimo-team/marimo,refactor,3,1,True
mark3labs/mcp-go,fix,0,1,False
markuplint/markuplint,fix,1,0,False
mastra-ai/mastra,feat,2,1,True
mattermost/mattermost,fix,1,0,False
mattiasw/ExifReader,fix,2,1,True
maxnowack/signaldb,feat,1,0,False
maybe-finance/maybe,feat,1,0,False
maybe-finance/maybe,fix,0,1,False
mayswind/ezbookkeeping,feat,1,0,False
medplum/medplum,fix,1,0,False
mendableai/fire-enrich,fix,2,1,True
mendableai/firecrawl,feat,34,18,True
mendableai/firecrawl,fix,19,4,True
mendableai/firecrawl,refactor,1,0,False
mendableai/firecrawl-mcp-server,feat,1,0,False
meshtastic/firmware,feat,0,1,False
metowolf/vCards,feat,1,0,False
mfts/papermark,feat,5,0,False
mfts/papermark,fix,1,0,False
micropython/micropython,feat,0,1,False
microsoft/ApplicationInsights-JS,feat,1,1,True
microsoft/ApplicationInsights-JS,fix,7,2,True
microsoft/ApplicationInsights-JS,refactor,2,0,False
microsoft/FluidFramework,fix,0,1,False
microsoft/GSL,feat,0,1,False
microsoft/GSL,fix,1,1,True
microsoft/HydraLab,feat,0,1,False
microsoft/HydraLab,fix,0,1,False
microsoft/Olive,feat,3,1,True
microsoft/Olive,refactor,1,0,False
microsoft/RD-Agent,fix,1,0,False
microsoft/autogen,feat,3,1,True
microsoft/autogen,fix,4,0,False
microsoft/azure-devops-mcp,feat,1,0,False
microsoft/azure-devops-mcp,fix,1,0,False
microsoft/azure-pipelines-tasks,feat,0,2,False
microsoft/azuredatastudio,feat,0,1,False
microsoft/debugpy,feat,0,1,False
microsoft/documentdb,feat,1,0,False
microsoft/ebpf-for-windows,fix,3,1,True
microsoft/etl2pcapng,feat,0,1,False
microsoft/fluentui,fix,1,0,False
microsoft/genaiscript,feat,8,0,False
microsoft/genaiscript,fix,3,0,False
microsoft/generative-ai-with-javascript,fix,1,1,True
microsoft/git,feat,0,1,False
microsoft/git,fix,0,2,False
microsoft/graphrag,feat,0,1,False
microsoft/graphrag,fix,1,0,False
microsoft/graphrag,refactor,2,0,False
microsoft/magentic-ui,feat,0,1,False
microsoft/magentic-ui,fix,4,1,True
microsoft/magentic-ui,refactor,1,0,False
microsoft/mcp-for-beginners,feat,0,1,False
