case_id,case_control,target_family,group,repo_name,pr_number,pr_id,language,task_type,changed_kloc,merge_calendar_quarter,silver_finding_n,matched_positive_case_id,same_repository_match,control_match_score,selection_probability,sampling_weight,split,random_seed
case-876b04abf7d9fca64331,control,quality,ai,airbytehq/airbyte,60252,3060998787,Python,feat,0.815000,2025-Q2,0,case-bd5b217579b468056361,1,0|0|0.10750545|1,,,formal,20260623
case-890543742b2667251625,control,quality,ai,TobikoData/sqlmesh,5042,3269407418,Python,feat,0.119000,2025-Q3,0,case-dd8a6cbe3c950793b3a1,1,0|0|0.11549664|1,,,formal,20260623
case-8e3569ec12253aacd7c7,control,quality,ai,jina-ai/node-DeepResearch,29,2834747103,TypeScript,feat,0.167000,2025-Q1,0,case-ec595a9d4a209dd1c064,1,0|0|0.00085653|0,,,formal,20260623
case-906c229655ff5b2d845d,control,quality,ai,567-labs/instructor,1735,3253313679,Python,feat,0.239000,2025-Q3,0,case-2f0bf603687d1eee9d5c,0,1|0|0.00242424|0,,,formal,20260623
case-942f9d868ba8d76f17e5,control,quality,ai,microsoft/autogen,6697,3158819982,Python,feat,1.949000,2025-Q2,0,case-162c30563cd0fe89d803,1,0|0|0.49813382|1,,,formal,20260623
case-a907ff7b7b82863f67ef,control,quality,ai,langbot-app/LangBot,1505,3124419919,Python,feat,0.160000,2025-Q2,0,case-88ffb0e14443460c1357,1,0|0|0.03509132|0,,,formal,20260623
case-ab37a0754d9da12ed40c,control,quality,ai,crewAIInc/crewAI,3060,3172939109,Python,fix,0.293000,2025-Q2,0,case-74c18a92c1535b657998,1,0|0|0.04978404|0,,,formal,20260623
case-af796cba9349058a9934,control,quality,ai,langbot-app/LangBot,1405,3059314389,Python,feat,0.047000,2025-Q2,0,case-63f02cda0a1f10073dfa,1,0|0|0.03933091|1,,,formal,20260623
case-b33bef5e576af1887cd4,control,quality,ai,Significant-Gravitas/AutoGPT,10304,3200437883,Python,feat,0.208000,2025-Q3,0,case-244800b3cbf68e43bdd2,1,0|0|0.01886075|1,,,formal,20260623
case-bc28a1aba4094e693c43,control,quality,ai,prebid/Prebid.js,13511,3199220740,JavaScript,refactor,0.277000,2025-Q3,0,case-be4814e7e2c136ec014f,1,0|0|0.05262365|1,,,formal,20260623
case-cac1c1d447083f202a85,control,quality,ai,bruin-data/ingestr,261,3160287486,Python,feat,0.348000,2025-Q2,0,case-31359bc417febbc38cfc,0,1|0|0.00886269|0,,,formal,20260623
case-cb2aa3ca3fcfec607cfe,control,quality,ai,mendableai/firecrawl,1840,3261008079,TypeScript,feat,0.550000,2025-Q3,0,case-697674ac2a65b8707ff3,1,0|0|0.08058049|1,,,formal,20260623
case-d16aaf7c33621dbb5444,control,quality,ai,crewAIInc/crewAI,2904,3090192279,Python,feat,0.223000,2025-Q2,0,case-067e25b2ef2c5883ce5c,1,0|0|0.35315280|0,,,formal,20260623
case-d837fc6cbd4f56478413,control,quality,ai,pdfme/pdfme,758,2886441170,TypeScript,fix,0.274000,2025-Q1,0,case-0b7eb64a0d18ecc8baa1,1,0|0|0.04906493|0,,,formal,20260623
case-da5e5e38a1e97800e43f,control,quality,ai,OpenPipe/ART,151,3115247824,Python,fix,0.002000,2025-Q2,0,case-872ff7755c818b023b3e,1,0|0|0.00000000|0,,,formal,20260623
case-db0896f36ffe89aeed8a,control,quality,ai,SimonHalvdansson/Harmonic-HN,218,3131347677,Java,feat,0.019000,2025-Q2,0,case-9d55cc1091c28ad2789b,1,0|0|0.22569182|0,,,formal,20260623
case-e4c28aef9d898cad9641,control,quality,ai,samayo/country-json,278,3134770018,JavaScript,feat,0.995000,2025-Q2,0,case-cdcb44d35c9fd57cf181,0,1|0|0.12192695|1,,,formal,20260623
case-e95b663ee8e1e5965537,control,quality,ai,mendableai/firecrawl,1756,3197135316,TypeScript,feat,0.287000,2025-Q3,0,case-92bf2b6fee0cab272d63,1,0|0|0.26110832|0,,,formal,20260623
case-e9af381d5691c745b01d,control,quality,ai,openai/openai-agents-python,811,3116167999,Python,feat,0.145000,2025-Q2,0,case-ff75976eee40d72f7511,1,0|0|0.08852105|0,,,formal,20260623
case-f465152400330d659f37,control,quality,ai,chrxh/alien,130,3227460577,C++,refactor,0.032000,2025-Q3,0,case-e05358259ffc4ca862c7,0,1|0|0.00875918|0,,,formal,20260623
case-f912cdc0fdea1d02105f,control,quality,ai,Azure/azure-sdk-for-python,41942,3213367725,Python,fix,0.189000,2025-Q3,0,case-de715ff30c32d51c5df9,1,0|0|0.00754088|0,,,formal,20260623
case-0f974a189406b0e9fdff,control,quality,human,OneKeyHQ/app-monorepo,7071,2450551741,TypeScript,fix,0.046000,2025-Q2,0,case-f8ec934ad36d9c3fff54,1,0|0|0.01800143|0,,,formal,20260623
case-15a2421f1bcb68a912e0,control,quality,human,microsoft/onnxruntime,24489,2472134764,C++,feat,0.300000,2025-Q2,0,case-72d9d34b8bd7f1c63abc,1,0|0|0.13035327|0,,,formal,20260623
case-1855415e884ee1ba48cc,control,quality,human,OneKeyHQ/app-monorepo,6705,2344238227,TypeScript,feat,0.720000,2025-Q1,0,case-d4ea05c67dc5b4b78eca,1,0|0|1.30801850|1,,,formal,20260623
case-23301a5c36a69f5fffff,control,quality,human,liam-hq/liam,1730,2533765515,TypeScript,feat,0.756000,2025-Q2,0,case-5692e89beef2e6430372,1,0|0|0.03689630|0,,,formal,20260623
case-2aff113b02718d12fa5c,control,quality,human,antiwork/shortest,363,2351923259,TypeScript,fix,0.905000,2025-Q1,0,case-e644dabe399c62ffb568,0,1|0|0.00888430|1,,,formal,20260623
case-33116a254af11ba01af8,control,quality,human,ArthurSonzogni/FTXUI,1015,2417932411,C++,feat,1.295000,2025-Q2,0,case-525728e1a062e44ee133,0,1|0|0.21608789|1,,,formal,20260623
case-3627763b793cf921a336,control,quality,human,thirdweb-dev/js,6551,2417335994,TypeScript,feat,1.397000,2025-Q1,0,case-ca17bd7389a0f6607c96,0,1|0|0.00540879|1,,,formal,20260623
case-39bad374a9ade4062ccd,control,quality,human,langchain-ai/langgraph,3463,2338275002,Python,feat,0.014000,2025-Q1,0,case-e7925d2971d434bc38de,1,0|0|0.73278504|1,,,formal,20260623
case-4055614affc1d125415b,control,quality,human,stack-auth/stack-auth,409,2303552110,TypeScript,feat,0.772000,2025-Q1,0,case-c4f7afe4573a5fc51cc1,1,0|0|0.06288451|0,,,formal,20260623
case-44b8fa06262c22ac1334,control,quality,human,AgentOps-AI/agentops,981,2520130599,Python,fix,0.128000,2025-Q2,0,case-7edd902574e5d13c004d,1,0|0|0.04071119|0,,,formal,20260623
case-456a99e5375f1a6b0158,control,quality,human,getsentry/sentry,94465,2622011651,Python,fix,0.002000,2025-Q2,0,case-1882b202ff282a7c3526,1,0|0|0.02950066|0,,,formal,20260623
case-5049d6408b926501ef3e,control,quality,human,spcl/dace,1896,2292256358,Python,fix,0.152000,2025-Q1,0,case-ff1dc77e4f7787b90c70,1,0|0|0.67828027|0,,,formal,20260623
case-60517847296ec932aa51,control,quality,human,AgentOps-AI/agentops,914,2448591120,Python,feat,0.101000,2025-Q2,0,case-9d5b1f099bc198089f82,1,0|0|0.07014268|0,,,formal,20260623
case-60f7ca8a89bbb8cb0918,control,quality,human,OpenHFT/Java-Thread-Affinity,180,2539572445,Java,feat,0.380000,2025-Q2,0,case-f73cb6778f797cd03992,0,1|0|0.01166194|0,,,formal,20260623
case-705a42a22ea1000106b3,control,quality,human,crewAIInc/crewAI,2155,2340415841,Python,fix,0.054000,2025-Q1,0,case-8e80f8f75b18fc1f2c20,1,0|0|0.01693361|1,,,formal,20260623
case-70e2ad7555f8d7f01060,control,quality,human,prebid/Prebid.js,12972,2443896859,JavaScript,feat,0.020000,2025-Q2,0,case-83c0f8f7a5df2722fc6c,1,0|0|0.00294551|1,,,formal,20260623
case-72f34ef0f483fa5dc4a2,control,quality,human,microsoft/typespec,7766,2622324827,Java,feat,0.520000,2025-Q2,0,case-6bb65ffd9cdede1d6b6b,0,1|0|1.82040234|0,,,formal,20260623
case-751c059c3e55e626a5f2,control,quality,human,Kiln-AI/Kiln,384,2609550717,Python,refactor,0.059000,2025-Q2,0,case-4cf1ca9870497fac9821,1,0|0|0.45968142|1,,,formal,20260623
case-79b3ba24aed8629cb6fa,control,quality,human,anyproto/anytype-ts,1334,2453466355,TypeScript,feat,0.016000,2025-Q2,0,case-fec39babcb4d42292e9b,0,1|0|0.00000000|0,,,formal,20260623
case-7c6f0f53534b13a179ae,control,quality,human,crewAIInc/crewAI,2408,2404580117,Python,fix,0.065000,2025-Q2,0,case-531a14c51b5c84477849,1,0|0|0.00376294|0,,,formal,20260623
case-7f788149a3a2219a99e4,control,quality,human,crewAIInc/crewAI,2969,2573402396,Python,feat,0.446000,2025-Q2,0,case-ceeab167e6eb9cc30b63,1,0|0|0.05472058|0,,,formal,20260623
case-8021d18f5efd78f0cc50,control,quality,human,crewAIInc/crewAI,2169,2345245386,Python,feat,0.593000,2025-Q1,0,case-85f1a4f70f22fb6fa58f,1,0|0|0.92640886|1,,,formal,20260623
case-8154f4ee5fa099eb0976,control,quality,human,mlflow/mlflow,15902,2546517998,Python,feat,0.352000,2025-Q2,0,case-fd1bb152abf59358660e,1,0|0|0.04483759|1,,,formal,20260623
case-880de7042f7b15901f54,control,quality,human,janbjorge/pgqueuer,286,2274981373,Python,refactor,0.237000,2025-Q1,0,case-825e526ce8d150c686e2,0,1|0|0.04736481|1,,,formal,20260623
case-989968fe00597e97988b,control,quality,human,mlflow/mlflow,15859,2539193736,Python,fix,0.087000,2025-Q2,0,case-e5ea5da2a535c77cde60,1,0|0|0.03169120|0,,,formal,20260623
case-a08180d0d3a6396032fb,control,quality,human,Azure/azure-sdk-for-python,41218,2531079994,Python,feat,0.019000,2025-Q2,0,case-925775ad39947c2066a7,0,1|0|0.00000000|1,,,formal,20260623
case-aa2cbfc9848aab44dd69,control,quality,human,getsentry/sentry,92762,2564963212,Python,feat,0.194000,2025-Q2,0,case-b8af4d9b4865f25701f6,0,1|0|0.00000000|1,,,formal,20260623
case-acefa04717be9a7519dd,control,quality,human,prebid/Prebid.js,12924,2419055321,JavaScript,feat,0.104000,2025-Q1,0,case-4e52a2d6c64a01088271,1,0|0|0.01276225|1,,,formal,20260623
case-b3c04defeaeb2dfc8df4,control,quality,human,featureform/enrichmcp,27,2479920857,Python,feat,0.255000,2025-Q2,0,case-9597ed92b1be9122fd86,0,1|0|0.00000000|0,,,formal,20260623
case-bae92b7c92bcec6a9534,control,quality,human,OpenHFT/Chronicle-Wire,1063,2554736552,Java,refactor,0.104000,2025-Q2,0,case-eb681d918af8f53202fa,1,0|0|0.44338434|0,,,formal,20260623
case-c07871a51a27de6dbd30,control,quality,human,crewAIInc/crewAI,2009,2307862531,Python,refactor,0.019000,2025-Q1,0,case-7e619218951594d5155d,1,0|0|0.14838616|0,,,formal,20260623
case-c1987dda9a6823c29fea,control,quality,human,crewAIInc/crewAI,2905,2543469021,Python,feat,0.244000,2025-Q2,0,case-8770662c4f6043153da7,1,0|0|0.00160643|0,,,formal,20260623
case-ce25e18c3e1b45613955,control,quality,human,crewAIInc/crewAI,2916,2552324549,Python,feat,0.384000,2025-Q2,0,case-3a453fb29262930df26d,0,1|0|0.01505945|0,,,formal,20260623
case-d76dbaa9ee6c731f26bb,control,quality,human,wolfSSL/wolfssl,8854,2574573919,C,feat,0.619000,2025-Q2,0,case-bb513ea234bdfc13c5a1,0,1|0|0.31929565|0,,,formal,20260623
case-db4252297ba545d8268f,control,quality,human,wolfSSL/wolfssl,8760,2510996272,C,refactor,0.017000,2025-Q2,0,case-6a297efc4f39098889c7,0,1|0|0.17706358|0,,,formal,20260623
case-e303faa725537be11450,control,quality,human,bespokelabsai/curator,459,2321088762,Python,feat,0.299000,2025-Q1,0,case-1bd23fd02f55f8ceb10d,1,0|0|1.00816581|0,,,formal,20260623
case-e3f9933438baa76e6439,control,quality,human,Kanaries/graphic-walker,455,2542859516,TypeScript,fix,0.029000,2025-Q2,0,case-58063cca6b2b2e55d6c8,1,0|0|0.01447203|0,,,formal,20260623
case-e76cf55d18b0ab58656e,control,quality,human,airbytehq/airbyte,53686,2334947154,Python,feat,0.128000,2025-Q1,0,case-a8f8a3338967bf8c953b,0,1|0|0.00088613|0,,,formal,20260623
case-e81abc2d4c6f476893c2,control,quality,human,prebid/Prebid.js,13391,2594804460,JavaScript,fix,0.014000,2025-Q2,0,case-2306add458da3672e85f,1,0|0|0.00197433|1,,,formal,20260623
case-ee699d86c0aab7ef23c9,control,quality,human,box/box-ui-elements,3930,2334584789,JavaScript,feat,2.217000,2025-Q1,0,case-6ad10cf412f11c064208,0,1|0|0.08562765|1,,,formal,20260623
case-03011033f32e831010a4,positive,quality,ai,vgmtrans/vgmtrans,612,3147947387,C++,refactor,2.807000,2025-Q2,29,,,,1.0,1.0,formal,20260623
case-067e25b2ef2c5883ce5c,positive,quality,ai,crewAIInc/crewAI,2866,3075757415,Python,feat,0.741000,2025-Q2,4,,,,1.0,1.0,formal,20260623
case-0737af73e1a18998c5a2,positive,quality,ai,marimo-team/marimo,3840,2861606292,Python,refactor,0.038000,2025-Q1,5,,,,1.0,1.0,formal,20260623
case-07ba9e3f89cf9b52baf7,positive,quality,ai,microsoft/genaiscript,1636,3168705723,TypeScript,feat,0.218000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-080160e7e517f3fd623e,positive,quality,ai,useautumn/autumn,95,3212389407,TypeScript,feat,0.531000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-0b7eb64a0d18ecc8baa1,positive,quality,ai,pdfme/pdfme,808,2895988952,TypeScript,fix,0.213000,2025-Q1,2,,,,1.0,1.0,formal,20260623
case-0dae88f83e73408565ec,positive,quality,ai,willccbb/verifiers,166,3267581502,Python,feat,1.092000,2025-Q3,5,,,,1.0,1.0,formal,20260623
case-0eb420b020d66fb3faa1,positive,quality,ai,3rdIteration/btcrecover,613,3271543138,Python,fix,0.018000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-14a8d97497657e19a2a9,positive,quality,ai,crewAIInc/crewAI,2277,2894930869,Python,feat,1.738000,2025-Q1,2,,,,1.0,1.0,formal,20260623
case-15fca550df7f9ba029d9,positive,quality,ai,OpenHFT/Chronicle-Wire,1061,3103198371,Java,refactor,0.420000,2025-Q2,7,,,,1.0,1.0,formal,20260623
case-162c30563cd0fe89d803,positive,quality,ai,microsoft/autogen,6690,3155084033,Python,feat,0.792000,2025-Q3,2,,,,1.0,1.0,formal,20260623
case-1aaea7ba84a2f17638de,positive,quality,ai,ibelick/zola,185,3117107303,TypeScript,feat,0.614000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-232a78570fb9941423b0,positive,quality,ai,ruvnet/claude-flow,519,3274038425,TypeScript,fix,0.907000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-244800b3cbf68e43bdd2,positive,quality,ai,Significant-Gravitas/AutoGPT,10063,3102904786,Python,feat,0.231000,2025-Q2,2,,,,1.0,1.0,formal,20260623
case-244866c4d24233d35c00,positive,quality,ai,langchain-ai/langsmith-sdk,1782,3134905358,Python,fix,0.115000,2025-Q2,2,,,,1.0,1.0,formal,20260623
case-2480a35206f87bbbe5d3,positive,quality,ai,Significant-Gravitas/AutoGPT,10064,3103178673,Python,feat,0.035000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-251cb80f6be4da1148b5,positive,quality,ai,prebid/Prebid.js,13160,3087501239,JavaScript,fix,0.334000,2025-Q2,3,,,,1.0,1.0,formal,20260623
case-26052da343b4084fccf7,positive,quality,ai,azerothcore/azerothcore-wotlk,22351,3171797950,C++,fix,0.020000,2025-Q3,2,,,,1.0,1.0,formal,20260623
case-297b8514fd048d20c40e,positive,quality,ai,antiwork/gumroad,615,3226665537,Ruby,feat,0.349000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-2d29c8266ee4ae3326fa,positive,quality,ai,keephq/keep,5015,3140117936,Python,feat,0.506000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-2d93edefa9bf78e1efb4,positive,quality,ai,SimonHalvdansson/Harmonic-HN,216,3129392610,Java,feat,0.257000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-2f0bf603687d1eee9d5c,positive,quality,ai,3rdIteration/btcrecover,611,3270402787,Python,feat,0.236000,2025-Q3,3,,,,1.0,1.0,formal,20260623
case-31359bc417febbc38cfc,positive,quality,ai,basetenlabs/truss,1679,3098163794,Python,feat,0.360000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-315d6ae6a9b8cfaf69af,positive,quality,ai,jxxghp/MoviePilot,4577,3214915262,Python,feat,0.568000,2025-Q3,10,,,,1.0,1.0,formal,20260623
case-36ffe6b241bac7e92bef,positive,quality,ai,mlflow/mlflow,16758,3235103212,Python,feat,0.386000,2025-Q3,4,,,,1.0,1.0,formal,20260623
case-37aad921cd746c69ff61,positive,quality,ai,Kiln-AI/Kiln,358,3134422820,Python,fix,2.285000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-3a0f70a817d7306d446f,positive,quality,ai,NewFuture/DDNS,536,3241734959,Python,feat,1.098000,2025-Q3,2,,,,1.0,1.0,formal,20260623
case-3b5889bf8c2dda15fe1f,positive,quality,ai,jina-ai/node-DeepResearch,1,2822545926,TypeScript,feat,0.162000,2025-Q1,1,,,,1.0,1.0,formal,20260623
case-42cb40725b6715e6b56e,positive,quality,ai,onlook-dev/onlook,2171,3141785922,TypeScript,feat,0.184000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-4305c02b5fa838228719,positive,quality,ai,AgentOps-AI/agentops,729,2895754600,Python,fix,0.564000,2025-Q1,3,,,,1.0,1.0,formal,20260623
case-45ecc9b9b423e37da22e,positive,quality,ai,spcl/dace,2077,3214122373,Python,feat,0.347000,2025-Q3,2,,,,1.0,1.0,formal,20260623
case-49ba87d78fec9fc37aa1,positive,quality,ai,willccbb/verifiers,160,3266348344,Python,feat,0.300000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-4a764f3847aeba71b091,positive,quality,ai,Skyvern-AI/skyvern,2435,3085074194,Python,feat,0.090000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-4d8ff19fb340c20d7a49,positive,quality,ai,openai/openai-agents-python,923,3169467908,Python,feat,0.099000,2025-Q2,4,,,,1.0,1.0,formal,20260623
case-501f4049215a852666e2,positive,quality,ai,jina-ai/node-DeepResearch,28,2834670369,TypeScript,feat,0.371000,2025-Q1,1,,,,1.0,1.0,formal,20260623
case-58d2a55832abcd11e69d,positive,quality,ai,airbytehq/airbyte,52663,2821659019,Python,feat,0.534000,2025-Q1,1,,,,1.0,1.0,formal,20260623
case-5bc4ea80f1c42b093e67,positive,quality,ai,willccbb/verifiers,161,3266377001,Python,feat,0.256000,2025-Q3,2,,,,1.0,1.0,formal,20260623
case-5f4c438794b17fe2dd2c,positive,quality,ai,mlflow/mlflow,16909,3268208096,Python,fix,0.111000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-63f02cda0a1f10073dfa,positive,quality,ai,langbot-app/LangBot,1582,3246180908,Python,feat,0.089000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-697674ac2a65b8707ff3,positive,quality,ai,mendableai/firecrawl,1445,2990093713,TypeScript,feat,0.430000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-6bf52025747941db38d4,positive,quality,ai,novuhq/novu,8613,3191190245,TypeScript,fix,0.129000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-74c18a92c1535b657998,positive,quality,ai,crewAIInc/crewAI,2994,3135410764,Python,fix,0.359000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-76a0ff6983e0ca3793b2,positive,quality,ai,maplibre/maputnik,1262,3203792018,TypeScript,feat,0.055000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-79e114ffc3cc4f095ea9,positive,quality,ai,jina-ai/node-DeepResearch,3,2822630272,TypeScript,refactor,0.158000,2025-Q1,1,,,,1.0,1.0,formal,20260623
case-7b36cddecd405895932b,positive,quality,ai,a16z/halmos,533,3118735492,Python,feat,0.089000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-7c3045f6e85b3f5f1b49,positive,quality,ai,mendableai/firecrawl,1557,3067443431,TypeScript,fix,0.056000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-7cf6b8b222a8054d4a1c,positive,quality,ai,wandb/weave,4552,3081550184,Python,feat,0.086000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-7d141ea370270a99cd74,positive,quality,ai,ikamensh/flynt,226,3267173634,Python,feat,0.075000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-83dc15c25b665c37be9d,positive,quality,ai,bambulab/BambuStudio,7345,3161310056,C++,feat,0.015000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-83f2a806231ce243a56f,positive,quality,ai,Shelf-nu/shelf.nu,1905,3188865855,TypeScript,feat,7.841000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-872ff7755c818b023b3e,positive,quality,ai,OpenPipe/ART,152,3115315767,Python,fix,0.002000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-88ffb0e14443460c1357,positive,quality,ai,langbot-app/LangBot,1418,3061751436,Python,feat,0.120000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-8c23b92c89e208d5060f,positive,quality,ai,wandb/weave,4549,3081213025,Python,feat,0.201000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-8ed0c47b940923bc72d2,positive,quality,ai,crewAIInc/crewAI-tools,160,2761376844,Python,feat,0.185000,2024-Q4,1,,,,1.0,1.0,formal,20260623
case-8f13a23ad6dd97124ee6,positive,quality,ai,reflex-dev/reflex,5555,3220799500,Python,refactor,0.759000,2025-Q3,3,,,,1.0,1.0,formal,20260623
case-92bf2b6fee0cab272d63,positive,quality,ai,mendableai/firecrawl,1851,3263622772,TypeScript,feat,0.671000,2025-Q3,4,,,,1.0,1.0,formal,20260623
case-945185d91e4e23d356a8,positive,quality,ai,jina-ai/node-DeepResearch,2,2822592518,TypeScript,refactor,0.173000,2025-Q1,1,,,,1.0,1.0,formal,20260623
case-986e3a0cdc17b46ae30a,positive,quality,ai,OpenHFT/Chronicle-Wire,1059,3103195683,Java,refactor,0.186000,2025-Q2,3,,,,1.0,1.0,formal,20260623
case-9a3caf429ad89e36d4f9,positive,quality,ai,microsoft/autogen,6684,3151697572,Python,feat,0.209000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-9d55cc1091c28ad2789b,positive,quality,ai,SimonHalvdansson/Harmonic-HN,217,3130773515,Java,feat,0.277000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-9ecda84deae5c45643ca,positive,quality,ai,AgentOps-AI/agentops,1156,3238383944,Python,feat,1.086000,2025-Q3,1,,,,1.0,1.0,formal,20260623
case-9f4690cc7d4420be0c68,positive,quality,ai,mendableai/firecrawl,1676,3154114382,TypeScript,feat,0.164000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-9f8fcb774f327764ac98,positive,quality,ai,Kiln-AI/Kiln,352,3130617808,Python,feat,0.799000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-9fc71d49b20c11c24094,positive,quality,ai,wizarrrr/wizarr,612,3134240453,Python,feat,0.020000,2025-Q2,1,,,,1.0,1.0,formal,20260623
case-a312421c7f686d168d04,positive,quality,ai,NewFuture/DDNS,537,3244901827,Python,refactor,1.732000,2025-Q3,1,,,,1.0,1.0,formal,20260623
